confusion_category,kmer_size,snv_kmer_mean,background_kmer_mean,n
FN,3,7.367134094238281e-07,7.300717490059988e-07,100
FP,3,2.379417419433594e-06,2.376096589224679e-06,100
TN,3,5.53131103515625e-07,5.57927858261835e-07,100
TP,3,4.38690185546875e-07,4.4459388369605667e-07,100
FN,6,0.015588971773783367,0.012557663536908334,100
FP,6,0.08254843672116598,0.06931013078510499,100
TN,6,0.007118779023488363,0.006970421979301855,100
TP,6,0.00591855525970459,0.004358133286760564,100
FN,10,0.03486168066660564,0.03582677068946126,100
FP,10,0.250986965795358,0.19503041258648096,100
TN,10,0.01891210397084554,0.021052179279781525,100
TP,10,0.012625605265299478,0.014105246368345323,100
FN,15,0.0515509819984436,0.052010657149114355,100
FP,15,0.3693278141319752,0.28328029809544913,100
TN,15,0.024990998109181723,0.030734895185329195,100
TP,15,0.01389324982961019,0.02171006160189015,100
