confusion_category,kmer_size,snv_kmer_mean,background_kmer_mean,n
FN,6,0.0008727437816560268,0.000670413939445688,100
FP,6,0.007853899399439493,0.007512810466451603,100
TN,6,0.000276374580959479,0.0002766398455816926,100
TP,6,9.021480878194174e-05,6.816413005193074e-05,100
FN,10,0.0019024298960963885,0.001920084254884403,100
FP,10,0.028640951514244076,0.021314873981797874,100
TN,10,0.000732854704062144,0.0008418214511153571,100
TP,10,0.00019977231820424396,0.00022313415785848878,100
FN,15,0.0028234935303529107,0.0028320587735420973,100
FP,15,0.04619300708174706,0.03271681633019863,100
TN,15,0.0009686454137166342,0.0012490400381010864,100
TP,15,0.0002105933427810669,0.0003541287317756534,100
