confusion_category,kmer_size,snv_kmer_mean,background_kmer_mean,n
FN,3,4.1484832763671875e-07,4.1411036536807107e-07,100
FP,3,4.4107437133789065e-07,4.3369474865141374e-07,100
TN,3,3.147125244140625e-07,3.1729539235432953e-07,100
TP,3,3.528594970703125e-07,3.535974593389602e-07,100
FN,6,0.004942160447438558,0.007233113983221221,100
FP,6,0.00744110663731893,0.008015505324330246,100
TN,6,0.00355528195699056,0.003224954630199231,100
TP,6,0.008245874245961507,0.003930922361842373,100
FN,10,0.02056051890055339,0.020654321672060546,100
FP,10,0.01566025892893473,0.023843170594383064,100
TN,10,0.008458751837412517,0.009282749341084407,100
TP,10,0.012393423716227214,0.011949299233300348,100
FN,15,0.02855217615763346,0.029005841774533882,100
FP,15,0.02711596727371216,0.03436466751634612,100
TN,15,0.01488646904627482,0.012734865049521127,100
TP,15,0.02101415475209554,0.018228241852087566,100
