confusion_category,kmer_size,snv_kmer_mean,background_kmer_mean,n
FN,6,0.005016369024912517,0.007201285859994721,100
FP,6,0.007304717699686686,0.007684954672528986,100
TN,6,0.003725461959838867,0.003195128976253041,100
TP,6,0.0080763045946757,0.0039428400826035884,100
FN,10,0.01825268268585205,0.020547772031345647,100
FP,10,0.017141965230305988,0.023600585539262368,100
TN,10,0.008618569374084471,0.009201075362635182,100
TP,10,0.013405651251475015,0.012026992831038032,100
FN,15,0.03412074446678162,0.02951272763600646,100
FP,15,0.027173548539479578,0.0339142561628837,100
TN,15,0.013144718011220297,0.012584789972896726,100
TP,15,0.019198138713836667,0.018173217565514318,100
