donor,assay,n_negative,n_positive,n_total,frac_positive,n_negative_filt,n_positive_filt,n_total_filt,frac_positive_filt
ENC-001,ATAC-seq,444283,17289,461572,0.03745677814078843,349192,13480,362672,0.03716857105042573
ENC-001,HM-ChIP-seq_H3K27ac,864913,21270,886183,0.024001814523636766,782372,19721,802093,0.024586924458884444
ENC-001,HM-ChIP-seq_H3K27me3,529714,11414,541128,0.02109297615351636,457336,10066,467402,0.021536065314226298
ENC-001,HM-ChIP-seq_H3K36me3,704579,12090,716669,0.01686971251721506,694669,11658,706327,0.01650510316043419
ENC-001,HM-ChIP-seq_H3K4me1,894849,9898,904747,0.010940074960182239,894189,9886,904075,0.010934933495561763
ENC-001,HM-ChIP-seq_H3K4me3,413769,21140,434909,0.04860786969228045,358978,17952,376930,0.04762688032260632
ENC-001,HM-ChIP-seq_H3K9me3,519467,16933,536400,0.03156785980611484,419930,13043,432973,0.03012428026689886
ENC-001,RNA-seq,841596,30148,871744,0.034583547463475514,723972,26906,750878,0.03583271849754554
ENC-001,TF-ChIP-seq_CTCF,528971,21652,550623,0.039322730797660105,434239,19291,453530,0.04253522368972284
ENC-001,TF-ChIP-seq_EP300,82430,2381,84811,0.028074188489700627,82430,2381,84811,0.028074188489700627
ENC-001,TF-ChIP-seq_POLR2A,193269,6993,200262,0.034919255774934835,154473,6186,160659,0.03850391201239893
ENC-001,TF-ChIP-seq_POLR2AphosphoS5,246005,8066,254071,0.03174703134163285,232945,7577,240522,0.031502315796476
ENC-002,ATAC-seq,897356,40575,937931,0.043260111884562934,645959,31229,677188,0.04611570199117527
ENC-002,HM-ChIP-seq_H3K27ac,713749,15587,729336,0.021371494071319667,679244,14921,694165,0.021494889543552324
ENC-002,HM-ChIP-seq_H3K27me3,387077,5614,392691,0.014296227822893828,372217,4078,376295,0.010837242057428347
ENC-002,HM-ChIP-seq_H3K36me3,358273,6029,364302,0.01654945622038858,348802,5785,354587,0.016314754912052615
ENC-002,HM-ChIP-seq_H3K4me1,437776,4505,442281,0.010185832084127511,437776,4505,442281,0.010185832084127511
ENC-002,HM-ChIP-seq_H3K4me3,348790,11787,360577,0.03268927302628842,317103,11031,328134,0.03361736363802593
ENC-002,HM-ChIP-seq_H3K9me3,537847,10518,548365,0.01918065522051918,515165,10015,525180,0.0190696523096843
ENC-002,RNA-seq,526650,18552,545202,0.03402775485049578,451320,16337,467657,0.034933722792559505
ENC-002,TF-ChIP-seq_CTCF,684103,20592,704695,0.029221152413455468,602381,18835,621216,0.030319566785143977
ENC-002,TF-ChIP-seq_EP300,41579,634,42213,0.015019069954753276,41579,634,42213,0.015019069954753276
ENC-002,TF-ChIP-seq_POLR2A,155544,6008,161552,0.037189264137862735,125222,5393,130615,0.04128928530413811
ENC-002,TF-ChIP-seq_POLR2AphosphoS5,97168,2078,99246,0.0209378715514983,97168,2078,99246,0.0209378715514983
ENC-003,ATAC-seq,954124,42228,996352,0.04238261176772867,629600,28655,658255,0.0435317620071249
ENC-003,HM-ChIP-seq_H3K27ac,722076,15513,737589,0.0210320381675974,680548,14740,695288,0.021199848120491076
ENC-003,HM-ChIP-seq_H3K27me3,151056,3600,154656,0.023277467411545624,132083,3171,135254,0.02344477797329469
ENC-003,HM-ChIP-seq_H3K36me3,556061,7066,563127,0.012547791173216699,545609,6865,552474,0.012425924115885997
ENC-003,HM-ChIP-seq_H3K4me1,437614,3881,441495,0.008790586529858774,433892,3796,437688,0.00867284458335618
ENC-003,HM-ChIP-seq_H3K4me3,467216,21102,488318,0.043213643568330476,416570,19636,436206,0.04501542849020875
ENC-003,HM-ChIP-seq_H3K9me3,370214,9680,379894,0.025480792010402903,328817,8677,337494,0.02571008669783759
ENC-003,RNA-seq,619862,20210,640072,0.031574572860553186,537290,18197,555487,0.03275864241647419
ENC-003,TF-ChIP-seq_CTCF,531369,19432,550801,0.035279529267376056,458681,17767,476448,0.03729053327960239
ENC-003,TF-ChIP-seq_EP300,38633,919,39552,0.023235234627831714,34784,697,35481,0.0196443166765311
ENC-003,TF-ChIP-seq_POLR2A,270770,8932,279702,0.031933986886043,238032,8105,246137,0.032928816065849506
ENC-003,TF-ChIP-seq_POLR2AphosphoS5,280294,7857,288151,0.02726695378464763,280294,7857,288151,0.02726695378464763
ENC-004,ATAC-seq,836165,33135,869300,0.038116875647072355,593226,22829,616055,0.037056756296109924
ENC-004,HM-ChIP-seq_H3K27ac,792954,22463,815417,0.02754786814599156,689409,20236,709645,0.02851566628384615
ENC-004,HM-ChIP-seq_H3K27me3,197802,5039,202841,0.02484211771781839,177250,4470,181720,0.024598283072859346
ENC-004,HM-ChIP-seq_H3K36me3,423271,11014,434285,0.025361225923068952,360951,9612,370563,0.025938909173338947
ENC-004,HM-ChIP-seq_H3K4me1,437963,7112,445075,0.015979329326518004,428208,6921,435129,0.015905627986183408
ENC-004,HM-ChIP-seq_H3K4me3,355202,20742,375944,0.055173110888855785,308985,18784,327769,0.05730865335037786
ENC-004,HM-ChIP-seq_H3K9me3,295155,9789,304944,0.03210097591688966,239953,8510,248463,0.03425057251985205
ENC-004,RNA-seq,443208,31046,474254,0.06546281106748704,356825,27159,383984,0.07072950956289846
ENC-004,TF-ChIP-seq_CTCF,562661,22235,584896,0.03801530528504213,488378,20005,508383,0.03935025364734855
ENC-004,TF-ChIP-seq_EP300,51767,1700,53467,0.031795312996801765,50509,1662,52171,0.031856778670142416
ENC-004,TF-ChIP-seq_POLR2A,207810,8628,216438,0.039863609902142876,185229,7861,193090,0.040711585271117096
ENC-004,TF-ChIP-seq_POLR2AphosphoS5,193608,8751,202359,0.04324492609668955,171763,7995,179758,0.04447646279998665
