k,donor,assay,prefix,train_rows,train_unique,dev_rows,dev_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,dev_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
3,enc001,ATACseq,enc001_ATACseq,3576,3001,447,436,10,447.0,0.8561521252796421,0.22371364653243847,0.9463087248322147,0.23937360178970918,0.16079418344519017,12.3
3,enc002,ATACseq,enc002_ATACseq,8545,6826,1068,1027,10,1069.0,0.8748362956033677,0.3376987839101964,0.9391955098222639,0.2958801498127341,0.20117027501462845,70.8
3,enc003,ATACseq,enc003_ATACseq,7262,5456,908,854,10,908.0,0.8816079295154186,0.3777533039647577,0.9427312775330396,0.3513215859030837,0.24869182043514185,52.7
3,enc004,ATACseq,enc004_ATACseq,4307,3081,538,491,10,539.0,0.8807050092764378,0.37291280148423006,0.9461966604823747,0.36617100371747213,0.2846528906431391,21.5
3,enc001,CTCF,enc001_CTCF,11547,6592,1443,1192,10,1444.0,0.9247922437673131,0.6121883656509696,0.9674515235457064,0.5835065835065835,0.429115787650472,178.8
3,enc002,CTCF,enc002_CTCF,12080,6835,1510,1247,10,1510.0,0.9205298013245035,0.5827814569536424,0.9642384105960264,0.5708609271523178,0.4341887417218543,170.5
3,enc003,CTCF,enc003_CTCF,12624,6800,1578,1270,10,1578.0,0.9335234474017744,0.6368821292775665,0.9727503168567807,0.6254752851711026,0.46134347275031684,190.3
3,enc004,CTCF,enc004_CTCF,13731,7114,1716,1363,10,1717.0,0.9369831100757136,0.6656959813628421,0.9702970297029703,0.6328671328671329,0.48190226494792804,235.5
3,enc001,EP300,enc001_EP300,1537,1408,192,188,10,193.0,0.8310880829015543,0.14507772020725387,0.9222797927461139,0.109375,0.08392973324658426,3.9
3,enc002,EP300,enc002_EP300,124,121,16,16,10,16.0,0.85625,0.25,1.0,0.1875,0.024193548387096774,0.0
3,enc003,EP300,enc003_EP300,68,68,9,8,10,9.0,0.8,0.0,1.0,0.1111111111111111,0.0,0.0
3,enc004,EP300,enc004_EP300,564,526,71,70,10,71.0,0.8225352112676056,0.07042253521126761,0.9295774647887324,0.15492957746478872,0.0673758865248227,0.6
3,enc001,H3K27ac,enc001_H3K27ac,8822,5997,1103,975,10,1103.0,0.8914777878513146,0.4369900271985494,0.9555757026291931,0.3925657298277425,0.32022217184311946,55.4
3,enc002,H3K27ac,enc002_H3K27ac,6315,4447,789,698,10,790.0,0.8867088607594937,0.4151898734177215,0.9443037974683545,0.39036755386565275,0.2958036421219319,33.9
3,enc003,H3K27ac,enc003_H3K27ac,8312,5300,1039,879,10,1039.0,0.8904716073147256,0.4436958614051973,0.9480269489894129,0.4639076034648701,0.36236766121270453,46.3
3,enc004,H3K27ac,enc004_H3K27ac,8876,5372,1110,942,10,1110.0,0.909189189189189,0.5054054054054054,0.9603603603603603,0.47477477477477475,0.3947724200090131,50.1
3,enc001,H3K27me3,enc001_H3K27me3,1670,1165,209,193,10,209.0,0.8842105263157893,0.37320574162679426,0.9665071770334929,0.37320574162679426,0.3023952095808383,4.0
3,enc002,H3K27me3,enc002_H3K27me3,478,454,60,60,10,60.0,0.835,0.18333333333333332,0.9666666666666667,0.08333333333333333,0.0502092050209205,0.4
3,enc003,H3K27me3,enc003_H3K27me3,502,396,63,60,10,63.0,0.8698412698412697,0.38095238095238093,0.9523809523809523,0.30158730158730157,0.21115537848605578,0.4
3,enc004,H3K27me3,enc004_H3K27me3,468,355,59,56,10,59.0,0.8661016949152543,0.3050847457627119,0.9830508474576272,0.2542372881355932,0.24145299145299146,0.9
3,enc001,H3K36me3,enc001_H3K36me3,212,177,27,27,10,27.0,0.825925925925926,0.25925925925925924,0.9259259259259259,0.2222222222222222,0.1650943396226415,0.1
3,enc002,H3K36me3,enc002_H3K36me3,166,155,21,21,10,21.0,0.8523809523809524,0.14285714285714285,1.0,0.2857142857142857,0.06626506024096386,0.2
3,enc003,H3K36me3,enc003_H3K36me3,12,12,2,2,10,2.0,0.75,0.0,1.0,0.0,0.0,0.0
3,enc004,H3K36me3,enc004_H3K36me3,1190,786,149,134,10,149.0,0.8939597315436242,0.4697986577181208,0.9664429530201343,0.3959731543624161,0.33949579831932775,2.5
3,enc001,H3K4me1,enc001_H3K4me1,2632,1892,329,305,10,329.0,0.870820668693009,0.3373860182370821,0.9422492401215805,0.3951367781155015,0.2811550151975684,3.1
3,enc002,H3K4me1,enc002_H3K4me1,947,801,118,115,10,119.0,0.8638655462184873,0.2605042016806723,0.9495798319327731,0.22033898305084745,0.15417106652587118,0.2
3,enc003,H3K4me1,enc003_H3K4me1,32,32,4,4,10,4.0,0.775,0.0,1.0,0.0,0.0,0.0
3,enc004,H3K4me1,enc004_H3K4me1,1945,1366,243,223,10,244.0,0.8827868852459015,0.38114754098360654,0.9631147540983607,0.40329218106995884,0.29768637532133674,1.0
3,enc001,H3K4me3,enc001_H3K4me3,8315,4593,1039,861,10,1040.0,0.9198076923076923,0.5711538461538461,0.9711538461538461,0.5688161693936478,0.4476247745039086,72.0
3,enc002,H3K4me3,enc002_H3K4me3,5443,3231,680,575,10,681.0,0.9116005873715123,0.5477239353891337,0.9691629955947136,0.5441176470588235,0.4063935329781371,34.9
3,enc003,H3K4me3,enc003_H3K4me3,12046,7249,1506,1285,10,1506.0,0.9134794156706507,0.5398406374501992,0.9621513944223108,0.5199203187250996,0.39822347667275443,117.6
3,enc004,H3K4me3,enc004_H3K4me3,9300,4985,1163,948,10,1163.0,0.9233877901977644,0.6113499570077386,0.9707652622527945,0.5975924333619949,0.4639784946236559,93.0
3,enc001,H3K9me3,enc001_H3K9me3,283,214,35,32,10,36.0,0.85,0.2777777777777778,0.9444444444444444,0.45714285714285713,0.24381625441696114,2.2
3,enc002,H3K9me3,enc002_H3K9me3,126,112,16,16,10,16.0,0.85625,0.0625,1.0,0.125,0.1111111111111111,0.1
3,enc003,H3K9me3,enc003_H3K9me3,145,111,18,18,10,19.0,0.8736842105263157,0.3157894736842105,1.0,0.16666666666666666,0.23448275862068965,0.1
3,enc004,H3K9me3,enc004_H3K9me3,145,121,18,17,10,19.0,0.8631578947368421,0.3684210526315789,0.9473684210526315,0.3888888888888889,0.16551724137931034,0.0
3,enc001,POLR2A,enc001_POLR2A,2694,2270,337,322,10,337.0,0.8519287833827892,0.2314540059347181,0.9376854599406528,0.2344213649851632,0.15738678544914625,15.4
3,enc002,POLR2A,enc002_POLR2A,2744,2256,343,325,10,343.0,0.8746355685131195,0.30903790087463556,0.9533527696793003,0.30612244897959184,0.17784256559766765,20.2
3,enc003,POLR2A,enc003_POLR2A,3739,2540,467,414,10,468.0,0.8910256410256411,0.44017094017094016,0.9551282051282052,0.4197002141327623,0.32067397699919764,30.8
3,enc004,POLR2A,enc004_POLR2A,4624,3362,578,530,10,578.0,0.893598615916955,0.42214532871972316,0.9584775086505191,0.3961937716262976,0.27292387543252594,45.1
3,enc001,POLR2AphosphoS5,enc001_POLR2AphosphoS5,5952,4967,744,721,10,744.0,0.8608870967741934,0.29301075268817206,0.9341397849462365,0.24327956989247312,0.16549059139784947,42.2
