donor,assay,rows_cCRExTissue,distinct_cCREs,tissue_replication,distinct_loci_extracted,unique_ref_seqs,genomic_repeat_locus_frac,loci_in_repeats
ENC-001,ATAC-seq,96541,40630,2.3761014029042578,40630,40630,0.0,0
ENC-002,ATAC-seq,187439,57410,3.264919003657899,57410,57410,0.0,0
ENC-003,ATAC-seq,173812,52355,3.3198739375417823,52355,52355,0.0,0
ENC-004,ATAC-seq,150351,44115,3.4081604896293776,44115,44115,0.0,0
ENC-001,HM-ChIP-seq_H3K27ac,314015,63238,4.9656061229007875,63238,63238,0.0,0
ENC-002,HM-ChIP-seq_H3K27ac,268248,59348,4.519916425153333,59348,59348,0.0,0
ENC-003,HM-ChIP-seq_H3K27ac,303721,56572,5.368751325744184,56572,56572,0.0,0
ENC-004,HM-ChIP-seq_H3K27ac,295666,52041,5.681405046021406,52041,52041,0.0,0
ENC-001,HM-ChIP-seq_H3K27me3,89077,27447,3.2454184428170656,27447,27447,0.0,0
ENC-002,HM-ChIP-seq_H3K27me3,39086,34906,1.1197501862144044,34906,34906,0.0,0
ENC-003,HM-ChIP-seq_H3K27me3,33833,16415,2.06110265001523,16415,16415,0.0,0
ENC-004,HM-ChIP-seq_H3K27me3,31874,15079,2.1138006499104716,15079,15079,0.0,0
ENC-001,HM-ChIP-seq_H3K36me3,20677,11905,1.7368332633347332,11905,11905,0.0,0
ENC-002,HM-ChIP-seq_H3K36me3,16738,13258,1.2624830291144968,13258,13258,0.0,0
ENC-003,HM-ChIP-seq_H3K36me3,1035,854,1.211943793911007,854,854,0.0,0
ENC-004,HM-ChIP-seq_H3K36me3,47529,17420,2.7284156142365097,17420,17420,0.0,0
ENC-001,HM-ChIP-seq_H3K4me1,245038,72572,3.3764812875489167,72572,72572,0.0,0
ENC-002,HM-ChIP-seq_H3K4me1,96780,52020,1.8604382929642445,52020,52020,0.0,0
ENC-003,HM-ChIP-seq_H3K4me1,3788,3541,1.0697543066930246,3541,3541,0.0,0
ENC-004,HM-ChIP-seq_H3K4me1,151404,42984,3.5223338916806255,42984,42984,0.0,0
ENC-001,HM-ChIP-seq_H3K4me3,201439,25723,7.831085021187264,25723,25723,0.0,0
ENC-002,HM-ChIP-seq_H3K4me3,172698,28701,6.017142259851573,28701,28701,0.0,0
ENC-003,HM-ChIP-seq_H3K4me3,307232,70122,4.3813924303357,70122,70122,0.0,0
ENC-004,HM-ChIP-seq_H3K4me3,183126,21352,8.576526789059573,21352,21352,0.0,0
ENC-001,HM-ChIP-seq_H3K9me3,10723,4960,2.1618951612903228,4960,4960,0.0,0
ENC-002,HM-ChIP-seq_H3K9me3,9881,8401,1.1761695036305202,8401,8401,0.0,0
ENC-003,HM-ChIP-seq_H3K9me3,8556,5615,1.5237756010685664,5615,5615,0.0,0
ENC-004,HM-ChIP-seq_H3K9me3,7523,3918,1.9201123021949975,3918,3918,0.0,0
ENC-001,TF-ChIP-seq_CTCF,240842,43634,5.519594811385617,43634,43634,0.0,0
ENC-002,TF-ChIP-seq_CTCF,270771,51397,5.268225771932214,51397,51397,0.0,0
ENC-003,TF-ChIP-seq_CTCF,268067,39641,6.762367246033148,39641,39641,0.0,0
ENC-004,TF-ChIP-seq_CTCF,295403,40157,7.356201907513012,40157,40157,0.0,0
ENC-001,TF-ChIP-seq_EP300,38467,23756,1.6192540831789863,23756,23756,0.0,0
ENC-002,TF-ChIP-seq_EP300,11307,7932,1.4254916792738275,7932,7932,0.0,0
ENC-003,TF-ChIP-seq_EP300,4520,3643,1.240735657425199,3643,3643,0.0,0
ENC-004,TF-ChIP-seq_EP300,18788,12880,1.458695652173913,12880,12880,0.0,0
ENC-001,TF-ChIP-seq_POLR2A,73570,33473,2.19789083739133,33473,33473,0.0,0
ENC-002,TF-ChIP-seq_POLR2A,65430,27407,2.387346298390922,27407,27407,0.0,0
ENC-003,TF-ChIP-seq_POLR2A,117551,31634,3.715970158690017,31634,31634,0.0,0
ENC-004,TF-ChIP-seq_POLR2A,95262,30446,3.128883925638836,30446,30446,0.0,0
ENC-001,TF-ChIP-seq_POLR2AphosphoS5,113310,41941,2.7016523211177605,41941,41941,0.0,0
ENC-002,TF-ChIP-seq_POLR2AphosphoS5,35042,23277,1.5054345491257464,23277,23277,0.0,0
ENC-003,TF-ChIP-seq_POLR2AphosphoS5,118313,47277,2.5025488080884997,47277,47277,0.0,0
ENC-004,TF-ChIP-seq_POLR2AphosphoS5,95862,34591,2.7712988927755773,34591,34591,0.0,0
