k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,val_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
3,ATACseq,1,3576,3001,447,436,11,447.0,0.7986577181208054,0.22371364653243847,0.9463087248322147,0.23937360178970918,0.16079418344519017,12.090909090909092
3,ATACseq,2,8545,6826,1068,1027,11,1069.0,0.8260056127221703,0.3376987839101964,0.9391955098222639,0.2958801498127341,0.20117027501462845,71.54545454545455
3,ATACseq,3,7262,5456,908,854,11,908.0,0.8358029635562676,0.3777533039647577,0.9427312775330396,0.3513215859030837,0.24869182043514185,51.54545454545455
3,ATACseq,4,4307,3081,538,491,11,539.0,0.8345420812953279,0.37291280148423006,0.9461966604823747,0.36617100371747213,0.2846528906431391,21.09090909090909
3,CTCF,1,11547,6592,1443,1192,11,1444.0,0.8963737093930999,0.6121883656509696,0.9674515235457064,0.5835065835065835,0.429115787650472,179.54545454545453
3,CTCF,2,12080,6835,1510,1247,11,1510.0,0.8898254063816977,0.5827814569536424,0.9642384105960264,0.5708609271523178,0.4341887417218543,170.9090909090909
3,CTCF,3,12624,6800,1578,1270,11,1578.0,0.9065560548450282,0.6368821292775665,0.9727503168567807,0.6254752851711026,0.46134347275031684,190.9090909090909
3,CTCF,4,13731,7114,1716,1363,11,1717.0,0.912320643829089,0.6656959813628421,0.9702970297029703,0.6328671328671329,0.48190226494792804,234.9090909090909
3,EP300,1,1537,1408,192,188,11,193.0,0.7687235044747998,0.14507772020725387,0.9222797927461139,0.109375,0.08392973324658426,3.8181818181818183
3,EP300,2,124,121,16,16,11,16.0,0.8011363636363636,0.25,1.0,0.1875,0.024193548387096774,0.0
3,EP300,3,68,68,9,8,11,9.0,0.7272727272727273,0.0,1.0,0.1111111111111111,0.0,0.0
3,EP300,4,564,526,71,70,11,71.0,0.7541613316261203,0.07042253521126761,0.9295774647887324,0.15492957746478872,0.0673758865248227,0.5454545454545454
3,H3K27ac,1,8822,5997,1103,975,11,1103.0,0.8501607187010631,0.4369900271985494,0.9555757026291931,0.3925657298277425,0.32022217184311946,55.63636363636363
3,H3K27ac,2,6315,4447,789,698,11,790.0,0.8438434982738781,0.4151898734177215,0.9443037974683545,0.39036755386565275,0.2958036421219319,33.27272727272727
3,H3K27ac,3,8312,5300,1039,879,11,1039.0,0.8498556304138596,0.4436958614051973,0.9480269489894129,0.4639076034648701,0.36236766121270453,46.09090909090909
3,H3K27ac,4,8876,5372,1110,942,11,1110.0,0.8724815724815723,0.5054054054054054,0.9603603603603603,0.47477477477477475,0.3947724200090131,49.18181818181818
3,H3K27me3,1,1670,1165,209,193,11,209.0,0.8377555458895171,0.37320574162679426,0.9665071770334929,0.37320574162679426,0.3023952095808383,4.181818181818182
3,H3K27me3,2,478,454,60,60,11,60.0,0.7757575757575758,0.18333333333333332,0.9666666666666667,0.08333333333333333,0.0502092050209205,0.36363636363636365
3,H3K27me3,3,502,396,63,60,11,63.0,0.8253968253968254,0.38095238095238093,0.9523809523809523,0.30158730158730157,0.21115537848605578,0.36363636363636365
3,H3K27me3,4,468,355,59,56,11,59.0,0.8151001540832049,0.3050847457627119,0.9830508474576272,0.2542372881355932,0.24145299145299146,0.8181818181818182
3,H3K36me3,1,212,177,27,27,11,27.0,0.7744107744107744,0.25925925925925924,0.9259259259259259,0.2222222222222222,0.1650943396226415,0.09090909090909091
3,H3K36me3,2,166,155,21,21,11,21.0,0.7878787878787878,0.14285714285714285,1.0,0.2857142857142857,0.06626506024096386,0.18181818181818182
3,H3K36me3,3,12,12,2,2,11,2.0,0.6818181818181818,0.0,1.0,0.0,0.0,0.0
3,H3K36me3,4,1190,786,149,134,11,149.0,0.8553996339231239,0.4697986577181208,0.9664429530201343,0.3959731543624161,0.33949579831932775,2.4545454545454546
3,H3K4me1,1,2632,1892,329,305,11,329.0,0.8223266095606522,0.3373860182370821,0.9422492401215805,0.3951367781155015,0.2811550151975684,2.909090909090909
3,H3K4me1,2,947,801,118,115,11,119.0,0.8090145148968678,0.2605042016806723,0.9495798319327731,0.22033898305084745,0.15417106652587118,0.18181818181818182
3,H3K4me1,3,32,32,4,4,11,4.0,0.7045454545454546,0.0,1.0,0.0,0.0,0.0
3,H3K4me1,4,1945,1366,243,223,11,244.0,0.8371833084947838,0.38114754098360654,0.9631147540983607,0.40329218106995884,0.29768637532133674,0.9090909090909091
3,H3K4me3,1,8315,4593,1039,861,11,1040.0,0.8881118881118882,0.5711538461538461,0.9711538461538461,0.5688161693936478,0.4476247745039086,71.0909090909091
3,H3K4me3,2,5443,3231,680,575,11,681.0,0.8785208917367506,0.5477239353891337,0.9691629955947136,0.5441176470588235,0.4063935329781371,35.09090909090909
3,H3K4me3,3,12046,7249,1506,1285,11,1506.0,0.879512254014246,0.5398406374501992,0.9621513944223108,0.5199203187250996,0.39822347667275443,116.81818181818181
3,H3K4me3,4,9300,4985,1163,948,11,1163.0,0.8950207144532165,0.6113499570077386,0.9707652622527945,0.5975924333619949,0.4639784946236559,92.0909090909091
3,H3K9me3,1,283,214,35,32,11,36.0,0.7979797979797979,0.2777777777777778,0.9444444444444444,0.45714285714285713,0.24381625441696114,2.1818181818181817
3,H3K9me3,2,126,112,16,16,11,16.0,0.7840909090909091,0.0625,1.0,0.125,0.1111111111111111,0.09090909090909091
3,H3K9me3,3,145,111,18,18,11,19.0,0.8229665071770335,0.3157894736842105,1.0,0.16666666666666666,0.23448275862068965,0.09090909090909091
3,H3K9me3,4,145,121,18,17,11,19.0,0.8181818181818182,0.3684210526315789,0.9473684210526315,0.3888888888888889,0.16551724137931034,0.0
3,POLR2A,1,2694,2270,337,322,11,337.0,0.7955219854329646,0.2314540059347181,0.9376854599406528,0.2344213649851632,0.15738678544914625,15.272727272727273
3,POLR2A,2,2744,2256,343,325,11,343.0,0.8232175987278029,0.30903790087463556,0.9533527696793003,0.30612244897959184,0.17784256559766765,20.09090909090909
3,POLR2A,3,3739,2540,467,414,11,468.0,0.8500388500388499,0.44017094017094016,0.9551282051282052,0.4197002141327623,0.32067397699919764,30.90909090909091
3,POLR2A,4,4624,3362,578,530,11,578.0,0.8507392261717522,0.42214532871972316,0.9584775086505191,0.3961937716262976,0.27292387543252594,44.81818181818182
3,POLR2AphosphoS5,1,5952,4967,744,721,11,744.0,0.8092619745845551,0.29301075268817206,0.9341397849462365,0.24327956989247312,0.16549059139784947,42.0
3,POLR2AphosphoS5,2,1132,1087,142,141,11,142.0,0.7548015364916772,0.08450704225352113,0.9295774647887324,0.09859154929577464,0.03975265017667844,0.6363636363636364
3,POLR2AphosphoS5,3,5310,4435,664,635,11,664.0,0.8142113910186201,0.30120481927710846,0.947289156626506,0.2740963855421687,0.1647834274952919,37.18181818181818
