example_id,confusion_category,position_relative_to_snv,ism_importance
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-100,0.002341747283935547
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-99,0.003353118896484375
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-98,0.0053863525390625
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-97,0.003528594970703125
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-96,0.0009336471557617188
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-95,0.0032596588134765625
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-94,0.0076007843017578125
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-93,0.001750946044921875
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-92,0.00408935546875
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-91,0.005040645599365234
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-90,0.0028438568115234375
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-89,0.0024900436401367188
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-88,0.0045413970947265625
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-87,0.0042724609375
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-86,0.0038099288940429688
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-85,0.006428241729736328
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-84,0.00165557861328125
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-83,0.003559589385986328
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-82,0.0032548904418945312
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-81,0.0020685195922851562
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-80,0.0007205009460449219
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-79,0.0017914772033691406
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-78,0.0013294219970703125
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-77,0.0013217926025390625
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-76,0.0014476776123046875
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-75,0.0032806396484375
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-74,0.0010824203491210938
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-73,0.0030012130737304688
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-72,0.0013866424560546875
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-71,0.000850677490234375
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-70,0.002810955047607422
chr3:75785609:esophagus_muscularis_mucosa:0,TP,-69,0.003735065460205078
