PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-1.7737356,-0.7436894,-1.1893486,1.0630336,0.3751481,0.61293364,1.7842891,1.3667964,-0.54319745,-0.077579744,0,chr1:17582916:transverse_colon:0,TN,0
1.7492224,1.6052613,0.7773144,0.6423162,0.455555,-0.44141942,0.08886881,-0.38886952,-0.0987641,0.08282032,1,chr19:5791155:esophagus_squamous_epithelium:0,TP,1
-3.7092018,-1.3050443,0.33603856,0.45766595,-0.46070132,0.3412334,0.012061751,-0.95194817,-0.5617114,-0.040640503,0,chr3:188397893:body_of_pancreas:0,TN,0
-2.408589,-1.3716973,0.6829155,1.8255585,-0.19772102,0.97779524,-0.1760127,-0.2818922,0.20303889,-0.14877757,0,chr12:96128403:body_of_pancreas:0,TN,0
4.2544518,-0.8112496,-0.09976665,0.07897696,-0.77676785,-0.72467285,0.39513218,-0.2278291,-0.30709735,-0.009754733,1,chr11:910791:esophagus_squamous_epithelium:0,TP,1
-0.8319268,2.1597135,-2.5054426,0.051057205,-0.7550064,0.4544007,0.92349106,0.41791615,-0.14840567,-0.30310413,0,chr19:2841719:esophagus_squamous_epithelium:0,TN,0
2.831442,-0.61919063,-0.91627204,0.3176229,-0.3570351,-0.7386982,0.055228986,-0.3653093,-1.1414896,0.6203309,0,chr19:6199930:spleen:0,FP,1
4.6035995,-0.8129838,0.22290614,-0.031014474,-0.7803366,-0.74882555,-0.22492456,-0.04263269,-0.042147584,-0.3730079,1,chr12:42144546:prostate_gland:0,TP,1
4.63181,-0.57339144,0.89733577,-0.29188588,-0.75179505,-0.51580226,0.0801374,-0.22656284,-0.40019932,-0.38338634,1,chr3:125766575:transverse_colon:0,TP,1
-0.32453334,0.49243435,0.12834299,-0.01849705,0.5574981,-0.09963789,-0.67373616,0.69062626,-0.7381052,0.5696188,1,chr3:186783576:transverse_colon:0,FN,0
2.3516314,-0.4316159,-0.03721872,1.3346273,1.3234539,-0.9080408,-0.29267788,-0.05550348,-0.40138924,-0.22901672,0,chr9:129427483:body_of_pancreas:0,FP,1
3.930853,-1.4541955,-0.044606097,-1.114746,0.2381761,-0.122436285,0.34223413,-0.26580966,1.0704396,1.1674328,1,chr6:32666793:body_of_pancreas:0,TP,1
-0.31314698,1.3843257,-0.0034471133,-0.2117231,-0.16059205,0.7562284,1.0644828,1.8095269,-0.8544708,0.5424448,1,chr1:22025482:transverse_colon:0,FN,0
3.7167692,0.68028444,0.8763653,0.14974009,-1.0445546,-0.55178136,0.05054359,0.012111593,-0.002766255,-0.19019088,0,chr16:1943475:body_of_pancreas:0,FP,1
-1.244144,-1.1360557,-0.32745022,0.102849126,0.5106286,-0.43808803,-0.15340246,0.099405296,-0.38853887,0.6814088,0,chr7:151873385:body_of_pancreas:0,TN,0
-1.0266712,0.7976725,-3.0379362,-0.35553434,-0.4769117,0.83488214,-0.89407825,0.49951544,-0.57377416,1.3581761,0,chr14:95535045:transverse_colon:0,TN,0
4.38184,-1.0785261,1.1308919,-0.010352065,0.2244019,0.22728172,-0.1010456,-0.2684845,0.21324712,-0.36345202,1,chr7:100971217:transverse_colon:0,TP,1
-1.7832247,0.7033805,-0.53319347,-0.5610448,1.0179473,-0.26123708,0.3498839,0.12290034,-0.380523,-0.18071528,0,chr17:82577491:transverse_colon:0,TN,0
4.7024107,-1.3836358,0.22277187,-1.6401192,-0.34993234,0.35766292,0.11058812,-0.7217444,-0.18165535,-0.39610744,1,chr17:22910010:spleen:0,TP,1
3.8426092,-1.0165112,0.41460738,-0.19920707,-0.062083483,0.24858448,-0.27987248,-0.12710994,-0.0956141,-0.3400302,1,chr4:82747087:body_of_pancreas:0,TP,1
-3.535783,0.26258877,0.8953268,-0.6743792,0.08352481,-0.33671266,0.22640236,-0.59074086,-0.93591076,0.13323362,0,chr5:179346201:body_of_pancreas:0,TN,0
3.3749108,-1.4235934,-0.28057864,1.0445648,0.42284435,-0.36051887,0.03959775,-0.40994692,0.28228998,-0.5811035,0,chr12:120534174:esophagus_squamous_epithelium:0,FP,1
1.6451355,0.86779314,-1.6330446,0.23379642,-0.59051156,0.3181898,1.4969015,1.372806,-0.46485177,-1.0682114,0,chr12:121210328:esophagus_squamous_epithelium:0,FP,1
1.9532654,0.271088,-2.2757816,0.3405223,-0.014066789,-0.42245334,1.0473822,0.36812714,-0.83735496,-0.79814583,1,chr6:31271844:transverse_colon:0,TP,1
3.798611,0.5614519,0.81791556,0.23331243,-0.49402726,-0.5519607,-0.1963609,-0.22924198,0.34361798,-0.03684733,0,chr6:32664803:esophagus_squamous_epithelium:0,FP,1
3.8647716,-0.8723421,0.17470428,-0.99639106,-0.9009592,0.70688933,-0.056004513,-0.40869072,-0.61598617,0.41383013,1,chr17:43360648:sigmoid_colon:0,TP,1
-1.6014261,-0.52254784,2.3233664,0.49510106,0.72542995,0.9759484,0.17388675,-0.21844687,-1.1570197,0.72243524,0,chr17:58186152:body_of_pancreas:0,TN,0
-2.8698902,1.279227,0.9117759,-0.56387746,0.9448256,-0.5605337,0.28774524,-0.77368385,-0.2848473,-0.156506,0,chr17:66905256:body_of_pancreas:0,TN,0
-0.85971916,1.0753791,-0.6242473,0.2915471,-0.027839014,0.42873913,1.6197972,-0.17490952,-0.67948604,0.47285622,0,chr12:20368719:body_of_pancreas:0,TN,0
-1.2374238,-1.5266576,0.2025677,-0.09063835,-0.003186018,0.88926256,-0.355239,0.3657429,0.30264032,-0.3237493,0,chr8:24572781:body_of_pancreas:0,TN,0
0.44721788,0.23235612,-3.7112355,0.54664207,-0.46145245,-0.59168774,-0.73693806,-0.22743207,-0.84103143,0.054705866,0,chr20:62642483:upper_lobe_of_left_lung:0,FP,1
3.3120148,-0.97822624,0.005023412,1.0306116,1.3835055,0.0038588634,-0.43689632,0.32064667,0.1804537,-0.65712255,0,chr12:132482009:body_of_pancreas:0,FP,1
-3.1674538,-1.209521,0.7796843,-0.099006884,0.14744534,-0.5430224,0.19873711,0.7275541,0.35389388,0.097855,0,chr1:67445635:body_of_pancreas:0,TN,0
-1.245276,2.872203,-1.0896585,0.24068442,-0.3199833,0.1773278,-0.11045957,-0.007926021,-0.04125256,-0.15303898,1,chr4:40056442:transverse_colon:0,FN,0
4.5490446,-1.5898731,0.064560406,-0.7684802,0.26794016,-0.037625153,7.2363655e-05,0.010101596,0.46004963,0.26774335,1,chr7:142776553:body_of_pancreas:0,TP,1
-1.149877,-1.1265287,0.020174747,0.020752706,0.046029743,-1.1606768,-0.17859183,1.173575,-0.14871028,-0.57054865,0,chr2:233868561:body_of_pancreas:0,TN,0
-1.8696264,-1.3189263,1.4318887,1.6331437,-0.69701403,1.3676456,0.4944867,-1.3049148,-0.09937572,1.0264841,0,chr14:69028177:body_of_pancreas:0,TN,0
-4.0474215,-1.8675475,-0.21080351,-0.5267523,-1.0791898,-0.6968928,-0.15751183,-0.19890146,0.4639285,-0.37618315,0,chr9:61796184:body_of_pancreas:0,TN,0
3.3798358,-0.49195126,0.21441469,1.1045063,1.402018,-0.5001842,-0.20261018,0.093627505,-0.29658577,-0.27575234,1,chr9:129438350:body_of_pancreas:0,TP,1
