example_id,confusion_category,snv_max_abs_delta,snv_true_alt_delta,control_mean_abs_delta,control_n,ref_score
chr3:75785609:esophagus_muscularis_mucosa:0,TP,0.0011305809020996094,,0.0018388557434082032,25,4.35284423828125
chr3:75785547:adrenal_gland:0,TP,0.004603385925292969,,0.0028750419616699217,25,4.351804256439209
chr3:75785547:gastrocnemius_medialis:0,TP,0.0034303665161132812,,0.002343425750732422,25,4.347260475158691
chr3:75785419:prostate_gland:0,TP,0.0035409927368164062,,0.005066089630126953,25,4.346291542053223
chr3:75785547:sigmoid_colon:0,TP,0.003159046173095703,,0.0020063972473144532,25,4.344851970672607
chr3:75785547:thoracic_aorta:1,TP,0.00318145751953125,,0.002269287109375,25,4.341717720031738
chr3:75785419:thoracic_aorta:0,TP,0.003509521484375,,0.0062770843505859375,25,4.335789203643799
chr3:75785609:body_of_pancreas:0,TP,0.00047969818115234375,,0.0038679695129394532,25,4.335471153259277
chr3:75785609:gastrocnemius_medialis:0,TP,0.0012140274047851562,,0.002727680206298828,25,4.334353446960449
chr3:75785609:transverse_colon:0,TP,0.0015354156494140625,,0.003127632141113281,25,4.334333419799805
chr8:38060242:upper_lobe_of_left_lung:0,TP,0.013311386108398438,,0.009348487854003907,25,4.332048416137695
chr3:75785419:Peyers_patch:0,TP,0.0032901763916015625,,0.0064430046081542965,25,4.331828594207764
chr3:75785419:tibial_artery:0,TP,0.0074920654296875,,0.006068477630615235,25,4.330439567565918
chr8:38060267:body_of_pancreas:0,TP,0.0019350051879882812,,0.004329891204833985,25,4.329912185668945
chr8:38060242:Peyers_patch:0,TP,0.007390022277832031,,0.004439353942871094,25,4.328706741333008
chr3:75785419:upper_lobe_of_left_lung:0,TP,0.0041866302490234375,,0.007098140716552734,25,4.323626518249512
chr3:75785419:spleen:0,TP,0.004792213439941406,,0.007432861328125,25,4.32344913482666
chr3:75785419:transverse_colon:1,TP,0.004119873046875,,0.007047042846679687,25,4.322843551635742
chr8:38060242:body_of_pancreas:0,TP,0.009214401245117188,,0.0053501129150390625,25,4.321352958679199
chr8:38060267:upper_lobe_of_left_lung:0,TP,0.0077152252197265625,,0.005351810455322265,25,4.307877063751221
chr3:75785419:tibial_nerve:0,TP,0.004635334014892578,,0.006380405426025391,25,4.293343544006348
chr7:142521135:upper_lobe_of_left_lung:0,TP,0.007238864898681641,,0.011163902282714844,25,4.291805267333984
chr3:75785419:body_of_pancreas:0,TP,0.004313468933105469,,0.0066617393493652345,25,4.290509223937988
chr7:142521135:prostate_gland:0,TP,0.006796360015869141,,0.01291473388671875,25,4.281748294830322
chr7:142521135:gastrocnemius_medialis:0,TP,0.009867191314697266,,0.011062545776367188,25,4.281145095825195
chr7:142521135:transverse_colon:1,TP,0.009241104125976562,,0.008943538665771484,25,4.268405914306641
chr3:75785609:esophagus_squamous_epithelium:0,TP,0.017358779907226562,,0.012775497436523437,25,4.263036727905273
chr3:75785357:transverse_colon:0,TP,0.007170677185058594,,0.00846609115600586,25,4.2571306228637695
chr7:142521135:body_of_pancreas:1,TP,0.012066364288330078,,0.014344959259033204,25,4.255267143249512
chr9:129437752:thoracic_aorta:0,TP,0.047753334045410156,,0.012135162353515624,25,4.250779151916504
chr3:75785419:esophagus_squamous_epithelium:0,TP,0.007332801818847656,,0.0074168586730957034,25,4.2501420974731445
chr9:129437752:gastroesophageal_sphincter:0,TP,0.049738407135009766,,0.016896533966064452,25,4.247441291809082
chr7:142521135:tibial_nerve:0,TP,0.009406089782714844,,0.014110965728759766,25,4.246999740600586
chr3:75785419:sigmoid_colon:0,TP,0.006173133850097656,,0.00826831817626953,25,4.246988296508789
chr3:75785419:adrenal_gland:0,TP,0.006304740905761719,,0.011123466491699218,25,4.246555328369141
chr3:75785609:tibial_nerve:0,TP,0.03057861328125,,0.015075035095214843,25,4.239807605743408
chr7:142521135:Peyers_patch:0,TP,0.009128570556640625,,0.014537105560302735,25,4.236352920532227
chr3:75785419:transverse_colon:0,TP,0.009287834167480469,,0.013201713562011719,25,4.223742485046387
chr7:142521135:body_of_pancreas:0,TP,0.01287984848022461,,0.02052671432495117,25,4.212084770202637
chr17:22909996:body_of_pancreas:0,TP,0.0034494400024414062,,0.0022939491271972657,25,4.209378242492676
chr17:22909996:esophagus_muscularis_mucosa:0,TP,0.0018587112426757812,,0.003047466278076172,25,4.202436923980713
chr17:22909996:omental_fat_pad:0,TP,0.000644683837890625,,0.0022525596618652344,25,4.2018842697143555
chr22:46739374:transverse_colon:0,TP,0.007531166076660156,,0.03934288024902344,25,4.198389053344727
chr5:151298414:upper_lobe_of_left_lung:0,TP,0.005604743957519531,,0.013937549591064453,25,4.198189735412598
chr17:22909996:transverse_colon:0,TP,0.0061492919921875,,0.0031386756896972655,25,4.196615219116211
chr17:22909996:sigmoid_colon:0,TP,0.0026426315307617188,,0.0029621505737304687,25,4.191054344177246
chr5:151298414:transverse_colon:0,TP,0.01204061508178711,,0.011131839752197266,25,4.1885600090026855
chr17:22909996:thoracic_aorta:0,TP,0.0030422210693359375,,0.003403129577636719,25,4.187638282775879
chr12:52949266:upper_lobe_of_left_lung:0,TP,0.021997451782226562,,0.026804141998291016,25,4.183837890625
chr5:151298414:thoracic_aorta:0,TP,0.0056362152099609375,,0.013961830139160157,25,4.1819562911987305
chr22:46739374:Peyers_patch:0,TP,0.005337715148925781,,0.028898983001708983,25,4.177071571350098
chr5:151298414:body_of_pancreas:0,TP,0.0031576156616210938,,0.01175436019897461,25,4.17655086517334
chr5:151298414:sigmoid_colon:0,TP,0.006165981292724609,,0.010494003295898438,25,4.172519207000732
chr17:22909996:tibial_nerve:0,TP,0.01743173599243164,,0.006346111297607422,25,4.170572757720947
chr5:151298414:spleen:0,TP,0.004138946533203125,,0.010012397766113281,25,4.170446395874023
chr7:142776507:thoracic_aorta:0,TP,0.004677295684814453,,0.005754718780517578,25,4.169434070587158
chr6:31374359:spleen:0,TP,0.004150390625,,0.013336620330810546,25,4.168915748596191
chr17:45585364:adrenal_gland:0,TP,0.021552085876464844,,0.02593547821044922,25,4.1680402755737305
chr5:151298414:adrenal_gland:0,TP,0.009705543518066406,,0.010721721649169923,25,4.163949966430664
chr17:22909996:spleen:0,TP,0.02127218246459961,,0.006119441986083984,25,4.163759708404541
chr17:22909996:esophagus_squamous_epithelium:0,TP,0.017273902893066406,,0.008669300079345703,25,4.1627044677734375
chr17:22816782:transverse_colon:0,TP,0.0032677650451660156,,0.003981170654296875,25,4.161874294281006
chr6:31374359:thoracic_aorta:1,TP,0.011677742004394531,,0.01772104263305664,25,4.15900993347168
