confusion_category,position_relative_to_snv,v
FN,-100,4.1484832763671875e-07
FN,-99,4.1484832763671875e-07
FN,-98,4.1484832763671875e-07
FN,-97,4.1484832763671875e-07
FN,-96,4.1484832763671875e-07
FN,-95,4.1484832763671875e-07
FN,-94,4.1484832763671875e-07
FN,-93,4.1484832763671875e-07
FN,-92,4.1484832763671875e-07
FN,-91,4.1484832763671875e-07
FN,-90,4.1484832763671875e-07
FN,-89,4.1484832763671875e-07
FN,-88,4.1484832763671875e-07
FN,-87,4.1484832763671875e-07
FN,-86,4.1484832763671875e-07
FN,-85,4.1484832763671875e-07
FN,-84,4.1484832763671875e-07
FN,-83,4.1484832763671875e-07
FN,-82,4.1484832763671875e-07
FN,-81,4.1484832763671875e-07
FN,-80,4.1484832763671875e-07
FN,-79,4.1484832763671875e-07
FN,-78,4.1484832763671875e-07
FN,-77,4.1484832763671875e-07
FN,-76,4.1484832763671875e-07
FN,-75,4.1484832763671875e-07
FN,-74,4.1484832763671875e-07
FN,-73,4.1484832763671875e-07
FN,-72,4.1484832763671875e-07
FN,-71,4.1484832763671875e-07
FN,-70,4.1484832763671875e-07
FN,-69,4.1484832763671875e-07
FN,-68,4.1484832763671875e-07
FN,-67,4.1484832763671875e-07
FN,-66,4.1484832763671875e-07
FN,-65,4.1484832763671875e-07
FN,-64,4.1484832763671875e-07
FN,-63,4.1484832763671875e-07
FN,-62,4.1484832763671875e-07
FN,-61,4.1484832763671875e-07
FN,-60,4.1484832763671875e-07
FN,-59,4.1484832763671875e-07
FN,-58,4.1484832763671875e-07
FN,-57,4.1484832763671875e-07
FN,-56,4.1484832763671875e-07
FN,-55,4.1484832763671875e-07
FN,-54,4.1484832763671875e-07
FN,-53,4.1484832763671875e-07
FN,-52,4.1484832763671875e-07
FN,-51,4.1484832763671875e-07
FN,-50,4.1484832763671875e-07
FN,-49,4.1484832763671875e-07
FN,-48,4.1484832763671875e-07
FN,-47,4.1484832763671875e-07
FN,-46,4.1484832763671875e-07
FN,-45,4.1484832763671875e-07
FN,-44,4.1484832763671875e-07
FN,-43,4.1484832763671875e-07
FN,-42,4.1484832763671875e-07
FN,-41,4.1484832763671875e-07
FN,-40,4.1484832763671875e-07
FN,-39,4.1484832763671875e-07
FN,-38,4.1484832763671875e-07
FN,-37,4.1484832763671875e-07
FN,-36,4.1484832763671875e-07
FN,-35,4.1484832763671875e-07
FN,-34,4.1484832763671875e-07
FN,-33,4.1484832763671875e-07
FN,-32,4.1484832763671875e-07
FN,-31,4.1484832763671875e-07
FN,-30,4.1484832763671875e-07
FN,-29,4.1484832763671875e-07
FN,-28,4.1484832763671875e-07
FN,-27,4.1484832763671875e-07
FN,-26,4.1484832763671875e-07
FN,-25,4.1484832763671875e-07
FN,-24,4.1484832763671875e-07
FN,-23,4.1484832763671875e-07
FN,-22,4.1484832763671875e-07
FN,-21,4.1484832763671875e-07
FN,-20,4.1484832763671875e-07
FN,-19,4.1484832763671875e-07
FN,-18,4.1484832763671875e-07
FN,-17,4.1484832763671875e-07
FN,-16,4.1484832763671875e-07
FN,-15,4.1484832763671875e-07
FN,-14,4.1484832763671875e-07
FN,-13,4.1484832763671875e-07
FN,-12,4.1484832763671875e-07
FN,-11,4.1484832763671875e-07
FN,-10,4.1484832763671875e-07
FN,-9,4.1484832763671875e-07
FN,-8,4.1484832763671875e-07
FN,-7,4.1484832763671875e-07
FN,-6,4.1484832763671875e-07
FN,-5,4.1484832763671875e-07
FN,-4,4.1484832763671875e-07
FN,-3,4.1484832763671875e-07
FN,-2,4.1484832763671875e-07
FN,-1,4.1484832763671875e-07
FN,0,4.1484832763671875e-07
FN,1,4.1484832763671875e-07
FN,2,4.1484832763671875e-07
FN,3,4.1484832763671875e-07
FN,4,4.1484832763671875e-07
FN,5,4.1484832763671875e-07
FN,6,4.1484832763671875e-07
FN,7,4.1484832763671875e-07
FN,8,4.1484832763671875e-07
FN,9,4.1484832763671875e-07
FN,10,4.1484832763671875e-07
FN,11,4.1484832763671875e-07
FN,12,4.1484832763671875e-07
FN,13,4.1484832763671875e-07
FN,14,4.1484832763671875e-07
FN,15,4.1484832763671875e-07
FN,16,4.1484832763671875e-07
FN,17,4.1484832763671875e-07
FN,18,4.1484832763671875e-07
FN,19,4.1484832763671875e-07
FN,20,4.1484832763671875e-07
FN,21,4.1484832763671875e-07
FN,22,4.1484832763671875e-07
FN,23,4.1484832763671875e-07
FN,24,4.1484832763671875e-07
FN,25,4.1484832763671875e-07
FN,26,4.1484832763671875e-07
FN,27,4.1484832763671875e-07
FN,28,4.1484832763671875e-07
FN,29,4.1484832763671875e-07
FN,30,4.1484832763671875e-07
FN,31,4.1484832763671875e-07
FN,32,4.1484832763671875e-07
FN,33,4.1484832763671875e-07
FN,34,4.1484832763671875e-07
FN,35,4.1484832763671875e-07
FN,36,4.1484832763671875e-07
FN,37,4.1484832763671875e-07
FN,38,4.1484832763671875e-07
FN,39,4.1484832763671875e-07
FN,40,4.1484832763671875e-07
FN,41,4.1484832763671875e-07
FN,42,4.1484832763671875e-07
FN,43,4.1484832763671875e-07
FN,44,4.1484832763671875e-07
FN,45,4.1484832763671875e-07
FN,46,4.1484832763671875e-07
FN,47,4.1484832763671875e-07
FN,48,4.1484832763671875e-07
FN,49,4.1484832763671875e-07
FN,50,4.1484832763671875e-07
FN,51,4.1484832763671875e-07
FN,52,4.1484832763671875e-07
FN,53,4.1484832763671875e-07
FN,54,4.1484832763671875e-07
FN,55,4.1484832763671875e-07
FN,56,4.1484832763671875e-07
FN,57,4.1484832763671875e-07
FN,58,4.1484832763671875e-07
FN,59,4.1484832763671875e-07
FN,60,4.1484832763671875e-07
FN,61,4.1484832763671875e-07
FN,62,4.1484832763671875e-07
FN,63,4.1484832763671875e-07
FN,64,4.1484832763671875e-07
FN,65,4.1484832763671875e-07
FN,66,4.1484832763671875e-07
FN,67,4.1484832763671875e-07
FN,68,4.1484832763671875e-07
FN,69,4.1484832763671875e-07
FN,70,4.1325887044270835e-07
FN,71,4.100799560546875e-07
FN,72,4.100799560546875e-07
FN,73,4.100799560546875e-07
FN,74,4.100799560546875e-07
FN,75,4.100799560546875e-07
FN,76,4.100799560546875e-07
FN,77,4.100799560546875e-07
FN,78,4.100799560546875e-07
FN,79,4.100799560546875e-07
FN,80,4.100799560546875e-07
FN,81,4.100799560546875e-07
FN,82,4.100799560546875e-07
FN,83,4.100799560546875e-07
FN,84,4.100799560546875e-07
FN,85,4.100799560546875e-07
FN,86,4.100799560546875e-07
FN,87,4.100799560546875e-07
FN,88,4.100799560546875e-07
FN,89,4.100799560546875e-07
FN,90,4.100799560546875e-07
FN,91,4.100799560546875e-07
FN,92,4.100799560546875e-07
FN,93,4.100799560546875e-07
FN,94,4.100799560546875e-07
FN,95,4.100799560546875e-07
FN,96,4.100799560546875e-07
FN,97,4.100799560546875e-07
FN,98,4.100799560546875e-07
FN,99,4.100799560546875e-07
FN,100,4.100799560546875e-07
FP,-100,4.4107437133789065e-07
FP,-99,4.4107437133789065e-07
FP,-98,4.4107437133789065e-07
FP,-97,4.4107437133789065e-07
FP,-96,4.4107437133789065e-07
FP,-95,4.4107437133789065e-07
FP,-94,4.4107437133789065e-07
FP,-93,4.4107437133789065e-07
FP,-92,4.4107437133789065e-07
FP,-91,4.4107437133789065e-07
FP,-90,4.4107437133789065e-07
FP,-89,4.4107437133789065e-07
FP,-88,4.4107437133789065e-07
FP,-87,4.4107437133789065e-07
FP,-86,4.4107437133789065e-07
FP,-85,4.4107437133789065e-07
FP,-84,4.4107437133789065e-07
FP,-83,4.4107437133789065e-07
FP,-82,4.4107437133789065e-07
FP,-81,4.4107437133789065e-07
FP,-80,4.4107437133789065e-07
FP,-79,4.4107437133789065e-07
FP,-78,4.4107437133789065e-07
FP,-77,4.4107437133789065e-07
FP,-76,4.4107437133789065e-07
FP,-75,4.4107437133789065e-07
FP,-74,4.4107437133789065e-07
FP,-73,4.4107437133789065e-07
FP,-72,4.4107437133789065e-07
FP,-71,4.4107437133789065e-07
FP,-70,4.4107437133789065e-07
FP,-69,4.4107437133789065e-07
FP,-68,4.4107437133789065e-07
FP,-67,4.4107437133789065e-07
FP,-66,4.4107437133789065e-07
FP,-65,4.4107437133789065e-07
FP,-64,4.4107437133789065e-07
FP,-63,4.4107437133789065e-07
FP,-62,4.4107437133789065e-07
FP,-61,4.4107437133789065e-07
FP,-60,4.4107437133789065e-07
FP,-59,4.4107437133789065e-07
FP,-58,4.4107437133789065e-07
FP,-57,4.4107437133789065e-07
FP,-56,4.4107437133789065e-07
FP,-55,4.4107437133789065e-07
FP,-54,4.4107437133789065e-07
FP,-53,4.4107437133789065e-07
FP,-52,4.4107437133789065e-07
FP,-51,4.4107437133789065e-07
FP,-50,4.4107437133789065e-07
FP,-49,4.4107437133789065e-07
FP,-48,4.4107437133789065e-07
FP,-47,4.4107437133789065e-07
FP,-46,4.4107437133789065e-07
FP,-45,4.4107437133789065e-07
FP,-44,4.4107437133789065e-07
FP,-43,4.4107437133789065e-07
FP,-42,4.4107437133789065e-07
FP,-41,4.4107437133789065e-07
FP,-40,4.4107437133789065e-07
FP,-39,4.4107437133789065e-07
FP,-38,4.4107437133789065e-07
FP,-37,4.4107437133789065e-07
FP,-36,4.4107437133789065e-07
FP,-35,4.4107437133789065e-07
FP,-34,4.4107437133789065e-07
FP,-33,4.4107437133789065e-07
FP,-32,4.4107437133789065e-07
FP,-31,4.4107437133789065e-07
FP,-30,4.4107437133789065e-07
FP,-29,4.4107437133789065e-07
