confusion_category,position_relative_to_snv,ig_abs
FN,-100,0.04356686223996803
FN,-99,0.042447262133937326
FN,-98,0.036056042794371024
FN,-97,0.032752757479902354
FN,-96,0.03643410824472085
FN,-95,0.037671835805522275
FN,-94,0.037400242161238564
FN,-93,0.04174568088492379
FN,-92,0.0412416535068769
FN,-91,0.04186647001071833
FN,-90,0.05037145112641156
FN,-89,0.056384365065023305
FN,-88,0.054279692946001885
FN,-87,0.053293668692931534
FN,-86,0.05515864499844611
FN,-85,0.058039238101337105
FN,-84,0.05265299967257306
FN,-83,0.049910577184055
FN,-82,0.05029669595183805
FN,-81,0.05060567532666028
FN,-80,0.04898522269912064
FN,-79,0.04739254599437118
FN,-78,0.047630582894198595
FN,-77,0.052936577470973134
FN,-76,0.05253673316910863
FN,-75,0.0547276113461703
FN,-74,0.05675509487744421
FN,-73,0.06222978533245623
FN,-72,0.06417949520982802
FN,-71,0.06534054778050631
FN,-70,0.06470210225787014
FN,-69,0.06453073030337692
FN,-68,0.05894815201405436
FN,-67,0.06176394569454715
FN,-66,0.06345147735672071
FN,-65,0.05772085160948336
FN,-64,0.057645632810890676
FN,-63,0.0497111415467225
FN,-62,0.04909784651361406
FN,-61,0.0502429968281649
FN,-60,0.046167162174824625
FN,-59,0.044566767008509485
FN,-58,0.042548646449577066
FN,-57,0.04378343823365867
FN,-56,0.04274739058688283
FN,-55,0.048916275696828965
FN,-54,0.05183831359259784
FN,-53,0.05535352185368538
FN,-52,0.061899130675010385
FN,-51,0.059753217198885974
FN,-50,0.06399574544746428
FN,-49,0.057663771160878244
FN,-48,0.051185124525800346
FN,-47,0.04568985490128398
FN,-46,0.044415545952506366
FN,-45,0.04442168313777074
FN,-44,0.049051646480802444
FN,-43,0.04736304258694872
FN,-42,0.04902780931675807
FN,-41,0.05429711378877983
FN,-40,0.0544847877509892
FN,-39,0.056589438766241076
FN,-38,0.059034413311164824
FN,-37,0.06541388862999156
FN,-36,0.06441965694306419
FN,-35,0.06483651838032528
FN,-34,0.06021242687478662
FN,-33,0.06571740666404366
FN,-32,0.06161547363968566
FN,-31,0.05284120286349207
FN,-30,0.052576038562692703
FN,-29,0.05041454297490418
FN,-28,0.05203662636689842
FN,-27,0.050366653616074473
FN,-26,0.05211784621467814
FN,-25,0.054076386240776625
FN,-24,0.05323105882620439
FN,-23,0.048498093781527134
FN,-22,0.05114241136005148
FN,-21,0.050136430270504205
FN,-20,0.048760300243739035
FN,-19,0.04753184374072589
FN,-18,0.04834116187994368
FN,-17,0.04680211316444911
FN,-16,0.04624585460522212
FN,-15,0.046633967157686126
FN,-14,0.04616271687671542
FN,-13,0.050636923289857805
FN,-12,0.053859068020246925
FN,-11,0.0543818840989843
FN,-10,0.06049667820567265
FN,-9,0.051934543950483206
FN,-8,0.046647118604741994
FN,-7,0.0520792542072013
FN,-6,0.04931890779058449
FN,-5,0.04638925786595791
FN,-4,0.0496460192091763
FN,-3,0.043858691244386135
FN,-2,0.04569533352740109
FN,-1,0.04581823458662257
FN,0,0.045033860232215374
FN,1,0.04686033614678308
FN,2,0.04525270416168496
FN,3,0.05445397834526375
FN,4,0.052490617886651304
FN,5,0.053201339745428414
FN,6,0.04889622187241912
FN,7,0.04415216757450253
FN,8,0.05159418884897605
FN,9,0.05579622390912846
FN,10,0.05064232370117679
FN,11,0.0518798137223348
FN,12,0.05467838195152581
FN,13,0.056194011783227325
FN,14,0.05941219672095031
FN,15,0.06292166102211923
FN,16,0.057257992895320055
FN,17,0.05852241183165461
FN,18,0.05339821904432029
FN,19,0.0553342110151425
FN,20,0.054942289260216055
FN,21,0.05154904201161117
FN,22,0.055276307999156414
FN,23,0.06472604330163449
FN,24,0.06748770444188266
FN,25,0.07023618850158528
FN,26,0.0681949588120915
FN,27,0.0704816093784757
FN,28,0.06142825655406341
FN,29,0.05952316015260294
FN,30,0.05601348325144499
FN,31,0.056338802971877155
FN,32,0.05929706870112568
FN,33,0.06492817773483693
