example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1,snv_offset_seq1,snv_offset_seq2
chr3:125766575:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863513112068176,-2.0920422077178955,2.1883249282836914,225,225
chr3:75785531:Peyers_patch:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986125648021698,-2.06315541267395,2.200590133666992,306,306
chr3:75785531:adrenal_gland:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861217141151428,-2.0651559829711914,2.1982996463775635,303,303
chr17:22910011:tibial_artery:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860956072807312,-2.045053005218506,2.216495990753174,280,280
chr12:8390645:spleen:0,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860525131225586,-2.046656847000122,2.2117552757263184,288,288
chr12:8390682:transverse_colon:0,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860485792160034,-2.0543017387390137,2.2038228511810303,278,278
chr12:8390682:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860368371009827,-2.0653762817382812,2.1919000148773193,279,279
chr12:8390682:thoracic_aorta:1,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860336184501648,-2.0547287464141846,2.2023091316223145,285,285
chr12:8390645:adrenal_gland:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860024452209473,-2.049135208129883,2.2056405544281006,281,281
chr12:8390645:thoracic_aorta:1,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859974384307861,-2.0582027435302734,2.1962106227874756,274,274
chr12:8390645:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859969019889832,-2.0548062324523926,2.1995699405670166,252,252
chr3:125766575:Peyers_patch:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858412742614746,-2.056546211242676,2.1866183280944824,294,294
chr17:22910011:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858347773551941,-2.0424857139587402,2.200214385986328,207,207
chr3:125766575:tibial_artery:1,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858318567276001,-2.051109552383423,2.1913809776306152,297,297
chr3:75785389:tibial_artery:1,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858285188674927,-2.068281888961792,2.1739649772644043,280,280
chr8:38060272:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858044981956482,-2.0531299114227295,2.1874048709869385,274,274
chr3:125766575:prostate_gland:1,TP,1,1,0,[CLS],0,0,113,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857903718948364,-2.0469603538513184,2.1925673484802246,295,295
chr3:125766575:testis:1,TP,1,1,0,[CLS],0,0,113,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857865571975708,-2.0516915321350098,2.1875596046447754,284,284
chr17:22910011:lower_leg_skin:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857766032218933,-2.0499022006988525,2.188636302947998,276,276
chr12:8390645:prostate_gland:0,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857153296470642,-2.054652452468872,2.1795318126678467,216,216
chr3:75785389:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856999516487122,-2.0625498294830322,2.1705355644226074,241,241
chr17:23044492:suprapubic_skin:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856550097465515,-2.039351463317871,2.190552234649658,260,260
chr8:38060272:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985654890537262,-2.0548324584960938,2.1750597953796387,228,228
chr12:8390682:prostate_gland:0,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856144785881042,-2.045746088027954,2.1812987327575684,227,227
chr17:22910011:prostate_gland:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856088757514954,-2.043485641479492,2.1831634044647217,257,257
chr3:75785389:tibial_nerve:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856017231941223,-2.0532708168029785,2.1728718280792236,233,233
chr17:22910011:tibial_nerve:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9855668544769287,-2.0327327251434326,2.190960645675659,229,229
chr17:23044492:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9855491518974304,-2.0464823246002197,2.175961494445801,287,287
chr17:23044492:spleen:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854980707168579,-2.0351715087890625,2.1836965084075928,296,296
chr12:8390645:transverse_colon:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854959845542908,-2.05515456199646,2.1635632514953613,223,223
chr12:8390682:testis:1,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854737520217896,-2.029578685760498,2.1875863075256348,210,210
chr12:8390645:prostate_gland:1,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854387044906616,-2.0362303256988525,2.17848801612854,213,213
chr17:22910011:omental_fat_pad:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854359030723572,-2.037834882736206,2.1766932010650635,251,251
chr17:22995763:gastroesophageal_sphincter:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9854125380516052,-2.020496368408203,2.19240140914917,290,290
chr12:8390682:tibial_artery:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9853762984275818,-2.031808376312256,2.1785740852355957,221,221
chr17:22910011:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9853611588478088,-2.0360922813415527,2.173234224319458,236,236
chr17:22995763:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985350489616394,-2.011542797088623,2.1970443725585938,284,284
chr3:75785389:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9853441119194031,-2.0382535457611084,2.169898271560669,212,212
chr17:22910011:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9853439927101135,-2.0244743824005127,2.183663845062256,212,212
chr17:23044492:prostate_gland:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9853317141532898,-2.0296199321746826,2.177668809890747,299,299
chr17:22995763:Peyers_patch:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985323965549469,-2.0170326232910156,2.1897268295288086,231,231
chr9:129437679:thoracic_aorta:0,TP,1,1,0,[CLS],0,0,107,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985278844833374,-2.03786301612854,2.165778398513794,247,247
chr17:22995763:tibial_nerve:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9852702021598816,-2.017432928085327,2.1856117248535156,300,300
chr17:23044492:tibial_artery:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9852044582366943,-2.020955801010132,2.177564859390259,257,257
