PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
5.236796,-0.74787825,-0.004560156,-0.34701392,-0.22985725,0.06476766,-0.047996085,-0.2918381,0.073814385,-0.089054376,1,chr12:42144537:upper_lobe_of_left_lung:0,TP,1
4.9838405,0.033824436,0.10389381,-0.32170728,-0.53782374,-0.11557826,-0.14248143,-0.2591516,0.11411274,-0.44226983,1,chr2:67906577:thoracic_aorta:0,TP,1
4.402108,0.35342252,-0.03858858,-0.4131455,-0.32363605,-0.0064175758,0.29388782,0.07327243,-0.01971314,0.22354142,1,chr9:129443299:prostate_gland:0,TP,1
-1.6700538,1.1673164,-0.8437079,-0.14601114,1.059445,0.78648025,-0.46693185,-1.0028594,0.774601,-0.66621834,1,chr5:149313040:gastrocnemius_medialis:0,FN,0
-3.210975,0.42881167,-0.31058308,-1.3021,-0.32029858,-0.122954145,-1.4392201,0.9289671,0.6049284,0.027625645,1,chr10:58600662:gastrocnemius_medialis:0,FN,0
-2.940957,-0.9423118,0.7763095,-1.0545621,-0.6048075,-0.18147096,-0.7211732,0.22850251,0.47308636,0.4495992,0,chr13:73757915:gastroesophageal_sphincter:0,TN,0
4.2327986,0.05188544,-0.5629123,-0.8753086,0.24194112,-0.7673098,0.53081185,0.3205747,-0.3925625,0.1956985,1,chr11:62530630:sigmoid_colon:0,TP,1
-3.7392035,2.4529727,-0.06503676,-0.77744114,0.3265767,-0.080816686,0.6113719,-0.20337202,-0.31175035,-0.6189959,1,chr1:94590976:tibial_artery:0,FN,0
2.021734,1.6963379,-0.5760884,-0.25060317,0.089217156,-0.91744095,0.2966535,0.35946882,-0.686407,-0.2107081,1,chr19:47781804:transverse_colon:0,TP,1
3.1466644,-0.09870079,-0.8717794,-0.8193853,0.52212274,-0.6667081,0.33026913,1.6536571,0.08757592,2.172338,1,chr1:21935425:body_of_pancreas:0,TP,1
4.7632127,0.34055015,0.007455978,0.76524323,-0.40609473,0.12527847,-0.13712049,-0.1317262,0.12734695,-0.13171291,1,chr7:30284569:suprapubic_skin:0,TP,1
-2.8106847,-2.2180262,1.6118813,-0.1442669,0.3359956,0.20406277,0.3917945,-0.638944,-0.73505247,0.22606348,0,chr2:36405031:gastrocnemius_medialis:0,TN,0
3.1466644,-0.09870079,-0.8717794,-0.8193853,0.5221228,-0.6667078,0.3302692,1.6536571,0.0875759,2.1723394,1,chr1:21935425:gastroesophageal_sphincter:0,TP,1
5.236789,-0.74785364,-0.0045602275,-0.34702247,-0.2298851,0.06473856,-0.04800656,-0.29183552,0.0738189,-0.08909142,1,chr12:42144537:body_of_pancreas:0,TP,1
0.1256994,1.3129601,-1.338169,0.11921391,0.16718885,0.7008762,1.15713,0.16819124,0.13414635,-0.7620023,0,chr18:48545948:sigmoid_colon:0,FP,1
4.8422413,0.08581669,0.5680756,0.07606099,-0.16982646,0.124357626,-0.32118654,-0.20531262,0.030951157,-0.29328233,1,chr17:44980596:esophagus_squamous_epithelium:0,TP,1
3.8621547,1.253489,0.46587142,0.644863,-0.0056846375,0.1659659,-0.4965487,0.16440548,0.09261051,0.14267197,1,chr9:129427596:prostate_gland:0,TP,1
2.4597466,0.018543415,0.20869695,0.47090545,0.40223795,0.5671226,-0.18780704,0.89630127,0.6499993,-0.43431908,1,chr19:3371903:gastroesophageal_sphincter:0,TP,1
2.9232085,0.2366427,-0.19661613,1.6578461,-0.6591749,0.8049894,-1.3004363,-0.06577738,-0.4075297,0.5958798,1,chr1:156082827:esophagus_muscularis_mucosa:0,TP,1
4.781201,-0.96866083,-0.05352389,-0.43944323,-0.060938995,0.2097564,0.21788421,-0.47446153,0.36484152,-0.38131607,1,chr3:19889202:gastrocnemius_medialis:0,TP,1
-1.3191527,-0.70419884,-0.1303108,-0.23916258,1.8983818,-0.5247443,0.12421772,0.8066877,-0.80994767,0.55531555,0,chr9:131629827:body_of_pancreas:0,TN,0
1.2463976,0.8869977,-0.8747993,0.63981766,0.641876,0.3039902,-0.6994597,0.5854013,-0.35971734,0.14911756,1,chr17:11249298:body_of_pancreas:0,TP,1
2.6836162,1.1428617,-0.52961266,0.7573042,0.017328579,0.30760303,0.5728504,0.43009728,-0.1937657,0.0860017,0,chr22:19942585:transverse_colon:0,FP,1
2.9355109,2.368892,1.231374,-0.08055613,-0.12888524,0.82388955,-0.100139506,-0.092746824,0.53983617,-0.28853533,0,chr7:80707283:spleen:0,FP,1
-3.673938,-1.1108186,1.0387996,0.10175183,-0.80813104,-0.3369458,0.089039505,-0.4268062,0.2516884,0.4429546,0,chr1:5297110:body_of_pancreas:0,TN,0
1.7466444,-0.9559487,-0.10575253,1.516318,0.46310312,-0.44592458,-0.019105947,0.23036723,-0.13121639,0.768359,1,chr2:223945458:gastrocnemius_medialis:0,TP,1
4.9729548,0.03246265,0.106276706,-0.36598477,-0.23654354,-0.14493354,0.12825918,-0.3463059,0.12852345,-0.42712522,1,chr9:33796148:body_of_pancreas:0,TP,1
-3.9311209,-1.0021794,-0.8076329,0.33267954,-0.6235121,-0.9151156,-0.12983805,-1.0363849,-0.14620101,-0.08295456,0,chr2:37672166:suprapubic_skin:0,TN,0
-3.501596,1.7169302,0.91067076,-0.7342503,0.20342954,-0.14316313,-1.034381,-0.048376445,0.50239545,0.26044217,1,chr3:64663517:sigmoid_colon:0,FN,0
