PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-5.814452,-1.106805,-0.041672416,-0.1586825,0.5835371,0.16763213,-0.2505139,0.14936084,0.0035679764,-0.15998058,0,chr1:208268555:body_of_pancreas:0,TN,0
-5.767694,-0.8222092,-0.09312682,-0.2403399,1.1232996,-0.05376833,0.07164856,-0.024379779,-0.25450936,-0.3826851,0,chr10:100267607:transverse_colon:0,TN,0
-4.1739807,0.98070025,0.46797767,-0.34816906,-0.067505285,-0.7926299,-0.09191126,0.0010524889,-0.27011666,-0.33702868,0,chr15:85840427:sigmoid_colon:0,TN,0
7.3283744,-0.30518532,-0.3991083,0.22839263,0.17116342,0.45957723,0.49323964,0.029948482,0.5729814,-0.55047953,0,chr20:53943966:thoracic_aorta:0,FP,1
-3.2690609,0.628964,1.1677697,-0.2594657,0.99328524,-0.72326964,0.88333803,0.2671767,0.08831425,0.109449744,1,chr2:46699152:prostate_gland:0,FN,0
-3.7843826,-0.1343864,0.7844435,-0.63339293,-0.3197262,-0.5962875,-0.5614878,-0.3016461,0.4437087,0.0065923627,0,chr5:150847159:prostate_gland:0,TN,0
7.6782727,-0.054044988,-1.3374679,-1.2410526,0.33302423,-0.26623946,-0.043377515,-0.31973726,-0.4576099,0.013244837,1,chr2:86221296:thoracic_aorta:0,TP,1
-1.1323315,-0.16519794,2.272559,0.40075076,-0.08494078,-1.7090796,0.13636118,-0.24409616,0.46401995,0.16661178,1,chr9:33447548:prostate_gland:0,FN,0
-3.7982001,1.5342537,0.46712518,-0.2562005,0.31561634,-0.7067753,0.24017231,-1.0315852,-0.08350623,0.7795865,0,chr7:100950296:Peyers_patch:0,TN,0
6.448331,-0.9087175,0.4961817,0.22143343,-0.5263207,-0.16373774,-0.21121225,0.0920682,-0.44949508,-0.26991603,1,chr8:41651698:testis:0,TP,1
-1.2784362,0.4691212,0.24798754,-0.7585319,-0.13656256,1.2667661,-0.7532038,0.59873194,1.0194019,0.04393882,0,chr1:239067551:body_of_pancreas:0,TN,0
-4.219574,1.0889385,-0.741069,0.19983564,-0.17779271,-0.19088972,0.25018966,0.12811054,0.65002006,-0.7552853,1,chr1:146376989:lower_leg_skin:0,FN,0
6.578676,0.663738,-2.667114,-0.42457697,1.2749281,-0.54131275,-0.09274852,0.9981192,-0.54493207,0.6380359,1,chr8:44636977:gastrocnemius_medialis:0,TP,1
-3.3857615,1.2701887,-0.93950295,-0.72809535,-1.2145642,-0.4458457,-0.060849506,-0.14193289,-0.38290465,-0.54809517,0,chr22:50533646:body_of_pancreas:0,TN,0
7.3058267,1.8732063,-0.31684858,0.24922135,-0.32634404,1.5598277,0.18115623,1.0290779,-0.79182655,-1.0498174,1,chr2:8910313:body_of_pancreas:0,TP,1
-4.600794,-0.473975,0.6697836,0.103971064,-0.3348069,-0.2009508,0.17098466,-0.0863415,-0.08431261,0.13658948,1,chr6:44627517:body_of_pancreas:0,FN,0
-3.9953606,0.092840485,0.59886515,-0.40573287,0.27750227,-0.35516545,0.5508763,0.7126228,-0.058981482,-0.09249408,1,chr6:157274469:tibial_nerve:0,FN,0
-1.5598195,0.2459897,-0.13439658,0.55788255,-0.14841674,-0.67394584,-0.64305604,0.9480353,1.7827971,0.73275346,0,chr2:130144620:spleen:0,TN,0
-5.970052,-0.23081145,-0.3001548,0.24538128,-0.08966053,-0.44857493,-0.074972525,-0.17184362,-0.33229303,0.12662955,0,chr20:59515611:transverse_colon:0,TN,0
5.345669,0.01726303,1.919071,-0.37487862,-0.1866287,0.63552153,-0.36859202,-0.4092504,-0.3735513,0.43199483,0,chr15:63000361:body_of_pancreas:0,FP,1
-5.865696,-0.82763344,0.14074841,-0.16022645,0.7600777,-0.41742292,0.5515922,0.12170327,0.006504844,-0.19045787,0,chr7:150323436:spleen:0,TN,0
-3.8872888,1.0143653,-0.10483411,-0.5180854,-0.2990387,0.15223789,0.17342623,-0.5009438,-0.48190877,0.5330837,1,chr6:131199853:adrenal_gland:0,FN,0
7.3806596,-0.75112605,0.119320676,0.19281289,0.18039325,-0.2398265,0.28629157,-0.19291982,0.45543015,-0.48323116,1,chr17:45585364:esophagus_muscularis_mucosa:0,TP,1
-4.749518,0.8789966,-0.64338905,-0.38041726,-0.33278212,0.28418317,-0.26017138,-0.64525443,-0.33065227,-0.12791906,1,chr9:127348292:gastroesophageal_sphincter:0,FN,0
-4.172146,0.7894705,0.36507,-0.20536375,0.0669299,-0.07201146,-0.11710424,-0.2712059,-0.21095124,-0.05603191,0,chr21:43723793:body_of_pancreas:0,TN,0
0.14279523,0.42760518,2.75092,0.3991656,1.1758044,-1.1721258,1.1738057,0.5748701,0.7393114,0.096061595,0,chr6:138988030:esophagus_squamous_epithelium:0,TN,0
7.746776,0.6769426,-2.214588,-0.58485925,1.2267797,-0.43237978,0.36923057,0.39044693,-0.52163225,0.4285165,1,chr17:22909996:testis:0,TP,1
-4.4126124,1.1651736,-0.42458835,-0.009698164,-0.37453294,-0.30125862,-0.40709785,-0.60028577,0.1045277,0.007826805,1,chr18:56728983:transverse_colon:0,FN,0
7.170501,-0.82705057,-0.6996447,0.3233404,0.21398082,0.10288374,0.35383144,-0.59704,0.43701604,-0.7003697,1,chr11:29644415:prostate_gland:0,TP,1
6.0237513,0.4054053,-0.54513466,-0.51498747,-0.9885772,0.33551276,-0.88251674,0.8282314,-0.07693984,0.17695814,0,chr6:11013986:body_of_pancreas:0,FP,1
6.8780456,-0.49272695,0.2873592,0.15433484,-0.37679183,0.10280289,0.20453231,0.0441627,0.3452639,0.18200904,1,chr7:100949214:Peyers_patch:0,TP,1
-4.075638,1.1284119,0.7379191,0.2321375,0.40828958,-0.9851141,0.24242225,-0.022877539,0.103749126,-0.07827518,0,chr15:63122523:gastrocnemius_medialis:0,TN,0
0.053678375,1.2358389,-0.9419779,0.6029731,0.56654155,-0.30565378,-0.58955026,1.3650538,0.014976291,-0.52122086,0,chr1:19659758:tibial_nerve:0,TN,0
6.245462,-1.0232992,0.09091343,0.65059066,-0.20926422,-0.4865843,0.34004733,-0.83487123,1.0512135,-0.030366536,1,chr11:46305551:body_of_pancreas:0,TP,1
-4.4119215,0.9225782,0.23518464,-0.66039884,0.22226076,-0.44591165,-0.18708389,-0.5006967,0.22207688,-0.14461009,1,chr5:759207:body_of_pancreas:0,FN,0
-4.2989974,0.31169116,0.22483423,-0.40731162,-0.4582925,-0.5118471,-0.5259829,-0.06288731,0.01969761,-0.3200043,0,chr7:100217197:tibial_artery:0,TN,0
-5.2186365,-0.9603577,-0.6856758,0.23520844,-0.35437462,1.0503571,0.722946,0.3107584,0.5950863,0.07065211,0,chr9:105609267:thoracic_aorta:0,TN,0
-4.276155,1.2641315,-0.66733116,0.10789339,-0.48883405,0.2884608,0.17342365,-0.46723443,0.06980321,-0.12947771,0,chr3:64325309:thoracic_aorta:0,TN,0
3.3642004,-0.6002208,1.8636931,0.51474303,-0.10001615,-1.2384503,-0.5525855,-0.14716983,0.051376965,1.0984828,0,chr17:4639421:upper_lobe_of_left_lung:0,FP,1
-0.50903463,0.1011427,1.0862908,-0.051291596,1.4599602,0.6064176,-1.6915373,-0.21422505,-0.1145188,0.095231526,0,chr14:34228362:thoracic_aorta:0,TN,0
4.58837,-1.0094589,-1.3373051,-0.06735871,-0.15626405,-0.5948649,-0.17302266,-0.013997523,0.93846357,-0.3813556,1,chr7:73725711:suprapubic_skin:0,TP,1
-3.4772778,1.0906149,0.8034203,-0.030833144,-0.17862703,-0.6439374,-0.23233297,-0.3464524,0.24494573,0.33865353,0,chr3:9862475:body_of_pancreas:0,TN,0
-4.5980935,-1.5530394,0.62204653,-0.13081004,-0.096520536,0.9978471,0.51297843,1.112568,-0.6818797,0.1392796,0,chr1:225816669:transverse_colon:0,TN,0
5.211406,0.24382597,1.5736182,-1.1469697,-0.9888928,0.34764045,-0.32207137,0.5991223,-0.3165006,0.7755501,0,chr2:46818510:body_of_pancreas:0,FP,1
-3.8176754,-0.19938415,-0.012159971,-0.7921129,0.89700794,0.7717732,-0.0966736,-0.1875117,0.30046383,-0.0802794,0,chr6:2448888:adrenal_gland:0,TN,0
