PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
6.259545,-0.43138233,-0.08170103,0.5873282,0.2628335,-0.87520385,-0.54650676,-0.16024664,-0.13969761,-0.5421427,1,chr12:52949266:prostate_gland:0,TP,1
-3.2829967,-0.8118433,-0.025090339,0.43250683,-0.0693161,0.36354464,-0.29156342,0.1931838,0.2847006,0.14527331,0,chr1:208268555:body_of_pancreas:0,TN,0
-2.5882986,0.5539656,0.48340842,-0.8731239,-0.37274522,-1.0063939,0.30802843,-0.35170946,0.198533,0.04775224,0,chr10:100267607:transverse_colon:0,TN,0
-2.2209356,-0.054327298,1.0974337,-0.2866592,0.95329005,0.11581632,0.6910979,0.19965968,0.5466583,0.40343466,0,chr15:85840427:sigmoid_colon:0,TN,0
1.238259,-0.6556151,-0.27464747,-0.13579568,-0.5900457,0.8384969,-0.16619837,-0.08459209,0.7097186,-0.29048273,0,chr20:53943966:thoracic_aorta:0,FP,1
-2.696252,0.7139479,0.12883464,-1.5578043,1.0748194,-0.59800637,-0.6128047,-0.08043296,0.09440939,0.43227336,1,chr2:46699152:prostate_gland:0,FN,0
2.8815408,2.993411,1.2044413,-1.0022124,-1.3598918,0.43844718,0.8387394,-0.15705635,-0.09246449,0.1248643,0,chr5:150847159:prostate_gland:0,FP,1
6.5428977,-0.111041605,0.4351018,0.30134103,-0.5045544,-0.04423978,-0.40126804,0.123514965,-0.26962116,0.08227837,1,chr2:86221296:thoracic_aorta:0,TP,1
-3.7798362,-2.122784,0.08537141,-0.134297,1.0352899,0.47410598,0.8181554,-0.1789844,-0.6762061,0.46636394,1,chr9:33447548:prostate_gland:0,FN,0
-1.1894213,-0.75773495,0.008995189,-0.050029304,1.0993437,-0.3327321,-0.21722269,0.93602556,-1.2598913,-0.41649583,0,chr7:100950296:Peyers_patch:0,TN,0
-2.055664,2.5404718,-0.32363212,-0.19385208,0.254371,-0.19443095,-0.86455667,-0.10568201,-0.4830239,-0.2398618,1,chr8:41651698:testis:0,FN,0
-1.9387598,-0.87793016,-1.789519,0.48545983,-0.12728852,0.564831,0.45834133,0.616769,0.07715948,0.30756745,0,chr1:239067551:body_of_pancreas:0,TN,0
-3.5076976,0.005271692,0.82611066,-0.13157862,-0.04779708,-0.306089,-0.24530584,0.20879008,-0.20941812,0.3961383,1,chr1:146376989:lower_leg_skin:0,FN,0
3.1883032,1.1410162,-1.0589631,0.55878574,-0.29239625,-0.18795685,0.73286736,2.6109786,0.8422393,0.8655582,1,chr8:44636977:gastrocnemius_medialis:0,TP,1
-1.998373,2.7497845,-1.4184107,0.13331127,0.15691184,0.90722865,-0.86708623,0.116905786,-0.37463054,-0.09425465,0,chr22:50533646:body_of_pancreas:0,TN,0
-2.1789215,1.1259836,-0.73678046,0.6064993,0.18177937,-0.119615875,0.36982006,-0.12799186,-0.21037346,-0.17078352,1,chr2:8910313:body_of_pancreas:0,FN,0
-0.65713155,-1.2270745,0.57738906,1.0787208,2.0514534,0.21992637,0.015473418,-0.25212297,0.35611504,0.196126,1,chr6:44627517:body_of_pancreas:0,FN,0
0.7823025,-0.65052277,1.2376103,-1.8534648,-0.4632299,0.15778793,0.10060312,0.06340335,1.1060547,-0.108262174,1,chr6:157274469:tibial_nerve:0,TP,1
-1.7546059,2.196967,-0.25932038,0.14478429,1.2360197,0.17340708,0.07893293,0.48855963,-0.2933248,0.43163353,0,chr2:130144620:spleen:0,TN,0
-4.0040445,-0.6872679,0.3560677,-0.8105326,-0.14125988,-0.64377207,-0.31309605,0.14960709,0.08358506,0.043749716,0,chr20:59515611:transverse_colon:0,TN,0
1.5663011,0.97625476,0.8427691,-0.7831354,-0.46952608,2.224241,-0.36857125,0.6572262,0.019635452,-0.77736497,0,chr15:63000361:body_of_pancreas:0,FP,1
-3.0080166,0.14476135,0.6289408,-1.0627875,0.4602278,-1.1582621,-0.003350375,-0.122981235,-0.07939761,0.10857171,0,chr7:150323436:spleen:0,TN,0
-2.102813,-0.26192638,1.6937122,1.6586822,0.7970378,0.742022,0.30960125,-0.17198467,-0.5602597,-0.20093793,1,chr6:131199853:adrenal_gland:0,FN,0
