confusion_category,position_relative_to_snv,ig_abs
FN,-100,0.07324652978219091
FN,-99,0.07146568567957728
FN,-98,0.06745763439219445
FN,-97,0.06838864371413365
FN,-96,0.06085732200182974
FN,-95,0.07550475133117289
FN,-94,0.07582981543149798
FN,-93,0.08308197232428938
FN,-92,0.096713485668879
FN,-91,0.09520847564563155
FN,-90,0.08733819857239723
FN,-89,0.09103339101653546
FN,-88,0.08644028358627111
FN,-87,0.08087215898558497
FN,-86,0.0713520400901325
FN,-85,0.0702108630281873
FN,-84,0.06107890269486234
FN,-83,0.06462927559157833
FN,-82,0.06692384813679382
FN,-81,0.06848639948177151
FN,-80,0.07191954965586773
FN,-79,0.07742703389259986
FN,-78,0.07944542781449854
FN,-77,0.08011531239375472
FN,-76,0.07762571691069751
FN,-75,0.08090916788903996
FN,-74,0.1052829394559376
FN,-73,0.10499993351055309
FN,-72,0.10998525275150314
FN,-71,0.11721574784489348
FN,-70,0.11501432809163817
FN,-69,0.09367059492156841
FN,-68,0.0888791699486319
FN,-67,0.08304565937258303
FN,-66,0.08072534654987976
FN,-65,0.08646871427306906
FN,-64,0.08688915594946593
FN,-63,0.08891917693428696
FN,-62,0.0881434045592323
FN,-61,0.0854745408333838
FN,-60,0.08206754990387707
FN,-59,0.08224703414831311
FN,-58,0.07448240474797785
FN,-57,0.0716724007949233
FN,-56,0.07212663111742586
FN,-55,0.08495884829200805
FN,-54,0.08413078495301306
FN,-53,0.08602664987090974
FN,-52,0.08897234078962356
FN,-51,0.09130181405460462
FN,-50,0.0694835741003044
FN,-49,0.07331222450127825
FN,-48,0.07285945873940364
FN,-47,0.07135991090210154
FN,-46,0.07579041671007872
FN,-45,0.07636163745308294
FN,-44,0.07745016990927979
FN,-43,0.07688498699804767
FN,-42,0.07879736306378618
FN,-41,0.07788387491367757
FN,-40,0.07806165621615946
FN,-39,0.07947196500375867
FN,-38,0.07601039753993973
FN,-37,0.08143087974516675
FN,-36,0.07517427081009373
FN,-35,0.07944314738037064
FN,-34,0.07806887456448748
FN,-33,0.08236541519407183
FN,-32,0.08926381462719292
FN,-31,0.08923823934514076
