confusion_category,position_relative_to_snv,v
FN,-100,0.01828145662943522
FN,-99,0.018204113642374675
FN,-98,0.019374446868896486
FN,-97,0.017349143028259278
FN,-96,0.018272893428802492
FN,-95,0.022400050163269042
FN,-94,0.02148048003514608
FN,-93,0.024597317377726236
FN,-92,0.02238309621810913
FN,-91,0.02025795857111613
FN,-90,0.017558796405792235
FN,-89,0.017862342993418375
FN,-88,0.018020193576812744
FN,-87,0.026463597615559897
FN,-86,0.01730448563893636
FN,-85,0.021842793623606364
FN,-84,0.022365827560424805
FN,-83,0.021577242215474447
FN,-82,0.02119888703028361
FN,-81,0.022634839216868083
FN,-80,0.019917157491048176
FN,-79,0.019291129112243652
FN,-78,0.022492084503173828
FN,-77,0.025711299578348792
FN,-76,0.031254826386769616
FN,-75,0.02795294245084127
FN,-74,0.02917515198389689
FN,-73,0.020541178385416664
FN,-72,0.023612271149953207
FN,-71,0.02461895942687988
FN,-70,0.02244014501571655
FN,-69,0.021208338737487793
FN,-68,0.019866671562194824
FN,-67,0.018084164460500082
FN,-66,0.01966593027114868
FN,-65,0.01712185541788737
FN,-64,0.017375009854634603
FN,-63,0.02133389949798584
FN,-62,0.018705787658691405
FN,-61,0.01699753204981486
FN,-60,0.01515212853749593
FN,-59,0.018245742321014405
FN,-58,0.017934846878051757
FN,-57,0.015830809275309245
FN,-56,0.017055174509684246
FN,-55,0.016425835291544597
FN,-54,0.019717185497283934
FN,-53,0.018878169854482013
FN,-52,0.021939597924550375
FN,-51,0.017315708796183268
FN,-50,0.018690869808197022
FN,-49,0.018096532026926678
FN,-48,0.018649508953094484
FN,-47,0.02050306797027588
FN,-46,0.018511166572570802
FN,-45,0.017722502549489337
FN,-44,0.018459648291269937
FN,-43,0.017571146488189696
FN,-42,0.020944325129191078
FN,-41,0.0180173921585083
FN,-40,0.021637299060821534
FN,-39,0.02379876732826233
FN,-38,0.018475513458251953
FN,-37,0.019697693188985187
FN,-36,0.017522952556610107
FN,-35,0.020788635412851968
FN,-34,0.020439891020456947
FN,-33,0.01994146188100179
FN,-32,0.018601885636647542
FN,-31,0.017576698462168375
FN,-30,0.018347014586130778
FN,-29,0.017088871796925864
FN,-28,0.016430930296579997
FN,-27,0.015696504910786946
FN,-26,0.017810965379079183
FN,-25,0.01448063850402832
FN,-24,0.01737366437911987
FN,-23,0.020955737431844076
FN,-22,0.021205302079518637
FN,-21,0.017889144420623778
FN,-20,0.019645969072977703
FN,-19,0.023367297649383546
FN,-18,0.02490011056264242
FN,-17,0.025921808878580727
FN,-16,0.03493380884329478
FN,-15,0.02226593255996704
FN,-14,0.024583524068196617
FN,-13,0.02158648649851481
FN,-12,0.025709656874338783
FN,-11,0.01918647289276123
FN,-10,0.020950702826182045
FN,-9,0.019769741694132488
FN,-8,0.018395893573760987
FN,-7,0.017734274069468182
FN,-6,0.026689520676930745
FN,-5,0.018708582719167074
FN,-4,0.017816267013549804
FN,-3,0.019272449811299643
FN,-2,0.01927607854207357
FN,-1,0.020938602685928346
FN,0,0.01825268268585205
FN,1,0.015678502718607587
FN,2,0.01576602617899577
FN,3,0.019668288230895996
FN,4,0.019405808051427206
FN,5,0.01861299792925517
FN,6,0.01985769550005595
FN,7,0.028497273524602254
FN,8,0.02526926517486572
FN,9,0.021318287054697672
FN,10,0.027301984628041585
FN,11,0.02834516922632853
FN,12,0.026941682497660317
FN,13,0.016490100224812825
FN,14,0.017091782093048097
FN,15,0.017635471026102703
FN,16,0.01987578709920247
FN,17,0.02481864293416341
FN,18,0.025997260411580406
FN,19,0.021685224374135337
