confusion_category,position_relative_to_snv,v
FN,-100,0.0005943728672961393
FN,-99,0.0007452420766154925
FN,-98,0.0006122472882270813
FN,-97,0.00040498431771993635
FN,-96,0.0007654585316777229
FN,-95,0.00047542871286471687
FN,-94,0.0007312331721186638
FN,-93,0.0009237553675969443
FN,-92,0.0007248476520180702
FN,-91,0.0007279508250455062
FN,-90,0.0005624140923221906
FN,-89,0.0006560171643892925
FN,-88,0.0005682859010994434
FN,-87,0.000737286036213239
FN,-86,0.0006831224200626214
FN,-85,0.0004004505525032679
FN,-84,0.000465975006421407
FN,-83,0.0004297151292363802
FN,-82,0.0005848230669895808
FN,-81,0.0006187707185745239
FN,-80,0.0008884434153636296
FN,-79,0.0007834616675972939
FN,-78,0.0007041111091772716
FN,-77,0.000671468625466029
FN,-76,0.0007509287943442662
FN,-75,0.0006687221055229505
FN,-74,0.0004735086113214493
FN,-73,0.000741997721294562
FN,-72,0.0004906159515182178
FN,-71,0.0006746124848723412
FN,-70,0.0005577363073825837
FN,-69,0.0007084723810354869
FN,-68,0.0006762524321675301
FN,-67,0.0004899711348116398
FN,-66,0.0005175634970267614
FN,-65,0.0007292011628548305
FN,-64,0.0006627428034941356
FN,-63,0.0005355607842405637
FN,-62,0.0008091091737151146
FN,-61,0.0008794285729527473
FN,-60,0.0009226706872383754
FN,-59,0.0006205125153064728
FN,-58,0.0011911590335269768
FN,-57,0.0010978592311342557
FN,-56,0.0008211559305588403
FN,-55,0.0009534997989734013
FN,-54,0.0008065053696433704
FN,-53,0.0008260248104731242
FN,-52,0.0005494425445795059
FN,-51,0.0003813556209206581
FN,-50,0.0006316454832752546
FN,-49,0.0010226139674584071
FN,-48,0.0007549862191081047
FN,-47,0.0006445859372615814
FN,-46,0.0006484700987736384
FN,-45,0.0005416365961233775
FN,-44,0.0005277629879613718
FN,-43,0.000726878357430299
FN,-42,0.0011123021505773068
FN,-41,0.0008940338777999084
FN,-40,0.0006156441196799278
FN,-39,0.0005890430572132269
FN,-38,0.0005538489917914073
FN,-37,0.0007198534905910492
FN,-36,0.0006541636027395725
FN,-35,0.0007334501296281814
FN,-34,0.0007593059788147608
FN,-33,0.0006211907727022966
FN,-32,0.0008548822005589803
FN,-31,0.0007679194708665212
FN,-30,0.0007202915847301483
FN,-29,0.000963831680516402
FN,-28,0.0007269055893023808
FN,-27,0.0007898304611444473
FN,-26,0.0007111115505297978
FN,-25,0.0006424316639701526
FN,-24,0.0005614797895153364
FN,-23,0.001013865688194831
FN,-22,0.0009453704332311948
FN,-21,0.0009754154582818349
FN,-20,0.0005871090479195118
FN,-19,0.0007198777173956234
FN,-18,0.0006486953174074491
FN,-17,0.0008371968691547712
FN,-16,0.0006439288208882015
FN,-15,0.00045007169246673583
FN,-14,0.0005798540636897088
FN,-13,0.0005975675707062085
FN,-12,0.000635051243007183
FN,-11,0.0006131945922970772
FN,-10,0.0006532407179474831
FN,-9,0.0006789320210615794
FN,-8,0.0007419695084293683
FN,-7,0.0008706167464454968
FN,-6,0.0010034417857726415
FN,-5,0.00061717273046573
FN,-4,0.0004654530932505926
FN,-3,0.0004057050123810768
FN,-2,0.0005246261631449064
FN,-1,0.0007018652620414893
FN,0,0.0008727437816560268
FN,1,0.0011612002054850262
FN,2,0.0012648231039444604
FN,3,0.0010857508207360903
FN,4,0.0004439377039670944
FN,5,0.0006487668367723624
FN,6,0.0009191274270415307
FN,7,0.0009507380798459053
FN,8,0.0004193738847970963
FN,9,0.0006388777991135914
FN,10,0.0007193166886766752
FN,11,0.000770436351497968
FN,12,0.0005107079446315765
FN,13,0.000642741173505783
FN,14,0.0007421732818086942
FN,15,0.0005805833886067072
FN,16,0.0005322767297426859
FN,17,0.0003077271829048793
FN,18,0.0006707827125986416
FN,19,0.000716617548217376
FN,20,0.0005218814251323541
FN,21,0.0005044914844135444
FN,22,0.0004234831221401691
