example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1,snv_offset_seq1,snv_offset_seq2
chr3:75785547:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,113,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9973920583724976,-2.9981391429901123,2.9484364986419678,252,252
chr3:75785547:thoracic_aorta:1,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9973819851875305,-2.9952406883239746,2.947493553161621,249,249
chr3:75785609:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9973223805427551,-2.9832799434661865,2.936847448348999,230,230
chr3:75785547:adrenal_gland:0,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9972891807556152,-2.977276563644409,2.9305076599121094,213,213
chr3:75785609:transverse_colon:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9972307085990906,-2.967588424682617,2.918801784515381,243,243
chr3:75785609:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9972238540649414,-2.9620964527130127,2.9218125343322754,291,291
chr3:75785547:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.997220516204834,-2.962801933288574,2.9198834896087646,297,297
chr3:75785609:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9972182512283325,-2.964498996734619,2.917405128479004,244,244
chr6:32477160:transverse_colon:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9971739053726196,-2.9580352306365967,2.9079854488372803,282,282
chr10:38653296:Peyers_patch:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9971365928649902,-2.9403042793273926,2.9125900268554688,231,231
chr10:38653296:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9970738887786865,-2.9339053630828857,2.897252321243286,234,234
chr10:38653055:transverse_colon:0,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9970661997795105,-2.9248645305633545,2.9036664962768555,256,256
chr5:127014594:transverse_colon:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9970585107803345,-2.9384286403656006,2.887470006942749,251,251
chr3:75785609:tibial_artery:1,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.997054934501648,-2.9244961738586426,2.900167942047119,208,208
chr10:38653055:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9970406889915466,-2.9255356788635254,2.894296169281006,265,265
chr10:38653296:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969903230667114,-2.9185822010040283,2.8843491077423096,274,274
chr10:38653296:adrenal_gland:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969885945320129,-2.9164509773254395,2.885871648788452,240,240
chr2:196068383:spleen:0,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969485402107239,-2.9018852710723877,2.887204885482788,232,232
chr17:22909996:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.996936559677124,-2.905200719833374,2.87994384765625,292,292
chr10:38653296:transverse_colon:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969214797019958,-2.9090311527252197,2.8712146282196045,222,222
chr10:38653296:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969197511672974,-2.899773359298706,2.879887342453003,282,282
chr10:38653296:transverse_colon:1,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9969090819358826,-2.8961145877838135,2.88008975982666,288,288
chr2:196068383:transverse_colon:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9968936443328857,-2.9001781940460205,2.8710269927978516,206,206
