example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1,snv_offset_seq1,snv_offset_seq2
chr3:75785609:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872933626174927,-2.1848294734954834,2.1680147647857666,291,291
chr3:75785547:adrenal_gland:0,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872803092002869,-2.1809186935424805,2.1708855628967285,213,213
chr3:75785547:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,113,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872231483459473,-2.1899492740631104,2.157310962677002,252,252
chr3:75785419:prostate_gland:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872109889984131,-2.1800196170806885,2.1662721633911133,206,206
chr3:75785547:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9871927499771118,-2.1758832931518555,2.168968677520752,297,297
chr3:75785547:thoracic_aorta:1,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9871529936790466,-2.1845083236694336,2.157209634780884,249,249
chr3:75785419:thoracic_aorta:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870775938034058,-2.1633176803588867,2.172471523284912,210,210
chr3:75785609:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.987073540687561,-2.1722452640533447,2.1632261276245117,230,230
chr3:75785609:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870592355728149,-2.176748037338257,2.1576056480407715,244,244
chr3:75785609:transverse_colon:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870589971542358,-2.182809591293335,2.1515235900878906,243,243
chr8:38060242:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870298504829407,-2.1631083488464355,2.1689398288726807,207,207
chr3:75785419:Peyers_patch:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870269894599915,-2.1602046489715576,2.171623945236206,220,220
chr3:75785419:tibial_artery:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870092272758484,-2.1580755710601807,2.1723639965057373,242,242
chr8:38060267:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870024919509888,-2.162083864212036,2.16782808303833,243,243
chr8:38060242:Peyers_patch:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9869869947433472,-2.154895544052124,2.173811435699463,223,223
chr3:75785419:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9869215488433838,-2.16162109375,2.1620054244995117,214,214
chr3:75785419:spleen:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9869193434715271,-2.156017303466797,2.1674320697784424,219,219
chr3:75785419:transverse_colon:1,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986911416053772,-2.152953863143921,2.169889450073242,217,217
chr8:38060242:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868921637535095,-2.1462252140045166,2.1751279830932617,239,239
chr8:38060267:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9867167472839355,-2.1289405822753906,2.17893648147583,267,267
chr3:75785419:tibial_nerve:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865248203277588,-2.1363508701324463,2.1569926738739014,250,250
chr7:142521135:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865043759346008,-2.1454508304595947,2.1463544368743896,234,234
chr3:75785419:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986487090587616,-2.136258840560913,2.154250144958496,249,249
chr7:142521135:prostate_gland:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863698482513428,-2.1373062133789062,2.144442081451416,235,235
chr7:142521135:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863617420196533,-2.1328468322753906,2.148298501968384,229,229
chr7:142521135:transverse_colon:1,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861893057823181,-2.1229381561279297,2.145467519760132,240,240
chr3:75785609:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861160516738892,-2.1518442630767822,2.111192226409912,219,219
chr3:75785357:transverse_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860348701477051,-2.114565134048462,2.1425652503967285,211,211
chr7:142521135:body_of_pancreas:1,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860092997550964,-2.1273186206817627,2.12794828414917,259,259
chr9:129437752:thoracic_aorta:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859471321105957,-2.1128695011138916,2.1379098892211914,208,208
chr3:75785419:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859383702278137,-2.1033480167388916,2.146794080734253,270,270
chr9:129437752:gastroesophageal_sphincter:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859008193016052,-2.1110146045684814,2.1364266872406006,211,211
chr7:142521135:tibial_nerve:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858946800231934,-2.131136655807495,2.115863084793091,296,296
chr3:75785419:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858945608139038,-2.1072404384613037,2.1397480964660645,275,275
chr3:75785419:adrenal_gland:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858885407447815,-2.1051547527313232,2.1414003372192383,283,283
chr3:75785609:tibial_nerve:0,TP,1,1,0,[CLS],0,0,111,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857943058013916,-2.1409432888031006,2.0988643169403076,217,217
chr7:142521135:Peyers_patch:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985745906829834,-2.1287803649902344,2.1075727939605713,281,281
