PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-0.90977126,-0.035189793,0.050168898,-0.2374303,-0.13858126,0.023234757,0.070856124,0.2840351,-0.06583345,-0.033198208,0,chr1:138592:upper_lobe_of_left_lung:0,TN,0
-1.1411434,0.18348905,-0.014028251,-0.26102808,-0.43053433,1.0270307,0.2688808,-0.48573053,-0.01472644,0.37143156,0,chr1:1000730:upper_lobe_of_left_lung:0,TN,0
-0.3989493,-0.49237406,-0.39209843,-0.9391967,-0.29296267,1.0229095,0.6171199,-0.09190849,-0.2212589,-0.40839005,0,chr1:1025028:upper_lobe_of_left_lung:0,TN,0
-0.21504276,0.38143006,0.055998955,-0.9857629,0.40571705,0.96742123,-0.028809864,0.48690826,-0.2365354,-0.49708778,0,chr1:1433300:upper_lobe_of_left_lung:0,TN,0
-0.82895374,0.20007445,-0.26045734,-0.55240595,-0.7552689,0.3938957,0.42187482,-0.20964356,-0.037696764,-0.45125496,0,chr1:1783045:upper_lobe_of_left_lung:0,TN,0
-0.74735916,1.0229615,-0.45986584,-0.074806534,-0.5971081,1.2296172,0.23727578,0.5552549,-0.048693545,-0.085208036,0,chr1:2133899:upper_lobe_of_left_lung:0,TN,0
1.2425616,-0.76267993,-0.6278639,0.46658784,1.3032684,0.29833493,0.5103363,-0.402462,0.72425115,-0.6962247,0,chr1:2137466:upper_lobe_of_left_lung:0,TN,0
-1.1943698,-1.2000314,-0.11648195,0.256047,-0.6386375,-0.13349229,-0.23506977,-0.0810427,-0.04870802,-0.20484021,0,chr1:2139900:upper_lobe_of_left_lung:0,TN,0
-1.3525913,-0.5670874,0.9780351,-0.49025363,-0.19326648,-0.22098342,-0.29791263,0.21382003,-0.07078373,-0.17389497,0,chr1:2140298:upper_lobe_of_left_lung:0,TN,0
6.9328,0.22894156,0.12858851,-0.25266963,-0.5968146,0.88990754,-1.1654768,-0.6986011,-0.4204545,-0.40828693,0,chr1:2189678:upper_lobe_of_left_lung:0,FP,1
-1.1902578,-0.6791457,-0.3112256,0.103859976,-0.4911931,0.35743657,-0.12830149,-0.06978682,-0.0149520505,-0.1245282,0,chr1:2204651:upper_lobe_of_left_lung:0,TN,0
-0.7548138,0.42970237,0.40518647,-0.7358078,-0.102187134,0.41687152,0.039080802,-0.0931428,0.24019828,-0.24105512,0,chr1:2515440:upper_lobe_of_left_lung:0,TN,0
-0.4751848,0.47330573,0.15615617,-0.7389648,0.35539976,0.8712821,-0.19124809,0.058135655,0.27002048,-0.1359181,0,chr1:3531349:upper_lobe_of_left_lung:0,TN,0
1.0092711,-0.6096051,0.7498805,-0.97223896,1.498072,-0.11200088,0.85861176,-0.30433282,-0.047437456,-0.8760422,0,chr1:3619614:upper_lobe_of_left_lung:0,TN,0
5.6658616,-0.81893003,0.49086106,-0.6697135,0.54873836,1.029177,-0.32525498,-0.6603162,0.59607315,-0.6197716,0,chr1:3669017:upper_lobe_of_left_lung:0,TN,0
-1.408487,-0.05122207,0.6827987,0.016736751,-0.45893502,0.027092295,-0.09700223,-0.29864025,0.13933992,0.028501695,0,chr1:6343821:upper_lobe_of_left_lung:0,TN,0
