example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1
471,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868778586387634,-2.1038501262664795,2.216393232345581
332,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868294596672058,-2.101585865020752,2.214928388595581
2587,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868220090866089,-2.097454786300659,2.2184929847717285
180,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868209958076477,-2.096468448638916,2.2193949222564697
3116,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9868141412734985,-2.097219467163086,2.218116283416748
617,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9867855906486511,-2.1061034202575684,2.2070446014404297
51,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9867774844169617,-2.099851131439209,2.212674140930176
360,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866956472396851,-2.0939531326293945,2.2123167514801025
2577,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866851568222046,-2.111989974975586,2.193486213684082
503,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866837859153748,-2.104954957962036,2.200416088104248
38,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866772890090942,-2.1029539108276367,2.201920509338379
1347,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866750836372375,-2.1115384101867676,2.193168878555298
1455,TP,1,1,0,[CLS],0,0,107,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866741895675659,-2.084939956665039,2.219698905944824
253,TP,1,1,0,[CLS],0,0,117,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866645336151123,-2.093282699584961,2.2106173038482666
255,TP,1,1,0,[CLS],0,0,107,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866511821746826,-2.1151351928710938,2.187751531600952
485,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865995645523071,-2.120971202850342,2.1780009269714355
2741,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865912795066833,-2.0868210792541504,2.2115280628204346
229,TP,1,1,0,[CLS],0,0,122,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865825772285461,-2.080094337463379,2.217603921890259
505,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865769147872925,-2.1177423000335693,2.1795265674591064
108,TP,1,1,0,[CLS],0,0,99,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865649938583374,-2.1204497814178467,2.175916910171509
2259,TP,1,1,0,[CLS],0,0,111,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865559339523315,-2.111345052719116,2.184340000152588
3307,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865430593490601,-2.0927839279174805,2.201923131942749
1866,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865368008613586,-2.0974371433258057,2.196798801422119
3527,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865285158157349,-2.113137722015381,2.180481195449829
3239,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865053296089172,-2.081897735595703,2.209975004196167
10,TP,1,1,0,[CLS],0,0,118,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9864951372146606,-2.080230712890625,2.2108774185180664
2262,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9864605665206909,-2.0759358406066895,2.2125768661499023
2938,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9864596128463745,-2.09010910987854,2.1983377933502197
3941,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9864590167999268,-2.0972237586975098,2.191176176071167
1950,TP,1,1,0,[CLS],0,0,107,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863728880882263,-2.1135668754577637,2.1684038639068604
203,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863144159317017,-2.0868639945983887,2.1907670497894287
2460,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863037467002869,-2.069526195526123,2.2073185443878174
2120,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9862418174743652,-2.101353883743286,2.170910120010376
75,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9862289428710938,-2.086928129196167,2.184394359588623
1578,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861934781074524,-2.088744878768921,2.179966449737549
3228,TP,1,1,0,[CLS],0,0,86,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861882328987122,-2.100733757019043,2.1675946712493896
441,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861650466918945,-2.1007587909698486,2.165869951248169
89,TP,1,1,0,[CLS],0,0,122,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861446619033813,-2.067478656768799,2.197655200958252
164,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861382842063904,-2.0673422813415527,2.19732403755188
1118,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860748648643494,-2.0651776790618896,2.194856882095337
140,TP,1,1,0,[CLS],0,0,120,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986069917678833,-2.0618093013763428,2.1978697776794434
72,TP,1,1,0,[CLS],0,0,111,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860617518424988,-2.050995349884033,2.2080869674682617
2016,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860528707504272,-2.058185338973999,2.200252056121826
792,TP,1,1,0,[CLS],0,0,119,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860414862632751,-2.045395612716675,2.2122137546539307
3646,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860271215438843,-2.0813276767730713,2.175238847732544
616,TP,1,1,0,[CLS],0,0,99,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860069751739502,-2.0652105808258057,2.189892530441284
2721,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986000120639801,-2.0691542625427246,2.1854541301727295
196,TP,1,1,0,[CLS],0,0,104,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859392642974854,-2.082831382751465,2.167377471923828
0,TP,1,1,0,[CLS],0,0,118,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859200716018677,-2.051262617111206,2.1975622177124023
2533,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859012961387634,-2.0950939655303955,2.152381420135498
2620,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858925938606262,-2.078507661819458,2.168339967727661
1022,TP,1,1,0,[CLS],0,0,85,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858636260032654,-2.0722551345825195,2.1725070476531982
2598,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858494997024536,-2.0821759700775146,2.1615779399871826
3409,TP,1,1,0,[CLS],0,0,107,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858269095420837,-2.050400733947754,2.191734552383423
258,TP,1,1,0,[CLS],0,0,109,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858168363571167,-2.0646443367004395,2.1767659187316895
1152,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858076572418213,-2.1052706241607666,2.135488271713257
367,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857829809188843,-2.0617692470550537,2.1772313117980957
3747,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857597947120667,-2.104802370071411,2.1325418949127197
49,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857557415962219,-2.0727789402008057,2.164276361465454
474,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985737681388855,-2.0478568077087402,2.1879100799560547
2528,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857265949249268,-2.07454514503479,2.160435914993286
3250,TP,1,1,0,[CLS],0,0,91,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857007265090942,-2.0827646255493164,2.1503801345825195
26,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856979846954346,-2.0746328830718994,2.1583139896392822
3402,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856879711151123,-2.092806816101074,2.1394336223602295
1486,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9856879711151123,-2.071112871170044,2.1611263751983643
