confusion_category,position_relative_to_snv,ism_importance
FN,-100,0.02380260705947876
FN,-99,0.02541760206222534
FN,-98,0.030901410579681397
FN,-97,0.029553132057189943
FN,-96,0.02328778028488159
FN,-95,0.025793592929840087
FN,-94,0.023146097660064698
FN,-93,0.02511770486831665
FN,-92,0.027590043544769287
FN,-91,0.02853818416595459
FN,-90,0.02865415334701538
FN,-89,0.02753321170806885
FN,-88,0.02697525978088379
FN,-87,0.026187734603881838
FN,-86,0.030924878120422362
FN,-85,0.08522708773612976
FN,-84,0.030207562446594238
FN,-83,0.03812367081642151
FN,-82,0.06296917259693145
FN,-81,0.03719047427177429
FN,-80,0.029352555274963377
FN,-79,0.025948901176452637
FN,-78,0.0413482391834259
FN,-77,0.02854572057723999
FN,-76,0.028223018646240234
FN,-75,0.029157319068908692
FN,-74,0.033623571395874026
FN,-73,0.031223175525665284
FN,-72,0.038845313787460325
FN,-71,0.02352165699005127
FN,-70,0.031476163864135744
FN,-69,0.026609437465667726
FN,-68,0.02038816213607788
FN,-67,0.025062543153762818
FN,-66,0.023056938648223876
FN,-65,0.02526493787765503
FN,-64,0.0234025239944458
FN,-63,0.02440305471420288
FN,-62,0.026517395973205567
FN,-61,0.026601099967956544
FN,-60,0.022957451343536377
FN,-59,0.021816766262054442
FN,-58,0.029490046501159668
FN,-57,0.03804404735565185
FN,-56,0.027618856430053712
FN,-55,0.028154520988464354
FN,-54,0.02866457462310791
FN,-53,0.030440945625305176
FN,-52,0.02529466390609741
FN,-51,0.01984586238861084
FN,-50,0.02769473075866699
FN,-49,0.024224071502685546
FN,-48,0.024710803031921386
FN,-47,0.024344482421875
FN,-46,0.028551237583160402
FN,-45,0.024656059741973876
FN,-44,0.02773838996887207
FN,-43,0.022313354015350343
FN,-42,0.026778318881988526
FN,-41,0.028837075233459474
FN,-40,0.02844606637954712
FN,-39,0.02848916530609131
FN,-38,0.02753556251525879
FN,-37,0.026781513690948486
FN,-36,0.025690371990203856
FN,-35,0.01850965976715088
FN,-34,0.022164430618286133
FN,-33,0.02557515859603882
FN,-32,0.026640255451202393
FN,-31,0.02924424648284912
FN,-30,0.028549187183380127
FN,-29,0.025419974327087404
FN,-28,0.02652686834335327
FN,-27,0.027365429401397703
FN,-26,0.028907673358917238
FN,-25,0.027623376846313476
FN,-24,0.025381441116333007
FN,-23,0.027690162658691408
FN,-22,0.029288532733917235
FN,-21,0.03166793823242187
FN,-20,0.02368478775024414
FN,-19,0.023285572528839112
FN,-18,0.0312026572227478
FN,-17,0.029675390720367432
FN,-16,0.02916143536567688
FN,-15,0.025987379550933838
FN,-14,0.02687084674835205
FN,-13,0.027328402996063234
FN,-12,0.024934613704681398
FN,-11,0.030738780498504637
FN,-10,0.028220987319946288
FN,-9,0.027912988662719726
FN,-8,0.0350404155254364
FN,-7,0.025003268718719482
FN,-6,0.0261258864402771
FN,-5,0.027190558910369873
FN,-4,0.027483577728271483
FN,-3,0.03288372993469238
FN,-2,0.03082033395767212
FN,-1,0.022089204788208007
FN,0,0.03191313028335571
FN,1,0.02725778579711914
FN,2,0.02483761787414551
FN,3,0.027259395122528077
FN,4,0.03844735383987427
FN,5,0.031009073257446288
FN,6,0.028115100860595703
FN,7,0.0367646050453186
FN,8,0.030749614238739013
FN,9,0.027367167472839356
FN,10,0.031320347785949706
FN,11,0.029335319995880127
FN,12,0.03482676267623901
FN,13,0.03344690799713135
FN,14,0.025593249797821044
FN,15,0.0248392391204834
FN,16,0.027434017658233643
FN,17,0.025072453022003175
FN,18,0.026305692195892336
FN,19,0.02568511962890625
FN,20,0.03060063600540161
FN,21,0.027233860492706298
FN,22,0.03067965269088745
FN,23,0.03235002279281616
FN,24,0.0332206130027771
FN,25,0.02567298412322998
FN,26,0.02642974853515625
FN,27,0.029155354499816894
FN,28,0.029290032386779786
FN,29,0.027380537986755372
FN,30,0.04223440647125244
FN,31,0.028240041732788088
FN,32,0.03786121845245361
FN,33,0.040475423336029055
FN,34,0.03043130874633789
FN,35,0.03957558631896973
FN,36,0.034016904830932615
FN,37,0.03043494939804077
FN,38,0.03693544387817383
FN,39,0.0315174412727356
FN,40,0.03365527987480164
FN,41,0.025989766120910644
FN,42,0.027188968658447266
FN,43,0.024024407863616943
FN,44,0.02426938056945801
FN,45,0.0319827675819397
FN,46,0.02718817949295044
FN,47,0.02527980327606201
FN,48,0.024570930004119872
FN,49,0.024195168018341064
FN,50,0.025144004821777345
FN,51,0.017898693084716796
FN,52,0.02459951162338257
FN,53,0.02293921709060669
FN,54,0.02594240665435791
FN,55,0.026469922065734862
FN,56,0.02571026086807251
FN,57,0.02756524085998535
FN,58,0.027242720127105713
FN,59,0.0270881986618042
FN,60,0.028288350105285645
FN,61,0.022051000595092775
FN,62,0.02234142541885376
FN,63,0.022667412757873536
FN,64,0.02698086977005005
FN,65,0.024267148971557618
FN,66,0.024520533084869386
FN,67,0.02401066780090332
FN,68,0.030668609142303467
FN,69,0.025526416301727296
FN,70,0.03405579566955566
FN,71,0.025377185344696046
FN,72,0.0321995735168457
FN,73,0.028593807220458983
FN,74,0.02614553093910217
FN,75,0.02894297957420349
FN,76,0.03261340737342835
FN,77,0.024726977348327638
FN,78,0.029296307563781737
FN,79,0.022363085746765137
FN,80,0.02721241593360901
FN,81,0.01967712163925171
FN,82,0.021264102458953858
FN,83,0.022001547813415526
FN,84,0.022543509006500245
FN,85,0.01879063844680786
FN,86,0.019889864921569824
FN,87,0.025825662612915037
FN,88,0.02680065155029297
FN,89,0.02580860137939453
FN,90,0.03292568922042847
FN,91,0.028296456336975098
FN,92,0.025517034530639648
FN,93,0.02176405906677246
FN,94,0.028972172737121583
FN,95,0.035499784946441654
FN,96,0.024618573188781738
FN,97,0.02608487844467163
FN,98,0.022085599899291992
FN,99,0.019375538825988768
FN,100,0.021655373573303223
FP,-100,0.059276535511016845
FP,-99,0.09206966876983642
FP,-98,0.06848169565200805
FP,-97,0.06608353853225708
FP,-96,0.0729663324356079
FP,-95,0.033241281509399416
FP,-94,0.1183316683769226
FP,-93,0.05205451726913452
FP,-92,0.029495224952697754
FP,-91,0.03773318290710449
FP,-90,0.030162303447723388
FP,-89,0.026839091777801513
FP,-88,0.05844967365264893
FP,-87,0.07145025491714478
FP,-86,0.028050897121429445
FP,-85,0.03082521438598633
FP,-84,0.03657477855682373
FP,-83,0.07446929216384887
FP,-82,0.13924108147621156
FP,-81,0.16172115445137025
FP,-80,0.15070294380187987
FP,-79,0.0384341025352478
FP,-78,0.13599884748458863
FP,-77,0.12425690412521362
FP,-76,0.1117280125617981
FP,-75,0.02652369499206543
FP,-74,0.12003694057464599
FP,-73,0.14331751823425293
FP,-72,0.1200846004486084
FP,-71,0.09135743618011474
FP,-70,0.02483217477798462
FP,-69,0.023800015449523926
FP,-68,0.022915098667144775
FP,-67,0.025212104320526122
FP,-66,0.03380364656448364
FP,-65,0.02020239591598511
FP,-64,0.024466660022735596
FP,-63,0.02833920955657959
FP,-62,0.026273677349090575
FP,-61,0.024370973110198976
FP,-60,0.028793692588806152
FP,-59,0.027791240215301515
FP,-58,0.026309714317321778
FP,-57,0.02921311855316162
FP,-56,0.022785849571228027
FP,-55,0.026976711750030517
FP,-54,0.026701362133026124
FP,-53,0.024922919273376466
FP,-52,0.02286829948425293
FP,-51,0.02911395311355591
FP,-50,0.03430964708328247
FP,-49,0.028239541053771973
FP,-48,0.02668295383453369
FP,-47,0.02305697202682495
FP,-46,0.023244259357452394
FP,-45,0.03030623435974121
FP,-44,0.033361773490905765
FP,-43,0.02738166809082031
FP,-42,0.026945557594299317
FP,-41,0.0340775990486145
FP,-40,0.03511895656585693
FP,-39,0.029413297176361083
FP,-38,0.024406344890594484
FP,-37,0.027306151390075684
FP,-36,0.028124892711639406
FP,-35,0.02849336862564087
FP,-34,0.02659593343734741
FP,-33,0.029844043254852296
FP,-32,0.022778191566467286
FP,-31,0.022678792476654053
FP,-30,0.024633572101593018
FP,-29,0.02188377618789673
FP,-28,0.02805436611175537
FP,-27,0.029258055686950682
FP,-26,0.02408160448074341
FP,-25,0.03330770492553711
FP,-24,0.031905877590179446
FP,-23,0.05928706169128418
FP,-22,0.03008775234222412
FP,-21,0.026633996963500977
FP,-20,0.026796231269836424
FP,-19,0.02705542802810669
FP,-18,0.0331135892868042
FP,-17,0.042010300159454346
FP,-16,0.03300310373306274
FP,-15,0.02734060287475586
FP,-14,0.023709731101989748
FP,-13,0.029862606525421144
FP,-12,0.02590972900390625
FP,-11,0.025121102333068846
FP,-10,0.025319697856903075
FP,-9,0.02791107654571533
FP,-8,0.035121414661407474
FP,-7,0.026534216403961183
FP,-6,0.024158689975738525
FP,-5,0.026973748207092287
FP,-4,0.024095137119293213
FP,-3,0.025765111446380617
FP,-2,0.023647787570953368
FP,-1,0.022492306232452394
FP,0,0.024563055038452148
FP,1,0.01942758560180664
FP,2,0.018391587734222413
FP,3,0.018337876796722413
FP,4,0.01910743713378906
FP,5,0.021580839157104494
FP,6,0.01839703559875488
FP,7,0.028332479000091552
FP,8,0.02526069402694702
FP,9,0.020533699989318848
FP,10,0.019541726112365723
FP,11,0.02058464050292969
FP,12,0.019806878566741945
FP,13,0.0200696063041687
FP,14,0.021849148273468018
FP,15,0.01807530164718628
FP,16,0.017675044536590575
FP,17,0.025238773822784423
FP,18,0.025402371883392335
FP,19,0.027507405281066894
FP,20,0.028688335418701173
FP,21,0.026725468635559083
FP,22,0.02105334520339966
FP,23,0.02046358346939087
FP,24,0.022721426486968996
FP,25,0.020830090045928954
FP,26,0.02512342929840088
FP,27,0.022675037384033203
FP,28,0.025936348438262938
FP,29,0.023168225288391114
FP,30,0.017680108547210693
FP,31,0.01878880739212036
FP,32,0.020349178314208984
FP,33,0.025676617622375487
FP,34,0.01841248035430908
FP,35,0.030782544612884523
FP,36,0.03550978660583496
FP,37,0.028516197204589845
FP,38,0.0291347861289978
FP,39,0.028336248397827148
FP,40,0.0290037202835083
FP,41,0.03518362760543823
FP,42,0.03359025001525879
FP,43,0.024418835639953614
FP,44,0.03239063024520874
FP,45,0.023976106643676758
FP,46,0.023935647010803224
FP,47,0.023586623668670655
FP,48,0.018364102840423585
FP,49,0.014841926097869874
FP,50,0.018446712493896483
FP,51,0.016628897190093993
FP,52,0.01917685031890869
FP,53,0.016540522575378417
FP,54,0.021230289936065672
FP,55,0.01783611536026001
FP,56,0.017384111881256104
FP,57,0.023308238983154296
FP,58,0.02154592752456665
FP,59,0.018897485733032227
FP,60,0.023824243545532225
FP,61,0.02827934980392456
FP,62,0.02011350154876709
FP,63,0.01584550619125366
FP,64,0.021097781658172606
FP,65,0.031799640655517575
FP,66,0.02245189666748047
FP,67,0.028649723529815672
FP,68,0.024260878562927246
FP,69,0.026964795589447022
FP,70,0.03487396955490112
FP,71,0.016504836082458497
FP,72,0.02699437618255615
FP,73,0.024121670722961425
FP,74,0.02148871898651123
FP,75,0.018766026496887207
FP,76,0.02426415205001831
FP,77,0.01832993984222412
FP,78,0.018018364906311035
FP,79,0.019879577159881593
FP,80,0.021283948421478273
FP,81,0.02275426149368286
FP,82,0.0222070837020874
FP,83,0.020242052078247072
FP,84,0.02191523551940918
FP,85,0.019410321712493895
FP,86,0.017220258712768555
FP,87,0.019850296974182127
FP,88,0.01783872604370117
FP,89,0.02011533260345459
FP,90,0.02483164072036743
FP,91,0.02377737283706665
FP,92,0.022169597148895263
FP,93,0.02263416051864624
FP,94,0.02292438268661499
FP,95,0.02043609619140625
FP,96,0.017668015956878662
FP,97,0.019149746894836426
FP,98,0.020817079544067384
FP,99,0.020822834968566895
FP,100,0.024637689590454103
TN,-100,0.019435062408447265
TN,-99,0.016509268283843994
TN,-98,0.01619966506958008
TN,-97,0.012226314544677734
TN,-96,0.014726927280426025
TN,-95,0.015272777080535888
TN,-94,0.015603771209716797
TN,-93,0.012245769500732423
TN,-92,0.014665105342864991
TN,-91,0.014644629955291748
TN,-90,0.014307785034179687
TN,-89,0.014102115631103515
TN,-88,0.01166560173034668
TN,-87,0.01448866605758667
TN,-86,0.01265913724899292
TN,-85,0.015068254470825194
TN,-84,0.015524659156799316
TN,-83,0.013178954124450684
TN,-82,0.012097711563110352
TN,-81,0.014102661609649658
TN,-80,0.014812908172607421
TN,-79,0.018798120021820068
TN,-78,0.014547157287597656
TN,-77,0.021891908645629884
TN,-76,0.017151722908020018
TN,-75,0.017853171825408937
TN,-74,0.016186230182647705
TN,-73,0.015407445430755616
TN,-72,0.015873992443084718
TN,-71,0.014292871952056885
TN,-70,0.02446824312210083
TN,-69,0.011320745944976807
TN,-68,0.015527281761169433
TN,-67,0.015503575801849365
