example_id,confusion_category,kmer_size,position_relative_to_snv,kmer_importance
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-100,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-99,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-98,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-97,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-96,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-95,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-94,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-93,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-92,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-91,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-90,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-89,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-88,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-87,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-86,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-85,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-84,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-83,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-82,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-81,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-80,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-79,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-78,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-77,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-76,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-75,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-74,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-73,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-72,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-71,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-70,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-69,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-68,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-67,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-66,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-65,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-64,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-63,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-62,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-61,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-60,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-59,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-58,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-57,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-56,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-55,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-54,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-53,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-52,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-51,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-50,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-49,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-48,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-47,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-46,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-45,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-44,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-43,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-42,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-41,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-40,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-39,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-38,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-37,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-36,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-35,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-34,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-33,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-32,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-31,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-30,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-29,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-28,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-27,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-26,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-25,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-24,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-23,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-22,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-21,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-20,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,3,-19,0.0
