example_id,confusion_category,snv_max_abs_delta,snv_true_alt_delta,control_mean_abs_delta,control_n,ref_score
chr3:75785609:esophagus_muscularis_mucosa:0,TP,1.4185905456542969e-05,,2.3090839385986327e-05,25,0.9872933626174927
chr3:75785547:adrenal_gland:0,TP,5.793571472167969e-05,,3.614187240600586e-05,25,0.9872803092002869
chr3:75785547:gastrocnemius_medialis:0,TP,4.3332576751708984e-05,,2.9590129852294922e-05,25,0.9872231483459473
chr3:75785419:prostate_gland:0,TP,4.458427429199219e-05,,6.423473358154297e-05,25,0.9872109889984131
chr3:75785547:sigmoid_colon:0,TP,3.999471664428711e-05,,2.5413036346435548e-05,25,0.9871927499771118
chr3:75785547:thoracic_aorta:1,TP,4.0411949157714844e-05,,2.879142761230469e-05,25,0.9871529936790466
chr3:75785419:thoracic_aorta:0,TP,4.476308822631836e-05,,8.044958114624024e-05,25,0.9870775938034058
chr3:75785609:body_of_pancreas:0,TP,6.020069122314453e-06,,4.942417144775391e-05,25,0.987073540687561
chr3:75785609:gastrocnemius_medialis:0,TP,1.5497207641601562e-05,,3.484964370727539e-05,25,0.9870592355728149
chr3:75785609:transverse_colon:0,TP,1.9669532775878906e-05,,3.991842269897461e-05,25,0.9870589971542358
chr8:38060242:upper_lobe_of_left_lung:0,TP,0.0001716017723083496,,0.00012043714523315429,25,0.9870298504829407
chr3:75785419:Peyers_patch:0,TP,4.214048385620117e-05,,8.26883316040039e-05,25,0.9870269894599915
chr3:75785419:tibial_artery:0,TP,9.638071060180664e-05,,7.810592651367188e-05,25,0.9870092272758484
chr8:38060267:body_of_pancreas:0,TP,2.473592758178711e-05,,5.563735961914063e-05,25,0.9870024919509888
chr8:38060242:Peyers_patch:0,TP,9.530782699584961e-05,,5.711555480957031e-05,25,0.9869869947433472
chr3:75785419:upper_lobe_of_left_lung:0,TP,5.4001808166503906e-05,,9.216785430908203e-05,25,0.9869215488433838
chr3:75785419:spleen:0,TP,6.16312026977539e-05,,9.630203247070313e-05,25,0.9869193434715271
chr3:75785419:transverse_colon:1,TP,5.316734313964844e-05,,9.131669998168945e-05,25,0.986911416053772
chr8:38060242:body_of_pancreas:0,TP,0.00011968612670898438,,6.942510604858398e-05,25,0.9868921637535095
chr8:38060267:upper_lobe_of_left_lung:0,TP,0.00010156631469726562,,7.036685943603515e-05,25,0.9867167472839355
chr3:75785419:tibial_nerve:0,TP,6.151199340820312e-05,,8.496522903442383e-05,25,0.9865248203277588
chr7:142521135:upper_lobe_of_left_lung:0,TP,9.673833847045898e-05,,0.00014848709106445311,25,0.9865043759346008
chr3:75785419:body_of_pancreas:0,TP,5.745887756347656e-05,,8.899927139282227e-05,25,0.986487090587616
chr7:142521135:prostate_gland:0,TP,9.161233901977539e-05,,0.00017436742782592774,25,0.9863698482513428
chr7:142521135:gastrocnemius_medialis:0,TP,0.00013339519500732422,,0.0001484060287475586,25,0.9863617420196533
chr7:142521135:transverse_colon:1,TP,0.00012636184692382812,,0.0001223134994506836,25,0.9861893057823181
chr3:75785609:esophagus_squamous_epithelium:0,TP,0.0002396702766418457,,0.0001755356788635254,25,0.9861160516738892
chr3:75785357:transverse_colon:0,TP,9.906291961669922e-05,,0.00011676788330078125,25,0.9860348701477051
chr7:142521135:body_of_pancreas:1,TP,0.00016748905181884766,,0.00019989013671875,25,0.9860092997550964
chr9:129437752:thoracic_aorta:0,TP,0.0006771683692932129,,0.00016939163208007813,25,0.9859471321105957
chr3:75785419:esophagus_squamous_epithelium:0,TP,0.00010126829147338867,,0.0001025247573852539,25,0.9859383702278137
chr9:129437752:gastroesophageal_sphincter:0,TP,0.0007082819938659668,,0.00023740530014038086,25,0.9859008193016052
chr7:142521135:tibial_nerve:0,TP,0.00013136863708496094,,0.0001978445053100586,25,0.9858946800231934
chr3:75785419:sigmoid_colon:0,TP,8.565187454223633e-05,,0.00011516332626342773,25,0.9858945608139038
chr3:75785419:adrenal_gland:0,TP,8.797645568847656e-05,,0.0001552438735961914,25,0.9858885407447815
chr3:75785609:tibial_nerve:0,TP,0.00043457746505737305,,0.00021254777908325196,25,0.9857943058013916
chr7:142521135:Peyers_patch:0,TP,0.00012892484664916992,,0.0002058720588684082,25,0.985745906829834
chr3:75785419:transverse_colon:0,TP,0.00013267993927001953,,0.00018802404403686523,25,0.985567569732666
chr7:142521135:body_of_pancreas:0,TP,0.00018644332885742188,,0.000295722484588623,25,0.9854008555412292
chr17:22909996:body_of_pancreas:0,TP,4.965066909790039e-05,,3.308534622192383e-05,25,0.9853618144989014
chr17:22909996:esophagus_muscularis_mucosa:0,TP,2.6941299438476562e-05,,4.425048828125e-05,25,0.9852613806724548
chr17:22909996:omental_fat_pad:0,TP,9.357929229736328e-06,,3.274679183959961e-05,25,0.9852533936500549
chr22:46739374:transverse_colon:0,TP,0.0001093745231628418,,0.0005897378921508789,25,0.9852024912834167
chr5:151298414:upper_lobe_of_left_lung:0,TP,8.147954940795898e-05,,0.0002046513557434082,25,0.9851995706558228
chr17:22909996:transverse_colon:0,TP,9.000301361083984e-05,,4.589557647705078e-05,25,0.9851765632629395
chr17:22909996:sigmoid_colon:0,TP,3.88026237487793e-05,,4.3487548828125e-05,25,0.985095202922821
chr5:151298414:transverse_colon:0,TP,0.00017833709716796875,,0.00016420125961303712,25,0.9850585460662842
chr17:22909996:thoracic_aorta:0,TP,4.488229751586914e-05,,5.023002624511719e-05,25,0.9850448966026306
chr12:52949266:upper_lobe_of_left_lung:0,TP,0.0003287196159362793,,0.0004028463363647461,25,0.984988808631897
chr5:151298414:thoracic_aorta:0,TP,8.320808410644531e-05,,0.00020755767822265624,25,0.9849610328674316
chr22:46739374:Peyers_patch:0,TP,7.933378219604492e-05,,0.0004372692108154297,25,0.9848884344100952
chr5:151298414:body_of_pancreas:0,TP,4.70280647277832e-05,,0.0001757955551147461,25,0.9848806858062744
chr5:151298414:sigmoid_colon:0,TP,9.244680404663086e-05,,0.0001573467254638672,25,0.984820544719696
chr17:22909996:tibial_nerve:0,TP,0.0002633333206176758,,9.54604148864746e-05,25,0.9847914576530457
chr5:151298414:spleen:0,TP,6.204843521118164e-05,,0.00015047311782836914,25,0.9847895503044128
chr7:142776507:thoracic_aorta:0,TP,6.99758529663086e-05,,8.642911911010742e-05,25,0.9847744107246399
chr6:31374359:spleen:0,TP,6.216764450073242e-05,,0.0002007746696472168,25,0.9847666025161743
chr17:45585364:adrenal_gland:0,TP,0.00032705068588256836,,0.0003982663154602051,25,0.9847534894943237
chr5:151298414:adrenal_gland:0,TP,0.0001469254493713379,,0.0001620197296142578,25,0.9846919178962708
chr17:22909996:spleen:0,TP,0.0003241300582885742,,9.261131286621094e-05,25,0.9846891164779663
chr17:22909996:esophagus_squamous_epithelium:0,TP,0.00026291608810424805,,0.00013178348541259766,25,0.9846732020378113
chr17:22816782:transverse_colon:0,TP,4.935264587402344e-05,,6.028890609741211e-05,25,0.9846605658531189
chr6:31374359:thoracic_aorta:1,TP,0.00017583370208740234,,0.00026793718338012694,25,0.9846173524856567
chr17:23044492:spleen:0,TP,0.0003069639205932617,,0.00011530876159667968,25,0.9846037030220032
chr17:22909996:lower_leg_skin:0,TP,0.00016373395919799805,,8.46719741821289e-05,25,0.9846020936965942
chr6:31374359:body_of_pancreas:0,TP,0.00024831295013427734,,0.0003119206428527832,25,0.9845792055130005
chr3:75785609:tibial_artery:1,TP,0.0008448958396911621,,0.0007428121566772461,25,0.9845747947692871
chr9:62609408:thoracic_aorta:0,TP,0.00011467933654785156,,0.00018924474716186523,25,0.9845641851425171
chr6:31374359:gastroesophageal_sphincter:0,TP,0.00013881921768188477,,0.00027785539627075197,25,0.9845589995384216
chr17:23044492:tibial_artery:0,TP,0.00023496150970458984,,0.00011275053024291993,25,0.9845579266548157
chr17:23044492:transverse_colon:0,TP,0.00023663043975830078,,9.146451950073242e-05,25,0.9845426082611084
chr2:86221296:tibial_nerve:0,TP,0.0002009272575378418,,0.00030426502227783205,25,0.9845400452613831
chr8:45161494:prostate_gland:0,TP,0.0068915486335754395,,0.0036886310577392578,25,0.9845179915428162
chr6:31374359:esophagus_muscularis_mucosa:0,TP,0.00018042325973510742,,0.00031585693359375,25,0.9845172762870789
chr17:45585364:tibial_artery:0,TP,0.000253140926361084,,0.0005097198486328125,25,0.9845030903816223
chr6:31374359:esophagus_squamous_epithelium:0,TP,0.00023621320724487305,,0.00041161298751831056,25,0.9844974279403687
chr17:45585364:transverse_colon:1,TP,0.00047069787979125977,,0.0008705472946166993,25,0.984476625919342
chr17:23044492:thyroid_gland:0,TP,0.0002402663230895996,,7.745742797851562e-05,25,0.9844589233398438
chr17:22909996:adrenal_gland:0,TP,0.00023353099822998047,,8.512973785400391e-05,25,0.9844128489494324
chr17:24931573:spleen:0,TP,0.00031197071075439453,,0.0016864609718322753,25,0.9844089150428772
chr7:142463889:body_of_pancreas:0,TP,0.0001233816146850586,,0.0001765918731689453,25,0.9843683838844299
chr17:22909996:prostate_gland:0,TP,0.0002842545509338379,,9.766817092895507e-05,25,0.9843243360519409
chr22:46739374:body_of_pancreas:0,TP,0.00010913610458374023,,0.0005985045433044433,25,0.9843144416809082
chr2:86221296:body_of_pancreas:1,TP,0.00018024444580078125,,0.0002733254432678223,25,0.9843090772628784
chr2:86221296:spleen:0,TP,0.0001431107521057129,,0.0002206873893737793,25,0.9842922687530518
chr2:86221296:thoracic_aorta:0,TP,0.00019848346710205078,,0.00031671285629272463,25,0.9842537641525269
chr6:31374359:transverse_colon:1,TP,0.00017684698104858398,,0.0004108738899230957,25,0.984237015247345
chr17:23044492:prostate_gland:0,TP,0.00022405385971069336,,7.400751113891602e-05,25,0.9842299818992615
chr2:86221296:esophagus_muscularis_mucosa:0,TP,0.00014662742614746094,,0.00022968292236328125,25,0.9842064380645752
chr17:45585364:upper_lobe_of_left_lung:0,TP,0.00010448694229125977,,0.00034423589706420897,25,0.9841876029968262
chr12:52949266:body_of_pancreas:0,TP,0.000491797924041748,,0.0005476045608520508,25,0.9841357469558716
chr7:142463889:Peyers_patch:0,TP,0.00025659799575805664,,0.00023839235305786132,25,0.9841223955154419
chr12:121918386:gastroesophageal_sphincter:0,TP,0.0002276897430419922,,0.00036316871643066406,25,0.9840492010116577
chr15:79896760:Peyers_patch:0,TP,0.00033408403396606445,,0.0008197164535522461,25,0.9840381145477295
chr17:45585364:body_of_pancreas:0,TP,0.00018590688705444336,,0.0005352425575256347,25,0.9840212464332581
chr9:129437752:body_of_pancreas:0,TP,0.0031525492668151855,,0.0008878612518310547,25,0.9839786887168884
chr2:86221296:thoracic_aorta:1,TP,3.170967102050781e-05,,0.0002815127372741699,25,0.9839692115783691
chr2:86221296:Peyers_patch:0,TP,0.0004037618637084961,,0.000359954833984375,25,0.9839668869972229
