example_id,confusion_category,snv_max_abs_delta,snv_true_alt_delta,control_mean_abs_delta,control_n,ref_score
chr17:22850626:prostate_gland:0,TP,0.0012307167053222656,,0.0026060962677001954,25,3.8349108695983887
chr17:22816759:lower_leg_skin:0,TP,0.0023975372314453125,,0.0062849330902099605,25,3.8102593421936035
chr17:22910010:spleen:0,TP,0.002287626266479492,,0.005266895294189453,25,3.7921535968780518
chr17:24931573:prostate_gland:0,TP,0.01108860969543457,,0.0034787750244140627,25,3.699404001235962
chr11:53850335:sigmoid_colon:0,TP,0.15797781944274902,,0.09887828826904296,25,3.6331255435943604
chr17:23044500:esophagus_squamous_epithelium:0,TP,0.037064552307128906,,0.036629018783569334,25,3.618046760559082
chr17:22995734:sigmoid_colon:0,TP,0.04787874221801758,,0.04627840995788574,25,3.5728635787963867
chr8:44457243:stomach:0,TP,0.01061105728149414,,0.08273747444152832,25,3.4541611671447754
chr3:75785586:prostate_gland:0,TP,0.020786046981811523,,0.015194873809814453,25,3.4386560916900635
chr7:142776553:body_of_pancreas:0,TP,0.022420406341552734,,0.016358118057250976,25,3.4157700538635254
chr8:44457229:prostate_gland:0,TP,0.06516432762145996,,0.05904340744018555,25,3.403167486190796
chr3:75671845:body_of_pancreas:0,TP,0.0019807815551757812,,0.008323612213134766,25,3.374319076538086
chr7:100965344:transverse_colon:0,TP,0.006847381591796875,,0.0176065731048584,25,3.3701720237731934
chr3:125766575:upper_lobe_of_left_lung:0,TP,0.01139521598815918,,0.02184412956237793,25,3.348569393157959
chr7:142760685:body_of_pancreas:0,TP,0.04801201820373535,,0.03598360061645508,25,3.3484561443328857
chr7:142760654:body_of_pancreas:0,TP,0.28371667861938477,,0.035346336364746093,25,3.332481861114502
chr12:42144491:prostate_gland:0,TP,0.042267560958862305,,0.02594834327697754,25,3.316592216491699
chr7:100966066:body_of_pancreas:0,TP,0.01892566680908203,,0.020900917053222657,25,3.311763286590576
chr7:5897796:body_of_pancreas:0,TP,0.0050847530364990234,,0.007831859588623046,25,3.290620803833008
chr7:142771919:body_of_pancreas:0,TP,0.005322933197021484,,0.02025007247924805,25,3.2894725799560547
chr12:42144546:prostate_gland:0,TP,0.038010358810424805,,0.03902326583862305,25,3.2575109004974365
chr6:32663338:body_of_pancreas:0,TP,0.015161514282226562,,0.01596019744873047,25,3.233776092529297
chr7:100973299:transverse_colon:0,TP,0.01924729347229004,,0.08690359115600586,25,3.23327374458313
chr7:5897771:body_of_pancreas:0,TP,0.010227203369140625,,0.006752557754516601,25,3.2323732376098633
chr17:43361305:sigmoid_colon:0,TP,0.012161493301391602,,0.010215864181518555,25,3.21736478805542
chr9:33797622:body_of_pancreas:0,TP,0.03807187080383301,,0.02377342224121094,25,3.210148572921753
chr12:52949220:esophagus_squamous_epithelium:0,TP,0.011855840682983398,,0.02798513412475586,25,3.199946403503418
chr8:38060042:body_of_pancreas:0,TP,0.009503841400146484,,0.02286764144897461,25,3.1990303993225098
chr2:43219159:lower_leg_skin:0,TP,0.028192996978759766,,0.013054332733154296,25,3.170902729034424
chr7:100971217:transverse_colon:0,TP,0.023037433624267578,,0.015663280487060546,25,3.162086009979248
chr17:43361366:upper_lobe_of_left_lung:0,TP,0.04773759841918945,,0.05906905174255371,25,3.141400098800659
chr9:33797591:body_of_pancreas:0,TP,0.005480051040649414,,0.022378177642822267,25,3.1303441524505615
chr6:32663329:body_of_pancreas:0,TP,0.026038408279418945,,0.021835832595825194,25,3.1283438205718994
chr8:60319288:body_of_pancreas:0,TP,0.021553993225097656,,0.017698326110839845,25,3.1274685859680176
chr10:110534031:body_of_pancreas:0,TP,0.01765275001525879,,0.01622913360595703,25,3.1239891052246094
chr7:100970154:transverse_colon:0,TP,0.016927719116210938,,0.030227546691894532,25,3.1180953979492188
chr7:100972425:transverse_colon:0,TP,0.009087324142456055,,0.022404842376708985,25,3.076188564300537
chr10:47380893:body_of_pancreas:0,TP,0.13463973999023438,,0.04683599472045898,25,3.071593761444092
chr3:195635299:transverse_colon:0,TP,0.0324559211730957,,0.035502166748046876,25,3.068100929260254
chr7:142773202:body_of_pancreas:0,TP,0.0684351921081543,,0.058453006744384764,25,3.06240177154541
chr7:142749932:body_of_pancreas:0,TP,0.010082006454467773,,0.04410239219665527,25,3.05639910697937
chr11:910791:esophagus_squamous_epithelium:0,TP,0.02643871307373047,,0.04564474105834961,25,3.0530433654785156
chr10:110534035:body_of_pancreas:0,TP,0.03421950340270996,,0.0258273983001709,25,3.028257131576538
chr7:142500199:body_of_pancreas:0,TP,0.11677980422973633,,0.17409853935241698,25,3.004012107849121
chr7:142773190:body_of_pancreas:0,TP,0.05879068374633789,,0.06225943565368652,25,2.9706506729125977
chr7:142773517:body_of_pancreas:0,TP,0.026324033737182617,,0.033027420043945314,25,2.9675750732421875
chr19:21595222:body_of_pancreas:0,TP,0.017486095428466797,,0.007410640716552734,25,2.9664595127105713
chr6:32666689:body_of_pancreas:0,TP,0.013304948806762695,,0.03219511032104492,25,2.946587562561035
chr14:23988791:body_of_pancreas:0,TP,0.10136795043945312,,0.06883711814880371,25,2.939096450805664
chr7:142771371:body_of_pancreas:0,TP,0.06049704551696777,,0.04289393424987793,25,2.9256207942962646
chr2:178451162:sigmoid_colon:0,TP,0.10275816917419434,,0.04671317100524902,25,2.923520088195801
chr3:195635331:transverse_colon:0,TP,0.015534639358520508,,0.03703830718994141,25,2.9109859466552734
chr19:21595451:body_of_pancreas:0,TP,0.009567499160766602,,0.009735784530639648,25,2.902989625930786
chr20:3407775:prostate_gland:0,TP,0.03153252601623535,,0.037457971572875975,25,2.8709516525268555
chr7:100972492:transverse_colon:0,TP,0.006206035614013672,,0.027218570709228517,25,2.8611221313476562
chr3:75672554:body_of_pancreas:0,TP,0.07986640930175781,,0.039508275985717774,25,2.8607616424560547
chr6:159653129:body_of_pancreas:0,TP,0.013815641403198242,,0.040315589904785155,25,2.8572025299072266
chr20:29410165:body_of_pancreas:0,TP,0.044802188873291016,,0.053213396072387696,25,2.8563976287841797
chr7:100970208:transverse_colon:0,TP,0.031809329986572266,,0.08621933937072754,25,2.8543362617492676
chr7:142507262:lower_leg_skin:0,TP,0.47943592071533203,,0.12503544807434083,25,2.8466382026672363
chr6:32666793:body_of_pancreas:0,TP,0.00849604606628418,,0.02412946701049805,25,2.837843179702759
chr19:43205662:prostate_gland:0,TP,0.10810637474060059,,0.20695903301239013,25,2.8365867137908936
chr20:26208745:body_of_pancreas:0,TP,0.03741931915283203,,0.04225006103515625,25,2.8271970748901367
chr7:142773571:body_of_pancreas:0,TP,0.051085710525512695,,0.07488828659057617,25,2.8261330127716064
chr20:29410159:body_of_pancreas:0,TP,0.021481990814208984,,0.06613211631774903,25,2.822660446166992
chr17:43360648:sigmoid_colon:0,TP,0.3389430046081543,,0.17266639709472656,25,2.8212761878967285
chr4:82747087:body_of_pancreas:0,TP,0.01088094711303711,,0.024145679473876955,25,2.8172874450683594
chr7:100965057:transverse_colon:0,TP,0.027350664138793945,,0.1011539077758789,25,2.8104968070983887
chr6:52787906:body_of_pancreas:0,TP,0.03306150436401367,,0.05760269165039063,25,2.784578323364258
chr19:16583512:body_of_pancreas:0,TP,0.04990792274475098,,0.04972146034240723,25,2.7777583599090576
chr17:951764:body_of_pancreas:0,TP,0.04126429557800293,,0.033124628067016604,25,2.7768800258636475
chr1:244970689:body_of_pancreas:0,TP,0.018844127655029297,,0.04782325744628906,25,2.754542350769043
chr7:30284575:transverse_colon:0,TP,0.5409502983093262,,0.12360820770263672,25,2.7512998580932617
chr7:142754681:body_of_pancreas:0,TP,0.15233683586120605,,0.11595276832580566,25,2.7183570861816406
chr6:32664803:transverse_colon:0,TP,0.02640366554260254,,0.08622305870056152,25,2.714202880859375
chr15:69386253:body_of_pancreas:0,TP,0.11683154106140137,,0.06806109428405761,25,2.688743829727173
chr9:133734411:body_of_pancreas:0,TP,0.05712485313415527,,0.054950742721557616,25,2.6796865463256836
chr18:20582234:sigmoid_colon:0,TP,0.009053945541381836,,0.021477890014648438,25,2.6613035202026367
chr1:46668138:body_of_pancreas:0,TP,0.1351916790008545,,0.08475957870483398,25,2.6566860675811768
chr7:2534877:transverse_colon:0,TP,0.03221845626831055,,0.01938547134399414,25,2.647036552429199
chr10:47380926:body_of_pancreas:0,TP,0.1464080810546875,,0.0837633228302002,25,2.628692388534546
chr7:142751012:body_of_pancreas:0,TP,0.023936748504638672,,0.06574337005615234,25,2.6246910095214844
chr10:47380949:body_of_pancreas:0,TP,0.10496950149536133,,0.08606472015380859,25,2.6152052879333496
chr9:33797572:body_of_pancreas:0,TP,0.16236019134521484,,0.19726154327392578,25,2.6142821311950684
chr7:142753299:body_of_pancreas:0,TP,0.06259751319885254,,0.2680491065979004,25,2.580146074295044
chr9:33796159:body_of_pancreas:0,TP,0.06438350677490234,,0.06448393821716308,25,2.5798025131225586
chr14:24036327:body_of_pancreas:0,TP,0.29529285430908203,,0.12399467468261718,25,2.5753836631774902
chr7:142771299:body_of_pancreas:0,TP,0.08634114265441895,,0.04702193260192871,25,2.575246572494507
chr19:921450:body_of_pancreas:0,TP,0.19603848457336426,,0.06983412742614746,25,2.5394065380096436
chr7:142524403:body_of_pancreas:0,TP,0.01768636703491211,,0.04627626419067383,25,2.5380444526672363
chr6:26240395:esophagus_squamous_epithelium:0,TP,0.033294677734375,,0.03714061737060547,25,2.533073902130127
chr1:46501224:lower_leg_skin:0,TP,0.04436159133911133,,0.027951011657714842,25,2.5072827339172363
chr17:82497366:body_of_pancreas:0,TP,0.027300596237182617,,0.05800272941589355,25,2.4973278045654297
chr7:44146355:body_of_pancreas:0,TP,0.022831439971923828,,0.09956578254699706,25,2.495950698852539
chr9:129438350:body_of_pancreas:0,TP,0.07647061347961426,,0.044945383071899415,25,2.469815731048584
chr10:47381332:body_of_pancreas:0,TP,0.029660701751708984,,0.09542831420898437,25,2.4684462547302246
chr6:32668243:body_of_pancreas:0,TP,0.15837907791137695,,0.6837794256210327,25,2.4680657386779785
chr12:132607859:body_of_pancreas:0,TP,0.01656627655029297,,0.046358890533447265,25,2.462765693664551
chr22:37078948:body_of_pancreas:0,TP,0.031195640563964844,,0.06673327445983887,25,2.458676338195801
chr7:142751032:body_of_pancreas:0,TP,0.0378415584564209,,0.08643167495727538,25,2.4529223442077637
chr17:26601406:upper_lobe_of_left_lung:0,FP,0.002245664596557617,,0.009185962677001953,25,3.8409676551818848
chr17:22850695:prostate_gland:0,FP,0.013713598251342773,,0.02058295249938965,25,3.7170512676239014
chr17:21678284:body_of_pancreas:0,FP,0.01752328872680664,,0.04790959358215332,25,2.982043743133545
chr2:96772252:transverse_colon:0,FP,0.0854337215423584,,0.05383904457092285,25,2.9542455673217773
chr6:31815077:sigmoid_colon:0,FP,0.16150784492492676,,0.09368911743164063,25,2.7937281131744385
chr6:32664803:esophagus_squamous_epithelium:0,FP,0.02640366554260254,,0.09977660179138184,25,2.714202880859375
chr22:49827827:upper_lobe_of_left_lung:0,FP,0.018155813217163086,,0.04753486633300781,25,2.665623188018799
chr7:73832873:body_of_pancreas:0,FP,0.01390218734741211,,0.045054664611816404,25,2.648508071899414
chr16:1943475:body_of_pancreas:0,FP,0.2602081298828125,,0.1578188419342041,25,2.574362277984619
chr6:159693278:esophagus_squamous_epithelium:0,FP,0.06538271903991699,,0.07500057220458985,25,2.5660884380340576
chr11:69011182:sigmoid_colon:0,FP,0.1939983367919922,,0.2512221384048462,25,2.512613296508789
chr12:132482009:body_of_pancreas:0,FP,0.04741096496582031,,0.05242387771606445,25,2.502291202545166
chr8:22087418:transverse_colon:0,FP,0.03226590156555176,,0.018343467712402344,25,2.4754815101623535
