PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-2.117993,-0.67644674,0.43697083,-0.17447081,-0.23998927,0.6000964,0.495093,-1.0312064,0.3211923,-0.2678822,0,chr1:208268555:body_of_pancreas:0,TN,0
-3.426496,-0.3055852,1.1142704,0.4036619,0.012668376,-0.6647969,0.42318177,0.7133775,-0.44244975,0.045765303,0,chr10:100267607:transverse_colon:0,TN,0
-0.9615363,-0.08145577,1.902845,-0.16515955,1.5117351,0.47290674,0.78600085,1.0296882,0.004382679,-0.0019007594,0,chr15:85840427:sigmoid_colon:0,TN,0
1.7409455,-0.89529306,-0.95604885,0.36095592,-1.229297,0.6485277,-0.5169412,0.3177817,0.6110185,0.45749503,0,chr20:53943966:thoracic_aorta:0,FP,1
-2.9316607,-0.2642469,0.5693734,1.2699627,0.72796816,-0.873307,-0.17374358,-0.19910443,-0.07135275,0.504515,1,chr2:46699152:prostate_gland:0,FN,0
2.6062074,2.5695698,-0.12606166,1.0271498,-0.6601793,1.3120959,0.00065975334,-0.39287642,-0.16751994,0.21091934,0,chr5:150847159:prostate_gland:0,FP,1
6.9781747,0.45402727,0.6539474,-0.50354844,-0.5392674,-0.3681868,-0.21008368,0.053050477,0.09125225,0.41997132,1,chr2:86221296:thoracic_aorta:0,TP,1
-4.0525494,-3.2867656,-1.068252,1.1245012,0.9346272,-0.7601275,0.1416441,-0.173045,-0.03827137,0.93070495,1,chr9:33447548:prostate_gland:0,FN,0
-1.3143115,-0.94645315,0.21649641,0.72070307,1.2338377,-0.6598514,-0.21579403,-1.2005194,0.8532726,-0.4200072,0,chr7:100950296:Peyers_patch:0,TN,0
-2.9341915,1.0801663,0.74993634,0.3539532,0.18680032,0.013201124,-0.17514765,0.13378446,0.152187,0.16728774,1,chr8:41651698:testis:0,FN,0
-1.6421405,-1.1597103,1.1401874,-1.9025419,-0.3105452,0.52065367,0.7413079,0.6034859,-0.033387512,-0.6172489,0,chr1:239067551:body_of_pancreas:0,TN,0
-1.6470947,1.5121006,-0.5655372,-0.021500183,0.90953916,0.018732587,-0.94524676,0.05635462,0.24117985,0.43925434,1,chr1:146376989:lower_leg_skin:0,FN,0
4.3291225,0.95143706,-0.50079906,-0.4730546,-0.13177152,-0.58372825,1.7387117,0.3838502,0.78967935,0.75372565,1,chr8:44636977:gastrocnemius_medialis:0,TP,1
-1.4291394,2.6927896,-1.2869533,-0.4315264,0.4918844,-0.008671388,-0.04144537,0.55715567,-0.9325492,-0.023069307,0,chr22:50533646:body_of_pancreas:0,TN,0
