confusion_category,position_relative_to_snv,mean_attention
FN,-206,0.009666668819263577
FN,-205,0.009627320878207684
FN,-204,0.009693587874062359
FN,-203,0.009768265346065164
FN,-202,0.009862279170192778
FN,-201,0.00983406035695225
FN,-200,0.009981244155205786
FN,-199,0.009922129390761257
FN,-198,0.009877580599859357
FN,-197,0.009773038867861033
FN,-196,0.009737947499379515
FN,-195,0.009626230816356838
FN,-194,0.00959494677837938
FN,-193,0.009593589692376553
FN,-192,0.009595671729184687
FN,-191,0.009595241383649408
FN,-190,0.009476240212097763
FN,-189,0.009538697879761457
FN,-188,0.00956882130354643
FN,-187,0.00960738244932145
FN,-186,0.009693945953622461
FN,-185,0.009742873776704073
FN,-184,0.00968396435957402
FN,-183,0.009666081392206252
FN,-182,0.009652018309570848
FN,-181,0.009674086547456683
FN,-180,0.009680503671988845
FN,-179,0.009655240993015467
FN,-178,0.009609843641519546
FN,-177,0.009629588089883328
FN,-176,0.00966891405172646
FN,-175,0.009701185985468328
FN,-174,0.009729618960991502
FN,-173,0.009680845993570983
FN,-172,0.009702119370922446
FN,-171,0.00974224740639329
FN,-170,0.00982081507332623
FN,-169,0.009797705789096653
FN,-168,0.009773303824476897
FN,-167,0.009778894404880702
FN,-166,0.009864892889745534
FN,-165,0.00988157998304814
FN,-164,0.009869598587974905
FN,-163,0.009800038151443004
FN,-162,0.009740750072523952
FN,-161,0.009730774536728859
FN,-160,0.009870535163208842
FN,-159,0.009727542949840427
FN,-158,0.00978958535939455
FN,-157,0.009818213069811463
FN,-156,0.009794645486399531
FN,-155,0.00994815702084452
FN,-154,0.009895973936654628
FN,-153,0.009959595184773207
FN,-152,0.00990506550297141
FN,-151,0.009827256454154849
FN,-150,0.009883484160527587
FN,-149,0.009856060496531427
FN,-148,0.009786809892393649
FN,-147,0.009847384332679211
FN,-146,0.009863511458970606
FN,-145,0.009886252209544182
FN,-144,0.009935693982988596
FN,-143,0.009875237513333558
FN,-142,0.00977148418314755
FN,-141,0.009780826307833194
FN,-140,0.009796461476944386
FN,-139,0.009647149760276079
FN,-138,0.00955165330786258
FN,-137,0.009658505157567561
FN,-136,0.009629424954764544
FN,-135,0.009669847525656224
FN,-134,0.009696788475848735
FN,-133,0.009633495751768351
FN,-132,0.009603740302845836
FN,-131,0.00950988007709384
FN,-130,0.009556531012058257
FN,-129,0.0096435517212376
FN,-128,0.009518887619487942
FN,-127,0.009547958238981665
FN,-126,0.009600349529646337
FN,-125,0.009615062079392373
FN,-124,0.009893813603557646
FN,-123,0.009903977569192647
FN,-122,0.009802427431568504
FN,-121,0.009773941468447447
FN,-120,0.009860978201031685
FN,-119,0.009779109195806086
FN,-118,0.009784697336144746
FN,-117,0.009880630229599775
FN,-116,0.009865898438729346
FN,-115,0.009793769544921815
FN,-114,0.009827717766165733
FN,-113,0.009828622173517942
FN,-112,0.009719734392128886
FN,-111,0.009670768198557198
FN,-110,0.009609306785278023
FN,-109,0.009703931235708296
FN,-108,0.009739920208230614
FN,-107,0.009810393671505152
FN,-106,0.009892495810054242
FN,-105,0.010124051230959594
FN,-104,0.010116963763721287
FN,-103,0.010046006203629077
FN,-102,0.010080009074881673
FN,-101,0.010060238712467253
FN,-100,0.010087176891975105
FN,-99,0.010116857192479074
FN,-98,0.010102676297537982
FN,-97,0.010145944058895112
FN,-96,0.010150400632992386
FN,-95,0.010203769812360406
FN,-94,0.010011965818703174
FN,-93,0.010100100100971758
FN,-92,0.010142321377061307
FN,-91,0.010118420743383467
FN,-90,0.010085811298340559
FN,-89,0.010116411549970507
FN,-88,0.010054314979352058
FN,-87,0.009998083454556763
FN,-86,0.009996818327344954
FN,-85,0.010092468722723425
FN,-84,0.010105810593813658
FN,-83,0.010169385382905603
FN,-82,0.010137795000337064
FN,-81,0.010102546480484307
FN,-80,0.0100998160475865
FN,-79,0.01010070061776787
FN,-78,0.010001150509342551
FN,-77,0.009979731016792358
FN,-76,0.009992357245646417
FN,-75,0.010088438945822419
FN,-74,0.0101425465894863
FN,-73,0.009924088749103247
FN,-72,0.009915533293969929
FN,-71,0.00994260513689369
FN,-70,0.00986139283515513
FN,-69,0.009865920543670654
FN,-68,0.009891616869717837
FN,-67,0.00990483839996159
FN,-66,0.009891868997365237
FN,-65,0.009876810079440475
FN,-64,0.009930680729448796
FN,-63,0.00989679210819304
FN,-62,0.009861026704311372
FN,-61,0.009888077564537525
FN,-60,0.009858959522098303
FN,-59,0.009883460029959679
FN,-58,0.010096996808424592
FN,-57,0.010278833946213126
FN,-56,0.01026535701006651
FN,-55,0.010347962668165565
FN,-54,0.010547971725463868
FN,-53,0.01039963461458683
FN,-52,0.010218095420859753
FN,-51,0.01029590323101729
FN,-50,0.010422654976136982
FN,-49,0.01035612245555967
FN,-48,0.010260296771302819
FN,-47,0.010235284534282983
FN,-46,0.010240698549896479
FN,-45,0.010237479135394096
FN,-44,0.010151607999578118
FN,-43,0.010101691633462907
FN,-42,0.010186476376838982
FN,-41,0.01019190835300833
FN,-40,0.010102387927472591
FN,-39,0.010172990774735808
FN,-38,0.010087513979524374
FN,-37,0.01018672284670174
FN,-36,0.010156720653176307
FN,-35,0.010129782911390066
FN,-34,0.010044104242697359
FN,-33,0.010061032501980663
FN,-32,0.010067860875278712
FN,-31,0.009915348743088543
FN,-30,0.009903541435487568
FN,-29,0.009992510001175105
FN,-28,0.00982687785755843
FN,-27,0.009870509132742882
FN,-26,0.009886173214763403
FN,-25,0.00990878777578473
FN,-24,0.009958305107429623
FN,-23,0.009947062092833222
FN,-22,0.009897343176417052
FN,-21,0.0099462820449844
FN,-20,0.009909792328253389
FN,-19,0.0098766487557441
FN,-18,0.010019379490986467
FN,-17,0.010048399278894067
FN,-16,0.010081055220216512
FN,-15,0.010076107089407742
FN,-14,0.010095188026316464
FN,-13,0.010063878824003041
FN,-12,0.009903566618449986
FN,-11,0.010012085251510143
FN,-10,0.010053666196763516
FN,-9,0.010099350418895483
FN,-8,0.009961939249187708
FN,-7,0.009972064858302473
FN,-6,0.010069243144243956
FN,-5,0.010001508295536041
FN,-4,0.01017987702973187
FN,-3,0.010241687949746846
FN,-2,0.010235923258587718
FN,-1,0.01017044324427843
FN,0,0.010324721988290549
FN,1,0.010264822337776423
FN,2,0.010278214160352945
FN,3,0.010255688969045877
FN,4,0.010343437301926314
FN,5,0.010349232205189764
FN,6,0.010339689650572836
FN,7,0.010384388342499733
FN,8,0.010360369426198304
FN,9,0.010155871934257448
FN,10,0.010115427374839782
FN,11,0.01013798710424453
FN,12,0.010171702550724148
FN,13,0.010158846518024803
FN,14,0.010063436860218645
FN,15,0.010168888750486075
FN,16,0.010168791669420897
FN,17,0.010098428474739194
FN,18,0.010001594061031937
FN,19,0.01005359090398997
FN,20,0.009937464292161167
FN,21,0.00987402732949704
FN,22,0.009970556483604015
FN,23,0.009903732752427459
FN,24,0.009913813611492515
FN,25,0.009918815712444485
FN,26,0.009901988231576979
FN,27,0.009803869905881583
FN,28,0.009684612546116113
FN,29,0.009743623193353415
FN,30,0.009752210727892816
FN,31,0.009748132391832769
FN,32,0.009970183824189007
FN,33,0.010109014664776624
FN,34,0.010135941575281322
FN,35,0.010147907719947398
FN,36,0.010127410320565104
FN,37,0.010094435680657625
FN,38,0.010148438485339284
FN,39,0.01010699603240937
FN,40,0.010061741326935589
FN,41,0.010057143243029714
FN,42,0.009941408839076758
FN,43,0.010011796653270722
FN,44,0.010010133101604878
FN,45,0.010053920103237033
FN,46,0.01001464996021241
FN,47,0.009984606369398534
FN,48,0.009838828453794121
FN,49,0.009755511851981282
FN,50,0.009792567742988468
FN,51,0.009750366341322661
FN,52,0.009876730274409056
FN,53,0.009840668821707367
FN,54,0.009900358794257045
FN,55,0.010046372758224606
FN,56,0.010037630223669112
FN,57,0.009945344519801438
FN,58,0.010126264751888811
FN,59,0.010248060110025109
FN,60,0.010243891794234515
FN,61,0.010284104961901902
FN,62,0.010201481571421027
FN,63,0.010107790194451809
FN,64,0.010095658758655191
FN,65,0.010230870563536882
FN,66,0.01020078063942492
FN,67,0.010204227385111153
FN,68,0.01023037481121719
FN,69,0.010205391459167004
FN,70,0.010326689584180712
FN,71,0.010244155330583453
FN,72,0.010050139306113124
FN,73,0.00999655264429748
FN,74,0.009867055444046854
FN,75,0.009974704887717963
FN,76,0.009903910718858242
FN,77,0.009880879274569453
FN,78,0.0099365557404235
FN,79,0.00984393100719899
FN,80,0.009825853211805225
FN,81,0.00977114861831069
FN,82,0.009733589738607407
FN,83,0.009729179358109831
FN,84,0.009795882804319263
FN,85,0.009915360519662499
FN,86,0.009945856649428606
FN,87,0.010050994521006941
FN,88,0.009914457988925278
FN,89,0.009950114390812814
FN,90,0.009894151384942233
FN,91,0.009950104891322554
FN,92,0.009904165440239011
FN,93,0.009867388550192117
FN,94,0.009912918098270893
FN,95,0.009976148093119263
FN,96,0.009846884934231638
FN,97,0.009798655551858246
FN,98,0.009791396693326532
FN,99,0.009777159462682903
FN,100,0.009761898382566869
FN,101,0.009841105537489056
FN,102,0.009733051550574601
FN,103,0.009791304585523903
FN,104,0.009765885821543634
FN,105,0.00986999171320349
FN,106,0.009830611129291355
FN,107,0.009870526241138577
FN,108,0.00995836009271443
FN,109,0.009825687455013395
FN,110,0.009876956343650817
FN,111,0.009905725959688425
FN,112,0.009878574362955988
FN,113,0.009798798565752805
FN,114,0.009824450416490436
FN,115,0.009808224332518876
FN,116,0.009929342116229235
FN,117,0.010024839104153216
FN,118,0.009984398293308914
FN,119,0.01011643351521343
FN,120,0.010038360664620995
FN,121,0.01007511343806982
FN,122,0.010031270533800126
FN,123,0.009951552292332053
FN,124,0.009895067308098077
FN,125,0.009893426890484988
FN,126,0.009809788744896651
FN,127,0.009715689979493618
FN,128,0.009591795075684785
FN,129,0.009554820163175463
FN,130,0.009622374721802772
FN,131,0.009519803109578789
FN,132,0.009551377505995334
FN,133,0.0096792830247432
FN,134,0.009868440376594663
FN,135,0.009894129782915116
FN,136,0.00999648603145033
FN,137,0.00995203664060682
FN,138,0.00993600649293512
FN,139,0.009935324671678245
FN,140,0.009905534996651113
FN,141,0.009866818995214998
FN,142,0.009936228659935296
FN,143,0.0097605209518224
FN,144,0.009785754084587097
FN,145,0.009587670341134072
FN,146,0.009499476323835552
FN,147,0.009572598347440363
FN,148,0.00955595724284649
FN,149,0.009568587387911975
FN,150,0.009612666796892882
FN,151,0.009561176518909633
FN,152,0.009468196383677423
FN,153,0.00940506395418197
FN,154,0.009518651347607375
FN,155,0.0095550197083503
FN,156,0.009517906797118485
FN,157,0.00937477732077241
