example_id,confusion_category,kmer_size,position_relative_to_snv,kmer_importance
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-100,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-99,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-98,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-97,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-96,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-95,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-94,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-93,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-92,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-91,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-90,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-89,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-88,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-87,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-86,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-85,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-84,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-83,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-82,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-81,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-80,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-79,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-78,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-77,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-76,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-75,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-74,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-73,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-72,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-71,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-70,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-69,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-68,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-67,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-66,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-65,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-64,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-63,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-62,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-61,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-60,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-59,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-58,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-57,0.0
chr3:125766575:esophagus_muscularis_mucosa:0,TP,3,-56,0.0
