PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-2.2427566,-0.6772302,-0.43607023,-0.5806953,0.14141242,0.3906752,-0.07409098,0.18114941,0.531974,-0.07004422,0,chr1:208268555:body_of_pancreas:0,TN,0
-2.5582426,0.73600197,1.2169564,1.7026252,-0.9871949,-0.5200944,0.10012309,-0.082286485,0.18905464,-0.37754613,0,chr10:100267607:transverse_colon:0,TN,0
-2.7020257,0.52713406,-0.04845004,0.54553896,0.59431905,-0.07147579,-0.15342031,-0.08784215,-0.17756261,-0.3731259,0,chr15:85840427:sigmoid_colon:0,TN,0
4.2210164,-0.587127,-0.16371453,-0.22690418,-0.33328143,0.50660914,-0.1970491,1.0734328,-0.42728153,-0.47968897,0,chr20:53943966:thoracic_aorta:0,FP,1
-1.8954035,1.1047072,2.3196068,2.0876637,-0.38472953,-0.540566,-0.047383185,0.5143599,-0.048106395,-0.25686494,1,chr2:46699152:prostate_gland:0,FN,0
-2.4999042,-0.96151626,0.7262359,-0.8211605,-0.5553202,0.03894288,-0.71470386,-0.20512433,0.5085995,0.66375077,0,chr5:150847159:prostate_gland:0,TN,0
6.0182343,1.0697982,-0.6282455,0.02586156,-0.22270182,-0.89731264,-0.040387414,-0.47528672,0.09885565,-0.17832954,1,chr2:86221296:thoracic_aorta:0,TP,1
-1.4664842,-0.58771986,1.0037911,1.8318503,0.7407045,0.9825779,0.1964181,0.17462003,-0.3878091,-0.14430636,1,chr9:33447548:prostate_gland:0,FN,0
-1.967268,0.010370894,-0.43165192,1.1493214,0.25244242,0.03733635,0.47814417,0.19024052,0.25545692,-0.06636408,0,chr7:100950296:Peyers_patch:0,TN,0
4.467405,-0.07899788,0.721681,0.018712299,1.0408771,0.949852,0.07708601,-1.1498728,0.061584197,-0.3884622,1,chr8:41651698:testis:0,TP,1
-1.4924551,-0.045490667,-0.21459249,-0.553157,-0.8890227,0.58260083,0.44919658,0.7900259,-0.17717738,-0.6741494,0,chr1:239067551:body_of_pancreas:0,TN,0
-2.657656,-0.41558456,0.40412766,0.025515543,-0.005096692,-0.05133531,-0.19242312,0.30977753,-0.066686295,0.4554765,1,chr1:146376989:lower_leg_skin:0,FN,0
4.0188427,3.7283812,-0.47174233,-0.6031057,0.7884509,-0.4413123,-0.4253181,1.1296076,1.1789087,0.36076257,1,chr8:44636977:gastrocnemius_medialis:0,TP,1
-2.1324759,-1.085323,1.5183152,-1.3035374,0.25273788,-0.89157385,-1.1246376,0.48793736,-0.4189424,0.58490616,0,chr22:50533646:body_of_pancreas:0,TN,0
-0.76446605,-2.9569616,1.319862,-1.5458964,-0.5348733,-0.6060594,-0.42315537,-0.81055766,-0.47527993,-1.2123082,1,chr2:8910313:body_of_pancreas:0,FN,0
-2.2315567,-0.6103846,-0.1366123,0.92298746,0.26481614,0.16376795,-0.3477336,-0.15207042,-0.004384614,-0.09760101,1,chr6:44627517:body_of_pancreas:0,FN,0
-0.6754975,-1.4928423,-0.28585854,0.54351664,0.7322321,0.8631742,0.81257755,-0.007967465,0.22861095,-0.23770842,1,chr6:157274469:tibial_nerve:0,FN,0
-1.6939548,0.12349149,0.8833696,-0.91376156,0.39694214,-0.48310816,0.54237837,0.6639088,0.28455043,0.48158967,0,chr2:130144620:spleen:0,TN,0
-2.8691564,1.2202051,-0.38545418,0.52950525,0.4341433,-0.2741618,-0.0259892,-0.16901545,-0.10471069,0.13215196,0,chr20:59515611:transverse_colon:0,TN,0
-1.610108,-0.9265306,-1.3243476,-0.1123736,0.19326146,0.2690526,0.08318587,-0.14914735,0.042513605,-0.31971052,0,chr15:63000361:body_of_pancreas:0,TN,0
-2.9421678,0.70342696,1.1934632,1.6942488,-0.410114,-0.48050538,-0.41045013,-0.123525955,0.15220594,-0.34100688,0,chr7:150323436:spleen:0,TN,0
-2.5394096,-1.3363466,-0.93277353,0.53787214,0.026589427,-0.6825415,0.08241962,-0.04505791,-0.17405239,0.0001340367,1,chr6:131199853:adrenal_gland:0,FN,0
6.0508747,0.21887265,-0.17495261,0.2315908,0.2887831,-0.3586335,-0.033162143,-0.34838563,0.13248485,-0.020931877,1,chr17:45585364:esophagus_muscularis_mucosa:0,TP,1
-2.640925,-0.53981483,-1.1837635,-0.043668345,0.19922909,-0.6198251,-0.44428423,0.03775779,-0.09975017,-0.07007496,1,chr9:127348292:gastroesophageal_sphincter:0,FN,0
-2.5674865,-0.5075025,-1.0042198,0.49438584,0.40167966,0.6692347,-0.42795882,-0.19550931,0.27250084,-0.56242484,0,chr21:43723793:body_of_pancreas:0,TN,0
-2.0716336,0.13699414,1.4991012,2.0080252,-0.31800982,-0.13250087,-0.031557236,0.2571713,0.34995782,0.021439044,0,chr6:138988030:esophagus_squamous_epithelium:0,TN,0
5.7312045,1.1893016,-0.66618013,0.17313212,-0.09957065,-1.161795,0.05665327,0.23759064,0.9008211,0.0055094925,1,chr17:22909996:testis:0,TP,1
-2.6496224,0.0014327517,-0.944904,0.14381698,0.34352496,-0.708564,-0.0009866866,0.07806734,-0.0056063267,0.066461764,1,chr18:56728983:transverse_colon:0,FN,0
5.8944116,-0.03664089,-0.2834859,0.26086816,0.11838599,-0.6211736,0.049103975,0.21856521,-1.1139883,-0.101822235,1,chr11:29644415:prostate_gland:0,TP,1
-2.8396678,0.82690954,-0.6639799,-0.2856852,0.75218827,-0.63418585,-0.26475918,0.066996805,-0.15402426,0.08200497,0,chr6:11013986:body_of_pancreas:0,TN,0
-0.4264741,-4.0565805,0.50333554,-0.8304325,-0.5899898,0.032029193,0.293158,0.15525791,1.088019,0.1896253,1,chr7:100949214:Peyers_patch:0,FN,0
-0.26689425,-0.70712024,0.3572837,1.1003253,1.7027018,1.5932742,-0.025603134,0.7883876,-0.37701824,0.0033299415,0,chr15:63122523:gastrocnemius_medialis:0,TN,0
-0.32561418,-0.17048864,-0.30899653,-0.32785904,0.17737092,-0.2869408,0.901256,-0.14213328,0.022642337,0.7436832,0,chr1:19659758:tibial_nerve:0,TN,0
5.2963333,-0.839302,-0.16016282,0.66614366,0.40339598,0.10293908,-0.3549836,0.10108168,-0.8662144,0.5024063,1,chr11:46305551:body_of_pancreas:0,TP,1
-1.7824768,-0.7114009,-0.9391651,1.0859417,0.27476203,0.20448077,0.12867638,0.20963705,-0.1786421,0.14269766,1,chr5:759207:body_of_pancreas:0,FN,0
-2.0885952,-2.258338,-0.2194034,-0.37308875,0.45997494,0.24042214,-0.18524188,-0.573269,0.66064376,0.0066803796,0,chr7:100217197:tibial_artery:0,TN,0
-2.3132813,-0.05304635,-0.1909699,-1.2997134,-0.72536755,-0.16082525,-0.075895116,-0.24973865,-0.052218586,-0.19028115,0,chr9:105609267:thoracic_aorta:0,TN,0
-1.5209076,2.1272948,0.25877574,-0.9853096,-0.6273769,1.0192486,-0.04522172,0.0005159403,-0.35566667,-0.38284972,0,chr3:64325309:thoracic_aorta:0,TN,0
2.4736207,-1.7782961,0.04205825,0.96359503,1.6391525,1.6920301,-0.048283353,-0.10586766,0.2641943,0.21457084,0,chr17:4639421:upper_lobe_of_left_lung:0,FP,1
-2.0203161,-1.8620721,0.31739143,0.08228388,-0.21212173,-0.087696835,-0.053800713,-0.15925637,0.20259748,-0.13036098,0,chr14:34228362:thoracic_aorta:0,TN,0
4.391388,2.201716,-0.20010306,0.25006232,-0.34431514,0.008873772,0.8213576,0.48927227,-1.3497121,0.1247529,1,chr7:73725711:suprapubic_skin:0,TP,1
-2.729317,-0.81428015,-0.26004526,-0.025559895,0.26852354,-0.4529733,-0.027220227,-0.31360093,0.1604846,-0.03577486,0,chr3:9862475:body_of_pancreas:0,TN,0
-1.8572371,-1.0900508,-0.853991,-0.13088658,0.49402037,-0.22779872,0.50923723,0.19395794,0.037783306,-0.33639494,0,chr1:225816669:transverse_colon:0,TN,0
3.936322,-1.7861863,-0.63591504,0.30346686,0.19150957,1.2876986,0.13969135,-0.1214915,0.5664408,0.075301625,0,chr2:46818510:body_of_pancreas:0,FP,1
-2.9394827,-0.017570449,-0.813886,0.20559116,-0.36247212,-0.1487455,-0.38643932,0.024709003,-0.09910745,-0.352742,0,chr6:2448888:adrenal_gland:0,TN,0
-2.9200983,1.1546993,-0.90169513,0.096390784,-0.10384838,-0.15312338,-0.018583,0.091389656,0.1665615,0.01252103,0,chr12:21437622:tibial_artery:0,TN,0
2.7653844,-2.3542843,1.1095011,1.6034234,-0.5339572,1.4076428,-0.95596457,-0.026544133,0.9124999,0.8723722,0,chr6:31356771:prostate_gland:0,FP,1
4.196642,-1.6129235,0.27297014,-0.8194344,-1.3608263,-0.40143248,1.1593919,0.37281188,0.048686914,-1.2018718,1,chr5:123274158:body_of_pancreas:0,TP,1
-2.156162,0.92885184,1.6681061,1.3676274,-0.23236611,-0.29356363,0.06845327,0.01737841,-0.15992728,0.24295919,1,chr17:49764139:body_of_pancreas:0,FN,0
5.982632,0.4656694,-0.46795815,0.30539548,-0.10581518,-0.5156171,-0.05724279,-0.45722428,0.13313676,-0.08640488,1,chr12:121918386:transverse_colon:0,TP,1
-3.0225892,0.57372504,-0.7581831,0.27159125,0.291012,0.16975264,-0.33746406,-0.508335,-0.024557572,-0.25398344,0,chr9:133565456:testis:0,TN,0
-2.0779004,0.40245453,0.97539425,1.367266,-0.5417792,-0.47879797,0.5508339,0.070180535,-0.15497,-0.3417693,0,chr1:100249897:lower_leg_skin:0,TN,0
-0.5622369,0.015150359,1.3988647,1.4199922,-0.07746973,0.37560496,0.59289086,0.74502283,-0.026928883,-0.73871183,0,chr7:26377045:sigmoid_colon:0,TN,0
5.1689863,-1.1085119,-0.83568794,0.26519352,-1.773931,-0.3968631,-0.078308,-0.25108773,-0.49824968,0.5787592,1,chr2:196068383:spleen:0,TP,1
4.9527736,-0.14546897,0.8186521,0.63318515,0.812269,0.20925419,-0.1578887,0.4609788,-0.6462538,-0.38539457,1,chr3:165196968:body_of_pancreas:0,TP,1
-2.7856772,0.62980443,0.04193415,0.94282013,-0.27412343,-0.33571634,0.26080856,-0.16406132,0.2854673,-0.1913269,0,chr6:29942249:spleen:0,TN,0
-2.3942227,1.0273132,0.26961792,-0.72307307,-0.30703342,-0.4997822,0.6001859,-0.41323376,0.37511197,1.169026,0,chr19:48152501:omental_fat_pad:0,TN,0
5.0528665,-0.5796341,0.2578982,0.43361047,1.1147659,0.6288026,-0.70403075,0.07163761,-0.06593559,0.14060748,1,chr9:42852316:suprapubic_skin:0,TP,1
-2.5597072,-2.1799664,1.6406767,0.53106695,-1.0276908,-1.2083359,0.03675024,-0.56363904,-0.25702184,-0.37106436,1,chr1:29230711:body_of_pancreas:0,FN,0
4.623751,-3.438876,-0.12780795,0.68771183,-0.7211903,0.36071706,-1.0589439,-0.24258384,0.5545237,1.1465318,0,chr19:7637688:body_of_pancreas:0,FP,1
0.022161933,0.543454,0.641116,0.23858319,0.090104975,1.692185,-0.787559,-0.5899959,-0.4057053,-0.18048969,0,chr16:85056622:adrenal_gland:0,TN,0
5.988593,0.27588132,-0.5156524,0.63137656,0.09215633,-0.317724,-0.32066283,-0.22969809,-0.102964394,0.09191205,1,chr3:75785357:upper_lobe_of_left_lung:0,TP,1
-3.2109704,1.2845933,0.0595868,0.87812907,-0.084766924,-0.05139392,-0.74365383,-0.39290813,0.34128693,0.07142856,0,chr7:5487175:body_of_pancreas:0,TN,0
