confusion_category,position_relative_to_snv,mean_attention
FN,-206,0.008974844943732024
FN,-205,0.009020043900236488
FN,-204,0.008996259747073054
FN,-203,0.008949409113265574
FN,-202,0.009060600283555686
FN,-201,0.009099575667642057
FN,-200,0.009056183001957834
FN,-199,0.00908462612889707
FN,-198,0.009074382078833878
FN,-197,0.009129977822303771
FN,-196,0.00916335658170283
FN,-195,0.009119988027960062
FN,-194,0.00905563029460609
FN,-193,0.009063583496026695
FN,-192,0.00907694729976356
FN,-191,0.0091822924092412
FN,-190,0.009165068310685455
FN,-189,0.009141983478330076
FN,-188,0.009085102113895118
FN,-187,0.00912446524016559
FN,-186,0.009068540139123797
FN,-185,0.009215322392992675
FN,-184,0.009273314452730119
FN,-183,0.009333825572393834
FN,-182,0.00932222664821893
FN,-181,0.009415730582550168
FN,-180,0.009394947970286012
FN,-179,0.009407350099645556
FN,-178,0.009239206262864173
FN,-177,0.009248561863787473
FN,-176,0.009178230436518789
FN,-175,0.009498729263432324
FN,-174,0.009553677076473832
FN,-173,0.009548170575872063
FN,-172,0.009873930183239281
FN,-171,0.009947169926017524
FN,-170,0.009870458384975791
FN,-169,0.009891974306665361
FN,-168,0.009773236066102982
FN,-167,0.00968259914778173
FN,-166,0.009750531176105142
FN,-165,0.009776382925920188
FN,-164,0.009795390628278255
FN,-163,0.009811434997245669
FN,-162,0.009761673118919133
FN,-161,0.009754884652793408
FN,-160,0.009700671639293432
FN,-159,0.009830673825927078
FN,-158,0.009817061414942145
FN,-157,0.009624211098998785
FN,-156,0.009604382682591677
FN,-155,0.00961757592856884
FN,-154,0.009813607577234507
FN,-153,0.009724773219786584
FN,-152,0.009695488680154084
FN,-151,0.009719465654343366
FN,-150,0.009809951353818179
FN,-149,0.0097610520478338
FN,-148,0.00978444017469883
FN,-147,0.009818725809454918
FN,-146,0.009780882843770086
FN,-145,0.009759703348390759
FN,-144,0.009736991254612803
FN,-143,0.009631963190622627
FN,-142,0.009524326585233212
FN,-141,0.009508527745492757
FN,-140,0.009349425588734448
FN,-139,0.009318354441784322
FN,-138,0.00936393350828439
FN,-137,0.0093762043165043
FN,-136,0.009469219702295958
FN,-135,0.00955264520831406
FN,-134,0.009557468183338642
FN,-133,0.009646510630846023
FN,-132,0.009729929333552718
FN,-131,0.009718419639393688
FN,-130,0.009864773578010499
FN,-129,0.009924451396800578
FN,-128,0.009954440305009485
FN,-127,0.00993921834975481
FN,-126,0.009907624516636133
FN,-125,0.0099180509429425
