example_id,confusion_category,kmer_size,position_relative_to_snv,kmer_importance
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-100,1.647075017293294e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-99,1.3550122578938803e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-98,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-97,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-96,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-95,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-94,3.973642985026042e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-93,3.973642985026042e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-92,4.023313522338867e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-91,1.055002212524414e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-90,7.987022399902344e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-89,1.1980533599853516e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-88,2.0662943522135415e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-87,7.450580596923828e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-86,7.450580596923828e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-85,2.2490819295247395e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-84,2.0305315653483074e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-83,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-82,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-81,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-80,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-79,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-78,1.3172626495361328e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-77,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-76,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-75,2.582867940266927e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-74,1.0073184967041016e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-73,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-72,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-71,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-70,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-69,3.824631373087565e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-68,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-67,2.193450927734375e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-66,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-65,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-64,2.561012903849284e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-63,4.716714223225912e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-62,5.143880844116211e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-61,6.755193074544271e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-60,6.755193074544271e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-59,3.7550926208496094e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-58,2.9782454172770183e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-57,1.8537044525146484e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-56,3.331899642944336e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-55,1.4086564381917318e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-54,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-53,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-52,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-51,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-50,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-49,4.887580871582031e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-48,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-47,2.5033950805664062e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-46,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-45,9.934107462565105e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-44,1.986821492513021e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-43,2.684195836385091e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-42,5.5034955342610674e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-41,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-40,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-39,9.47713851928711e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-38,1.895427703857422e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-37,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-36,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-35,2.2252400716145835e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-34,1.7682711283365886e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-33,5.304813385009766e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-32,5.304813385009766e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-31,8.066495259602865e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-30,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-29,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-28,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-27,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-26,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-25,8.344650268554688e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-24,4.172325134277344e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-23,8.344650268554688e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-22,1.8835067749023438e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-21,1.5974044799804688e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-20,2.195437749226888e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-19,9.417533874511719e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-18,3.3974647521972656e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-17,4.331270853678386e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-16,1.5497207641601562e-06
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-15,1.0927518208821615e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-14,7.748603820800781e-07
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-13,1.0271867116292318e-05
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-12,0.0
chr3:75785609:esophagus_muscularis_mucosa:0,TP,6,-11,2.7994314829508465e-05
