example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1,snv_offset_seq1,snv_offset_seq2
chr17:22909996:omental_fat_pad:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9879414439201355,-2.2605082988739014,2.1453452110290527,301,301
chr17:22816782:transverse_colon:0,TP,1,1,0,[CLS],0,0,106,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9878997206687927,-2.2489867210388184,2.1533617973327637,234,234
chr17:22909996:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,103,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9878801703453064,-2.259625196456909,2.1410930156707764,304,304
chr17:22909996:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9877204298973083,-2.265315532684326,2.122148036956787,287,287
chr17:22909996:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9875441789627075,-2.2460196018218994,2.127012252807617,292,292
chr17:23044492:spleen:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9875304698944092,-2.25160551071167,2.1203088760375977,226,226
chr17:22909996:thoracic_aorta:0,TP,1,1,0,[CLS],0,0,102,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9875150918960571,-2.2489404678344727,2.1217360496520996,297,297
chr3:75785547:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,113,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9875025749206543,-2.204195499420166,2.1654558181762695,252,252
chr3:75785547:thoracic_aorta:1,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9874911308288574,-2.177065134048462,2.1916685104370117,249,249
chr3:75785609:esophagus_muscularis_mucosa:0,TP,1,1,0,[CLS],0,0,114,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.987484872341156,-2.184457302093506,2.1837708950042725,291,291
chr17:22909996:transverse_colon:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9873849153518677,-2.2411539554595947,2.1190125942230225,269,269
chr17:22909996:adrenal_gland:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9873493313789368,-2.227874279022217,2.129446029663086,260,260
chr17:22909996:tibial_nerve:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.987342357635498,-2.2276082038879395,2.129145622253418,245,245
chr17:23044492:thyroid_gland:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9873047471046448,-2.2382259368896484,2.115525960922241,245,245
chr17:22909996:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872922897338867,-2.238539934158325,2.1142163276672363,244,244
chr17:22909996:lower_leg_skin:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872734546661377,-2.216209888458252,2.1350486278533936,262,262
chr17:22909996:stomach:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9871799349784851,-2.2328040599823,2.1110379695892334,214,214
chr3:75785547:adrenal_gland:0,TP,1,1,0,[CLS],0,0,112,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870824813842773,-2.1649386882781982,2.171227216720581,213,213
chr17:22909996:testis:0,TP,1,1,0,[CLS],0,0,99,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870770573616028,-2.232978105545044,2.1027626991271973,216,216
chr17:22909996:spleen:0,TP,1,1,0,[CLS],0,0,101,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.987065851688385,-2.218773365020752,2.1160919666290283,251,251
chr17:23044492:tibial_artery:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986927330493927,-2.235527276992798,2.088543176651001,305,305
chr3:75785419:Peyers_patch:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9867736101150513,-2.191303014755249,2.1209285259246826,220,220
chr3:75785609:gastrocnemius_medialis:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9867498278617859,-2.1525325775146484,2.1578760147094727,244,244
chr3:75785419:thoracic_aorta:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866907596588135,-2.1862263679504395,2.119668960571289,210,210
chr17:22909996:prostate_gland:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986638069152832,-2.2126412391662598,2.0892553329467773,230,230
chr3:75785419:spleen:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865983724594116,-2.182307481765747,2.1165847778320312,219,219
chr3:75785609:transverse_colon:0,TP,1,1,0,[CLS],0,0,110,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986578106880188,-2.1535825729370117,2.143768548965454,243,243
chr3:75785419:body_of_pancreas:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865483641624451,-2.1592042446136475,2.1359119415283203,249,249
chr3:75785419:transverse_colon:1,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9865390658378601,-2.1872196197509766,2.1071929931640625,217,217
chr3:75785419:upper_lobe_of_left_lung:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9864011406898499,-2.1817660331726074,2.102308511734009,214,214
chr3:75785419:prostate_gland:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863266944885254,-2.183697462081909,2.0948448181152344,206,206
chr3:75785547:sigmoid_colon:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9862404465675354,-2.150165557861328,2.121995687484741,297,297
chr17:23044492:prostate_gland:0,TP,1,1,0,[CLS],0,0,100,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986228346824646,-2.208430290222168,2.0628490447998047,266,266
chr6:31374359:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,108,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9862139821052551,-2.197909355163574,2.07230806350708,230,230
chr3:75785419:tibial_nerve:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861082434654236,-2.1564321517944336,2.106038808822632,250,250
chr3:75785419:tibial_artery:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860864877700806,-2.1363747119903564,2.1245036125183105,242,242
chr3:75785419:esophagus_squamous_epithelium:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9860170483589172,-2.17042875289917,2.0854082107543945,270,270
chr11:47642443:Peyers_patch:0,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859382510185242,-2.137732982635498,2.1124000549316406,241,241
chr7:100949229:Peyers_patch:0,TP,1,1,0,[CLS],0,0,105,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859230518341064,-2.182999849319458,2.0660440921783447,210,210
chr11:47642443:tibial_artery:0,TP,1,1,0,[CLS],0,0,116,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9859113693237305,-2.112360954284668,2.1358370780944824,239,239
chr11:47642443:adrenal_gland:0,TP,1,1,0,[CLS],0,0,115,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9858371019363403,-2.113708257675171,2.1291582584381104,295,295
