example_id,confusion_category,snv_max_abs_delta,snv_true_alt_delta,control_mean_abs_delta,control_n,ref_score
chr3:75785547:gastrocnemius_medialis:0,TP,0.007455348968505859,,0.007468643188476562,25,5.94657564163208
chr3:75785547:thoracic_aorta:1,TP,0.008267402648925781,,0.0062032508850097656,25,5.942734241485596
chr3:75785609:body_of_pancreas:0,TP,0.008675098419189453,,0.007620048522949219,25,5.9201273918151855
chr3:75785547:adrenal_gland:0,TP,0.009224891662597656,,0.010266838073730468,25,5.907784461975098
chr3:75785609:transverse_colon:0,TP,0.010037422180175781,,0.008926219940185547,25,5.886390209197998
chr3:75785609:esophagus_muscularis_mucosa:0,TP,0.005414009094238281,,0.00813608169555664,25,5.883909225463867
chr3:75785547:sigmoid_colon:0,TP,0.006129741668701172,,0.013542232513427734,25,5.882685661315918
chr3:75785609:gastrocnemius_medialis:0,TP,0.011375904083251953,,0.011793308258056641,25,5.881904125213623
chr6:32477160:transverse_colon:0,TP,0.007762432098388672,,0.010968189239501953,25,5.866020679473877
chr10:38653296:Peyers_patch:0,TP,0.0017437934875488281,,0.010907707214355468,25,5.852894306182861
chr10:38653296:esophagus_squamous_epithelium:0,TP,0.002513408660888672,,0.01013378143310547,25,5.831157684326172
chr10:38653055:transverse_colon:0,TP,0.015024185180664062,,0.020356597900390624,25,5.828531265258789
chr5:127014594:transverse_colon:0,TP,0.010272502899169922,,0.022324295043945314,25,5.82589864730835
chr3:75785609:tibial_artery:1,TP,0.04863929748535156,,0.030791873931884765,25,5.824664115905762
chr10:38653055:body_of_pancreas:0,TP,0.010755538940429688,,0.02395719528198242,25,5.819831848144531
chr10:38653296:body_of_pancreas:0,TP,0.008190155029296875,,0.012412929534912109,25,5.802931308746338
chr10:38653296:adrenal_gland:0,TP,0.008410453796386719,,0.007544879913330078,25,5.8023223876953125
chr2:196068383:spleen:0,TP,0.011298179626464844,,0.016770133972167967,25,5.789090156555176
chr17:22909996:body_of_pancreas:0,TP,0.014575004577636719,,0.018358974456787108,25,5.785144805908203
chr10:38653296:transverse_colon:0,TP,0.014818668365478516,,0.01628835678100586,25,5.780245780944824
chr10:38653296:upper_lobe_of_left_lung:0,TP,0.007263660430908203,,0.009310245513916016,25,5.779660701751709
chr10:38653296:transverse_colon:1,TP,0.016386985778808594,,0.012904129028320312,25,5.7762041091918945
chr2:196068383:transverse_colon:0,TP,0.013092041015625,,0.018579559326171877,25,5.771204948425293
chr10:38653296:spleen:0,TP,0.00892496109008789,,0.014481620788574219,25,5.769120216369629
chr17:22909996:transverse_colon:0,TP,0.013353824615478516,,0.019171905517578126,25,5.7601752281188965
chr10:38653055:upper_lobe_of_left_lung:0,TP,0.023045063018798828,,0.028770751953125,25,5.747892379760742
chr2:196068383:thoracic_aorta:1,TP,0.006964683532714844,,0.021660594940185546,25,5.745585918426514
chr2:196068383:tibial_artery:0,TP,0.008291244506835938,,0.025816688537597655,25,5.738195419311523
chr6:31374359:gastroesophageal_sphincter:0,TP,0.0421905517578125,,0.02332132339477539,25,5.733495712280273
chr12:52949266:upper_lobe_of_left_lung:0,TP,0.043094635009765625,,0.050092220306396484,25,5.730424880981445
chr3:75785609:esophagus_squamous_epithelium:0,TP,0.04743385314941406,,0.03999168395996094,25,5.716139793395996
chr20:21120370:spleen:0,TP,0.0077610015869140625,,0.010117740631103515,25,5.712558269500732
chr7:142753147:body_of_pancreas:0,TP,0.007027626037597656,,0.012952938079833984,25,5.711240768432617
chr6:31374359:thoracic_aorta:1,TP,0.043114662170410156,,0.027640628814697265,25,5.710629463195801
