example_id,confusion_category,snv_max_abs_delta,snv_true_alt_delta,control_mean_abs_delta,control_n,ref_score
chr3:125766575:esophagus_muscularis_mucosa:0,TP,0.005248069763183594,,0.0040083503723144535,25,4.280366897583008
chr3:75785531:Peyers_patch:0,TP,0.0007662773132324219,,0.0029007530212402342,25,4.263745307922363
chr3:75785531:adrenal_gland:0,TP,0.0013895034790039062,,0.0022828865051269533,25,4.263455390930176
chr17:22910011:tibial_artery:0,TP,0.005144596099853516,,0.006607456207275391,25,4.26154899597168
chr12:8390645:spleen:0,TP,0.009768486022949219,,0.006438159942626953,25,4.2584123611450195
chr12:8390682:transverse_colon:0,TP,0.0017485618591308594,,0.004308929443359375,25,4.258124351501465
chr12:8390682:upper_lobe_of_left_lung:0,TP,0.00106048583984375,,0.004579238891601563,25,4.25727653503418
chr12:8390682:thoracic_aorta:1,TP,0.0015277862548828125,,0.006151790618896484,25,4.257038116455078
chr12:8390645:adrenal_gland:0,TP,0.011023998260498047,,0.006892585754394531,25,4.2547760009765625
chr12:8390645:thoracic_aorta:1,TP,0.008770942687988281,,0.006083621978759766,25,4.254413604736328
chr12:8390645:body_of_pancreas:0,TP,0.0051364898681640625,,0.006098308563232422,25,4.254376411437988
chr3:125766575:Peyers_patch:0,TP,0.012074947357177734,,0.007154579162597656,25,4.243164539337158
chr17:22910011:sigmoid_colon:0,TP,0.009084224700927734,,0.009374446868896484,25,4.242700099945068
chr3:125766575:tibial_artery:1,TP,0.01146078109741211,,0.007205257415771485,25,4.242490768432617
chr3:75785389:tibial_artery:1,TP,0.01252126693725586,,0.00540283203125,25,4.242246627807617
chr8:38060272:body_of_pancreas:0,TP,0.0033702850341796875,,0.006225528717041015,25,4.240534782409668
chr3:125766575:prostate_gland:1,TP,0.012835025787353516,,0.00841115951538086,25,4.239527702331543
chr3:125766575:testis:1,TP,0.011625289916992188,,0.006653423309326172,25,4.239251136779785
chr17:22910011:lower_leg_skin:0,TP,0.00997161865234375,,0.01664247512817383,25,4.23853874206543
chr12:8390645:prostate_gland:0,TP,0.0053272247314453125,,0.019897403717041014,25,4.234184265136719
chr3:75785389:body_of_pancreas:0,TP,0.02005481719970703,,0.006388034820556641,25,4.233085632324219
chr17:23044492:suprapubic_skin:0,TP,0.0013327598571777344,,0.006232357025146485,25,4.229903697967529
chr8:38060272:upper_lobe_of_left_lung:0,TP,0.018331050872802734,,0.011141796112060547,25,4.229892253875732
chr12:8390682:prostate_gland:0,TP,0.0038924217224121094,,0.009347629547119141,25,4.227045059204102
chr17:22910011:prostate_gland:0,TP,0.01068878173828125,,0.011810016632080079,25,4.226649284362793
chr3:75785389:tibial_nerve:0,TP,0.07341241836547852,,0.02411895751953125,25,4.226142883300781
chr17:22910011:tibial_nerve:0,TP,0.007714271545410156,,0.0075176811218261716,25,4.223693370819092
chr17:23044492:gastrocnemius_medialis:0,TP,0.005504608154296875,,0.008718624114990234,25,4.222443580627441
chr17:23044492:spleen:0,TP,0.006051063537597656,,0.009385986328125,25,4.218868255615234
chr12:8390645:transverse_colon:0,TP,0.014147758483886719,,0.022994861602783204,25,4.218717575073242
chr12:8390682:testis:1,TP,0.00390625,,0.011559925079345702,25,4.217164993286133
chr12:8390645:prostate_gland:1,TP,0.005581855773925781,,0.017634925842285157,25,4.214718341827393
chr17:22910011:omental_fat_pad:0,TP,0.009302139282226562,,0.010621013641357422,25,4.2145280838012695
chr17:22995763:gastroesophageal_sphincter:0,TP,0.003891468048095703,,0.003325347900390625,25,4.212897777557373
chr12:8390682:tibial_artery:0,TP,0.0041828155517578125,,0.01145893096923828,25,4.210382461547852
chr17:22910011:esophagus_muscularis_mucosa:0,TP,0.008194923400878906,,0.008597793579101563,25,4.20932674407959
chr17:22995763:body_of_pancreas:0,TP,0.005504131317138672,,0.003980693817138672,25,4.208587169647217
chr3:75785389:sigmoid_colon:0,TP,0.040671348571777344,,0.009123401641845703,25,4.208151817321777
chr17:22910011:body_of_pancreas:0,TP,0.0064601898193359375,,0.006651992797851562,25,4.208138465881348
chr17:23044492:prostate_gland:0,TP,0.007675647735595703,,0.011408405303955078,25,4.20728874206543
chr17:22995763:Peyers_patch:0,TP,0.010712623596191406,,0.00933950424194336,25,4.206759452819824
chr9:129437679:thoracic_aorta:0,TP,0.005324840545654297,,0.00777639389038086,25,4.203641414642334
chr17:22995763:tibial_nerve:0,TP,0.009500503540039062,,0.009216938018798828,25,4.203044891357422
chr17:23044492:tibial_artery:0,TP,0.006972789764404297,,0.012899246215820313,25,4.198520660400391
chr17:23044492:thyroid_gland:0,TP,0.010209083557128906,,0.0117999267578125,25,4.198004245758057
chr9:129437679:body_of_pancreas:0,TP,0.0073719024658203125,,0.005592117309570313,25,4.188198089599609
chr17:22910011:spleen:0,TP,0.013035297393798828,,0.016903724670410156,25,4.188165664672852
chr3:75785389:prostate_gland:0,TP,0.044542789459228516,,0.017958354949951173,25,4.187895774841309
chr17:23044492:transverse_colon:0,TP,0.022054195404052734,,0.022920265197753906,25,4.180507659912109
chr17:22910011:esophagus_squamous_epithelium:0,TP,0.013331413269042969,,0.01704347610473633,25,4.180112838745117
chr17:22995763:stomach:0,TP,0.018222808837890625,,0.012113094329833984,25,4.178667068481445
chr17:22822728:transverse_colon:0,TP,0.004746437072753906,,0.012993431091308594,25,4.147012710571289
chr17:23044492:body_of_pancreas:0,TP,0.0074443817138671875,,0.022042999267578123,25,4.1427154541015625
chr6:17600826:transverse_colon:0,TP,0.034954071044921875,,0.020023231506347657,25,4.135597229003906
chr17:43360582:transverse_colon:0,TP,0.012399673461914062,,0.009041519165039062,25,4.13441276550293
chr17:22995763:transverse_colon:0,TP,0.030114173889160156,,0.028091163635253907,25,4.128271102905273
chr7:142752912:body_of_pancreas:0,TP,0.014220714569091797,,0.018438491821289062,25,4.12293004989624
chr17:25579427:transverse_colon:0,TP,0.010741233825683594,,0.02511378288269043,25,4.118988037109375
chr17:22995763:omental_fat_pad:0,TP,0.03007984161376953,,0.020800704956054687,25,4.118202209472656
chr17:43360582:tibial_nerve:0,TP,0.021152496337890625,,0.010252208709716796,25,4.115944862365723
chr17:23378804:sigmoid_colon:0,TP,0.0110321044921875,,0.019003124237060548,25,4.115072250366211
chr17:43360582:body_of_pancreas:0,TP,0.005462169647216797,,0.009799766540527343,25,4.114355564117432
chr7:100949702:Peyers_patch:0,TP,0.009471893310546875,,0.01910268783569336,25,4.113683700561523
chr17:22822724:spleen:0,TP,0.018197059631347656,,0.013915653228759766,25,4.1112799644470215
chr17:23378804:gastroesophageal_sphincter:0,TP,0.015174388885498047,,0.010607223510742187,25,4.109907150268555
chr17:43360582:esophagus_muscularis_mucosa:0,TP,0.04107856750488281,,0.017031002044677734,25,4.109628677368164
chr17:23378804:body_of_pancreas:0,TP,0.013718128204345703,,0.028305492401123046,25,4.10944128036499
chr17:43360582:lower_leg_skin:0,TP,0.021800518035888672,,0.014513168334960937,25,4.108834743499756
chr17:25579427:thoracic_aorta:0,TP,0.014550209045410156,,0.01803215026855469,25,4.104330062866211
chr6:17600826:tibial_nerve:0,TP,0.04813194274902344,,0.03772064208984375,25,4.103206634521484
chr17:25579427:upper_lobe_of_left_lung:0,TP,0.01682281494140625,,0.009026126861572266,25,4.102907180786133
chr6:17600826:gastroesophageal_sphincter:0,TP,0.045711517333984375,,0.028113021850585937,25,4.093750476837158
chr17:22822728:thoracic_aorta:0,TP,0.005110740661621094,,0.015694541931152342,25,4.090559959411621
chr17:43360582:adrenal_gland:0,TP,0.007157325744628906,,0.009796047210693359,25,4.087836265563965
chr17:22822724:stomach:0,TP,0.025589466094970703,,0.02525972366333008,25,4.077173709869385
chr17:25579427:esophagus_squamous_epithelium:0,TP,0.08086633682250977,,0.017527122497558594,25,4.075960159301758
chr17:23378804:transverse_colon:0,TP,0.01081705093383789,,0.016120548248291015,25,4.074728965759277
chr17:22822728:lower_leg_skin:0,TP,0.006617069244384766,,0.016277656555175782,25,4.069355487823486
chr14:106468930:transverse_colon:1,TP,0.009432792663574219,,0.01118356704711914,25,4.064496040344238
chr17:23378804:upper_lobe_of_left_lung:0,TP,0.011375904083251953,,0.011635665893554687,25,4.055733680725098
chr5:151298244:prostate_gland:0,TP,0.024678707122802734,,0.03804794311523438,25,4.052394390106201
chr17:25579427:testis:0,TP,0.05013442039489746,,0.014440155029296875,25,4.049454212188721
chr6:17600826:upper_lobe_of_left_lung:0,TP,0.05679464340209961,,0.04069540023803711,25,4.047992706298828
chr17:22822728:tibial_artery:0,TP,0.007086277008056641,,0.020852622985839845,25,4.036020755767822
chr17:22822728:upper_lobe_of_left_lung:0,TP,0.0073223114013671875,,0.02283299446105957,25,4.035831451416016
chr17:25579427:spleen:0,TP,0.015151500701904297,,0.02393223762512207,25,4.033781051635742
chr17:22822728:spleen:0,TP,0.00769805908203125,,0.014211053848266602,25,4.0321855545043945
chr8:45777416:prostate_gland:0,TP,0.007780551910400391,,0.020764636993408202,25,4.03099250793457
chr5:151298244:adrenal_gland:0,TP,0.029654979705810547,,0.03316029548645019,25,4.0284037590026855
chr5:151298244:esophagus_squamous_epithelium:0,TP,0.0340423583984375,,0.033870906829833985,25,4.027188777923584
chr5:151298244:tibial_artery:1,TP,0.03343486785888672,,0.032665376663208005,25,4.026627540588379
chr17:22822724:testis:0,TP,0.014173507690429688,,0.017392807006835938,25,4.0261688232421875
chr5:151298244:upper_lobe_of_left_lung:0,TP,0.03860282897949219,,0.05754304885864258,25,4.025906562805176
chr5:151298244:spleen:0,TP,0.036942481994628906,,0.027871809005737304,25,4.023588180541992
chr7:142485779:Peyers_patch:0,TP,0.017382144927978516,,0.017236413955688475,25,4.0216474533081055
chr5:151298244:tibial_nerve:0,TP,0.030822277069091797,,0.03504038810729981,25,4.020594596862793
chr5:151298244:body_of_pancreas:0,TP,0.03820943832397461,,0.02957347869873047,25,4.016481399536133
chr17:22822724:thoracic_aorta:0,TP,0.013010025024414062,,0.018961725234985353,25,4.014240264892578
chr5:151298244:sigmoid_colon:0,TP,0.03498554229736328,,0.03951858520507812,25,4.012962818145752
chr2:67906567:body_of_pancreas:0,TP,0.009716510772705078,,0.009683990478515625,25,4.012683391571045
chr12:8390645:thoracic_aorta:0,FP,0.007796764373779297,,0.004496040344238281,25,4.258347034454346
chr12:8390645:omental_fat_pad:0,FP,0.009050846099853516,,0.006135082244873047,25,4.258315563201904
chr12:8390645:esophagus_muscularis_mucosa:0,FP,0.0026445388793945312,,0.0063959693908691405,25,4.2453203201293945
chr12:8390682:esophagus_squamous_epithelium:0,FP,0.004319667816162109,,0.007746391296386719,25,4.224761486053467
chr17:22995763:prostate_gland:0,FP,0.00940084457397461,,0.007016944885253906,25,4.223011016845703
chr12:8390682:omental_fat_pad:0,FP,0.0037860870361328125,,0.009136314392089845,25,4.220792770385742
chr12:8390682:testis:0,FP,0.004546165466308594,,0.01659700393676758,25,4.215293884277344
chr12:8390682:thyroid_gland:0,FP,0.005187511444091797,,0.015004825592041016,25,4.214718341827393
