example_id,confusion_category,label,pred_label,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,num_layers,num_heads,selected_layers,selected_heads,prob_positive_recomputed,logit_0,logit_1
113,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9882234930992126,-2.2397940158843994,2.1900038719177246
547,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9872925281524658,-2.1626274585723877,2.1901473999023438
1991,TP,1,1,0,[CLS],0,0,55,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9870997667312622,-2.16945743560791,2.168070077896118
1718,TP,1,1,0,[CLS],0,0,54,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9866204261779785,-2.1002848148345947,2.2002742290496826
63,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9863406419754028,-2.100367784500122,2.1792099475860596
1884,TP,1,1,0,[CLS],0,0,56,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986213743686676,-2.13547682762146,2.1347267627716064
1522,TP,1,1,0,[CLS],0,0,55,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9861327409744263,-2.158660650253296,2.1055965423583984
27,TP,1,1,0,[CLS],0,0,52,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.986078143119812,-2.081965684890747,2.1783061027526855
291,TP,1,1,0,[CLS],0,0,54,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9857556223869324,-2.0810062885284424,2.1560380458831787
1384,TP,1,1,0,[CLS],0,0,52,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9855583906173706,-2.0887739658355713,2.1343212127685547
2410,TP,1,1,0,[CLS],0,0,52,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.985519528388977,-2.077709197998047,2.1426591873168945
0,TP,1,1,0,[CLS],0,0,57,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9852168560028076,-2.0661847591400146,2.133186101913452
1104,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9851956367492676,-2.063619375228882,2.134303092956543
935,TP,1,1,0,[CLS],0,0,53,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9848260879516602,-2.073143720626831,2.099747896194458
1011,TP,1,1,0,[CLS],0,0,59,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9846775531768799,-2.039917469024658,2.123080253601074
1078,TP,1,1,0,[CLS],0,0,53,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9846327304840088,-2.0665786266326904,2.0934526920318604
798,TP,1,1,0,[CLS],0,0,57,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9845934510231018,-2.0311734676361084,2.1262636184692383
2349,TP,1,1,0,[CLS],0,0,41,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9844809770584106,-2.109562873840332,2.0404863357543945
423,TP,1,1,0,[CLS],0,0,56,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9840735197067261,-2.07187819480896,2.051841974258423
1159,TP,1,1,0,[CLS],0,0,40,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9840331673622131,-2.1131081581115723,2.0080349445343018
210,TP,1,1,0,[CLS],0,0,55,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9840026497840881,-2.036741018295288,2.082468032836914
443,TP,1,1,0,[CLS],0,0,59,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9839794635772705,-2.068084716796875,2.0496468544006348
2016,TP,1,1,0,[CLS],0,0,42,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9839606285095215,-2.051403522491455,2.0651402473449707
41,TP,1,1,0,[CLS],0,0,55,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9839455485343933,-2.009752035140991,2.1058313846588135
23,TP,1,1,0,[CLS],0,0,55,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9839161038398743,-2.07645583152771,2.03726863861084
390,TP,1,1,0,[CLS],0,0,56,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9834935665130615,-2.0711047649383545,2.0162527561187744
533,TP,1,1,0,[CLS],0,0,41,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9833254814147949,-2.0711898803710938,2.005866765975952
121,TP,1,1,0,[CLS],0,0,54,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9832966327667236,-2.0177395343780518,2.0575640201568604
1946,TP,1,1,0,[CLS],0,0,57,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9830912947654724,-1.9854106903076172,2.0774636268615723
557,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.982869565486908,-2.038902521133423,2.0107204914093018
333,TP,1,1,0,[CLS],0,0,57,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9827881455421448,-2.002683639526367,2.0421152114868164
474,TP,1,1,0,[CLS],0,0,50,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9827390909194946,-2.0313663482666016,2.0105340480804443
83,TP,1,1,0,[CLS],0,0,56,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9826122522354126,-2.0304114818573,2.0040407180786133
3615,TP,1,1,0,[CLS],0,0,58,12,12,11,"0,1,2,3,4,5,6,7,8,9,10,11",0.9825226068496704,-2.014444351196289,2.014768123626709
